start,end
0.896,1.824
1.856,2.304
2.336,2.528
2.56,2.784
2.816,3.2
3.232,3.648
3.68,4.608
4.64,5.024
5.056,5.408
5.44,5.856
5.888,6.24
6.272,6.72
6.752,6.944
6.976,7.136
7.168,7.52
7.552,7.744
7.776,8.0
8.032,8.832
8.032,8.832
8.864,9.312
8.864,9.792
9.344,9.536
9.568,9.792
9.824,10.208
9.824,10.688
10.24,10.688
10.72,11.648
10.72,11.648
11.68,12.0
11.68,12.48
12.032,12.48
12.512,12.96
12.512,12.96
12.992,13.408
12.992,13.408
13.44,13.888
13.44,13.888
13.92,14.048
13.92,14.304
14.08,14.304
14.336,14.752
14.336,14.752
14.784,14.944
14.784,15.168
14.976,15.168
15.2,15.648
15.2,16.96
15.68,16.096
16.128,16.544
16.576,16.96
16.992,17.44
16.992,18.304
17.44,17.824
17.856,18.784
18.336,18.784
18.816,19.296
18.816,19.648
18.816,19.648
19.328,19.648
19.68,20.096
19.68,20.576
19.68,20.576
19.68,20.576
20.128,20.32
20.352,20.576
20.608,21.024
20.608,21.504
20.608,21.504
20.608,21.504
21.056,21.504
21.536,22.368
21.536,22.368
21.536,22.368
21.536,22.368
22.4,22.848
22.4,23.296
22.4,23.296
22.88,23.296
23.328,23.744
23.328,23.744
23.328,25.088
23.776,24.224
23.776,24.224
24.256,24.64
24.256,24.64
24.672,24.896
24.672,25.088
24.928,25.088
25.12,25.472
25.12,25.92
25.12,25.92
25.12,25.92
25.504,25.92
25.952,26.4
25.952,26.88
25.952,26.88
26.432,26.88
26.912,27.36
26.912,27.84
26.912,27.84
27.392,27.84
27.872,28.224
27.872,28.704
27.872,28.704
27.872,28.704
28.256,28.48
28.512,28.704
28.736,29.088
28.736,29.536
28.736,29.536
29.12,29.536
29.568,30.016
29.568,30.496
29.568,30.496
30.048,30.496
30.528,30.976
30.528,31.456
30.528,31.456
31.008,31.232
31.264,31.456
31.488,31.968
31.488,32.448
32.0,32.448
32.48,33.408
32.48,33.408
32.48,33.408
33.44,33.888
33.44,34.368
33.92,34.368
34.4,34.816
34.4,35.296
34.4,35.296
34.848,35.296
35.328,35.744
