start,end
1.216,1.6
1.632,2.496
2.528,3.84
3.872,4.288
4.32,5.024
5.056,5.888
5.92,6.656
6.368,6.656
6.688,7.36
6.688,7.36
7.392,8.608
7.392,8.608
8.64,8.896
8.64,8.896
8.928,9.728
8.928,9.728
9.76,10.176
9.76,10.624
10.208,10.624
10.656,11.424
11.456,12.224
11.456,12.224
12.256,13.408
12.256,13.856
13.44,13.856
13.888,14.592
13.888,14.592
14.624,15.744
14.624,16.16
15.776,16.16
16.192,17.056
16.192,17.056
17.088,17.952
17.088,17.952
17.984,18.624
18.656,18.848
18.88,19.648
19.68,20.064
20.096,20.48
20.512,20.928
20.96,21.376
21.408,22.272
22.304,23.552
23.584,23.968
24.0,24.704
24.0,24.704
24.736,25.536
24.736,25.536
25.568,26.432
26.464,26.848
26.88,27.232
27.264,28.064
28.064,28.64
28.672,28.864
28.896,29.76
28.896,29.76
29.792,30.656
29.792,30.656
30.688,31.328
31.36,31.552
31.584,32.416
31.584,32.416
32.448,33.312
32.448,34.08
33.344,33.856
33.888,34.08
34.112,34.976
34.112,34.976
35.008,35.84
35.008,36.704
35.872,36.48
36.512,36.704
36.736,37.6
36.736,37.6
37.632,38.496
37.632,38.496
38.528,38.944
38.528,39.264
38.944,39.264
39.296,39.424
39.296,40.096
39.456,39.648
39.68,40.096
40.128,40.992
40.128,40.992
41.024,41.44
41.472,41.888
41.92,42.848
42.88,44.16
44.192,44.608
44.64,45.408
44.64,45.408
45.44,45.856
45.44,46.304
45.44,46.304
45.888,46.304
46.336,47.2
47.232,48.192
48.224,48.416
48.448,49.088
49.12,49.312
49.344,49.76
49.792,49.984
50.016,50.88
50.016,50.88
50.016,50.88
50.912,51.744
50.912,51.744
50.912,51.744
51.776,52.448
52.48,52.768
52.8,53.664
52.8,53.664
53.696,53.952
53.984,54.272
54.304,54.56
54.592,55.456
55.488,55.712
55.488,56.288
55.744,56.0
56.032,56.288
56.32,57.632
56.32,57.632
56.32,57.632
57.664,58.656
58.688,59.552
59.584,60.864
60.896,61.312
61.344,62.176
62.208,63.072
63.104,63.808
63.552,63.808
63.84,64.672
63.84,64.672
64.704,65.856
64.704,65.856
65.888,66.208
65.888,66.208
66.24,67.008
66.24,67.008
67.04,67.456
67.04,67.904
67.488,67.904
67.936,68.736
68.768,69.632
68.768,69.632
69.664,70.784
69.664,71.232
70.816,71.232
71.264,72.064
71.264,72.064
72.096,73.248
72.096,73.696
73.28,73.696
73.728,74.592
73.728,74.592
74.624,75.52
74.624,75.52
75.552,76.16
76.192,76.384
76.416,77.248
77.28,77.696
77.728,78.112
78.144,78.56
78.592,79.008
79.04,79.84
79.872,81.12
81.152,81.504
81.504,82.336
81.504,82.336
82.368,83.072
82.368,83.072
83.104,83.936
83.968,84.352
84.384,84.768
84.8,85.6
85.632,86.208
86.24,86.432
86.464,87.328
86.464,87.328
87.36,88.224
87.36,88.224
88.256,88.896
88.928,89.12
89.152,90.016
89.152,90.016
90.048,90.912
90.048,91.712
90.944,91.488
91.52,91.712
91.744,92.608
91.744,92.608
92.64,93.504
92.64,94.4
93.536,94.176
94.208,94.4
94.432,95.264
94.432,95.264
95.296,96.128
95.296,96.128
96.16,96.544
96.16,96.928
96.576,96.928
96.928,97.088
96.928,97.76
97.12,97.312
97.344,97.76
97.792,98.656
97.792,98.656
98.688,99.168
99.2,99.648
99.68,100.576
100.608,101.92
101.952,102.368
102.4,103.264
102.4,103.264
103.296,103.68
103.296,104.128
103.296,104.128
103.712,104.128
104.16,105.024
105.056,105.92
105.952,106.144
106.176,106.816
106.848,107.04
107.072,107.488
107.52,107.68
107.712,108.576
107.712,108.576
107.712,108.576
108.608,109.472
108.608,109.472
108.608,109.472
109.504,110.144
110.176,110.432
110.464,111.328
110.464,111.328
111.36,111.616
111.648,111.904
111.936,112.16
112.192,113.024
113.056,113.312
113.056,113.92
113.344,113.632
113.664,113.92
113.952,115.264
113.952,115.264
113.952,115.264
115.296,115.808
115.84,116.928
116.96,118.272
118.304,118.656
118.304,118.656
118.688,119.552
118.688,119.552
119.584,120.192
119.584,120.64
120.224,120.64
120.672,120.928
120.672,120.928
120.96,121.792
120.96,121.792
121.824,122.624
121.824,123.072
122.656,123.392
123.072,123.392
123.424,123.712
123.424,124.128
123.712,124.128
124.16,124.576
124.16,124.832
124.608,124.832
124.864,125.28
125.312,125.728
125.76,126.624
126.656,127.904
126.656,127.904
126.656,127.904
127.936,128.352
128.384,128.576
128.608,128.8
128.8,129.056
129.056,129.824
129.056,129.824
129.056,129.824
129.856,130.688
129.856,130.688
130.72,130.976
130.72,131.424
131.008,131.424
131.456,132.224
131.456,133.088
132.256,133.088
133.12,133.984
134.016,135.296
134.016,135.296
134.016,135.296
135.328,136.032
136.064,136.928
136.96,138.272
138.304,138.72
138.752,139.52
138.752,139.52
139.552,140.832
139.552,140.832
139.552,140.832
140.864,141.28
141.312,142.176
141.312,142.176
141.312,142.176
142.208,143.072
142.208,143.072
142.208,143.072
143.104,143.552
143.584,143.776
143.808,144.672
143.808,144.672
143.808,144.672
144.704,145.568
144.704,146.464
145.6,146.24
146.272,146.464
146.496,147.328
146.496,147.328
147.36,148.224
147.36,148.672
148.256,149.12
148.704,149.12
149.152,150.016
149.152,150.016
150.048,151.328
150.048,151.328
150.048,151.328
151.36,152.0
152.032,152.896
152.928,153.792
152.928,154.688
153.824,154.464
154.496,154.688
154.72,155.552
155.584,156.416
155.584,156.8
156.448,157.024
157.056,157.248
157.28,158.144
157.28,158.144
157.28,158.144
158.176,158.592
158.176,159.04
158.624,159.04
159.072,159.456
159.072,159.904
159.488,159.904
159.936,160.352
160.384,160.576
160.608,160.8
160.832,162.144
160.832,162.144
160.832,162.144
162.176,162.4
162.432,162.624
162.656,163.68
163.712,163.776
163.808,163.872
163.904,165.216
165.248,165.664
165.696,166.56
165.696,166.56
165.696,166.56
166.592,167.456
166.592,167.456
166.592,167.456
167.488,167.968
168.032,168.416
168.448,169.312
168.448,169.312
168.448,169.312
169.344,169.76
169.344,169.76
169.792,170.24
170.272,170.688
170.72,171.136
171.168,171.584
171.168,172.032
171.168,172.032
171.616,172.032
172.064,172.928
172.064,173.376
172.96,173.664
173.696,173.888
173.92,174.56
174.592,174.656
174.688,174.784
174.816,176.128
176.16,176.448
176.16,176.448
176.48,177.344
176.48,177.344
177.376,178.24
177.376,178.24
178.272,178.688
178.272,179.072
178.688,179.36
179.104,179.808
179.392,179.808
179.84,180.672
179.84,181.568
179.84,181.568
180.704,181.568
181.6,182.56
182.592,183.904
182.592,183.904
183.936,184.32
184.352,185.216
185.248,186.432
186.464,186.688
186.464,186.688
186.72,187.488
186.72,187.488
187.52,188.224
187.52,188.672
188.256,188.672
188.704,188.96
188.704,188.96
188.992,189.728
188.992,189.728
189.76,190.496
189.76,190.848
190.496,191.2
190.848,191.2
191.232,191.584
191.232,191.968
191.584,191.968
192.0,192.416
192.0,192.704
192.448,192.704
192.736,193.12
193.152,193.504
193.536,194.4
194.432,195.712
194.432,195.712
194.432,195.712
195.744,196.16
196.192,196.384
196.416,196.544
196.576,196.864
196.896,197.696
196.896,197.696
196.896,197.696
197.728,198.56
197.728,198.56
198.592,198.848
198.592,199.264
198.88,199.264
199.296,200.0
199.296,200.896
200.032,200.896
200.928,201.792
201.824,203.104
201.824,203.104
201.824,203.104
203.136,203.552
203.584,204.832
204.864,206.176
206.208,206.624
206.656,207.488
206.656,207.488
207.52,208.832
207.52,208.832
207.52,208.832
208.864,209.312
209.344,210.208
209.344,210.208
209.344,210.208
210.24,211.072
210.24,211.072
210.24,211.072
211.104,211.744
211.776,211.968
212.0,212.864
212.0,212.864
212.0,212.864
212.896,213.792
212.896,214.688
213.824,214.464
214.496,214.688
214.72,215.552
214.72,215.552
215.584,216.384
215.584,216.832
216.416,217.28
216.864,217.28
217.312,218.176
217.312,218.176
218.208,219.488
218.208,219.488
218.208,219.488
219.52,220.416
220.448,221.344
221.376,222.24
221.376,223.136
222.272,222.912
222.944,223.136
223.168,224.0
224.032,224.832
224.032,225.28
224.864,225.504
225.536,225.728
225.76,226.624
225.76,226.624
225.76,226.624
226.656,227.072
226.656,227.456
227.104,227.456
227.488,227.84
227.488,228.288
227.872,228.288
228.32,228.736
228.768,228.96
228.992,229.184
229.216,230.528
229.216,230.528
229.216,230.528
230.56,230.88
230.912,231.104
231.136,231.936
231.968,232.064
232.096,232.192
232.224,233.632
233.664,234.08
234.112,234.976
234.112,234.976
234.112,234.976
235.008,235.872
235.008,235.872
235.008,235.872
235.904,236.32
236.352,236.768
236.8,237.696
236.8,237.696
236.8,237.696
237.728,238.144
237.728,238.144
238.176,238.592
238.624,239.04
239.072,239.424
239.456,239.872
239.456,240.288
239.456,240.288
239.904,240.288
240.32,241.184
240.32,241.632
241.216,241.856
241.888,242.304
242.336,242.976
243.008,243.072
243.104,243.2
243.232,244.512
244.544,244.864
244.544,244.864
244.896,245.76
244.896,245.76
245.792,246.656
245.792,246.656
246.688,247.104
246.688,247.488
247.136,247.936
247.52,248.352
247.968,248.352
248.384,249.248
248.384,250.144
248.384,250.144
249.28,250.144
250.176,254.72
254.752,256.0
254.752,256.0
