start,end
0.416,0.928
0.416,0.928
0.96,1.216
0.96,1.504
1.248,1.504
1.536,2.08
1.536,2.08
2.112,2.624
2.112,2.624
2.656,2.88
2.912,3.168
3.2,3.744
3.776,4.224
3.776,4.224
4.256,4.8
4.256,4.8
4.832,5.312
4.832,5.312
5.344,5.6
5.344,5.6
5.632,5.888
5.92,6.176
6.208,6.432
6.464,6.656
6.688,6.944
6.976,7.456
6.976,7.456
7.488,7.968
7.488,7.968
8.0,8.224
8.0,8.48
8.256,8.352
8.384,8.48
8.512,8.704
8.512,8.704
8.736,8.928
8.96,9.216
9.248,9.408
9.44,9.664
9.696,9.888
9.92,10.432
9.92,10.432
10.464,11.008
10.464,11.008
11.04,11.584
11.04,11.584
11.616,13.44
11.616,13.44
13.472,14.016
13.472,14.016
14.048,14.304
14.048,14.592
14.336,14.592
14.624,15.136
14.624,15.136
15.168,15.712
15.168,15.712
15.744,16.0
16.032,16.288
16.32,16.864
16.896,17.408
16.896,17.408
16.896,17.408
17.44,17.664
17.44,17.952
17.44,17.952
17.696,17.952
17.984,18.56
17.984,18.56
17.984,18.56
18.592,20.736
18.592,20.736
20.768,21.312
20.768,21.312
20.768,21.312
21.344,22.08
22.112,22.656
22.688,23.2
22.688,23.2
22.688,23.2
22.688,23.2
23.232,23.488
23.232,23.488
23.52,23.776
23.52,23.776
23.808,24.352
23.808,24.352
24.384,24.64
24.384,24.864
24.672,24.864
24.896,25.376
24.896,25.376
25.408,25.888
25.408,25.888
25.92,26.176
25.92,26.4
26.208,26.4
26.432,26.688
26.72,26.88
26.912,27.136
26.912,27.424
26.912,27.424
27.168,27.424
27.456,27.968
27.456,27.968
27.456,27.968
28.0,28.544
28.0,28.544
28.576,29.152
28.576,29.152
29.184,30.08
29.184,30.08
29.184,30.08
30.112,31.104
31.136,31.36
31.392,31.648
31.68,31.936
31.968,32.224
32.256,32.48
32.512,32.672
32.704,32.96
32.992,33.248
33.28,33.536
33.536,33.728
33.76,34.016
34.048,34.304
34.336,34.528
34.56,34.816
34.848,35.104
35.136,35.328
35.36,35.584
35.616,35.84
35.84,36.064
36.096,36.352
36.384,36.64
36.672,36.928
36.96,37.216
37.248,37.504
37.536,37.792
37.824,38.112
38.144,38.4
38.144,38.656
38.432,38.656
38.688,38.944
38.976,39.232
39.264,39.52
39.552,39.776
39.808,40.064
40.096,40.32
40.32,40.512
40.544,40.768
40.8,41.056
41.088,41.312
41.344,41.6
41.632,41.824
41.856,42.08
42.112,42.272
42.304,42.528
42.56,42.816
42.848,43.072
43.104,43.328
43.328,43.552
43.584,43.84
43.872,44.128
44.16,44.416
44.448,44.992
44.448,44.992
45.024,45.28
45.024,45.536
45.312,45.536
45.568,46.112
45.568,46.112
46.144,46.688
46.144,46.688
46.72,47.008
47.04,47.296
47.328,47.968
48.0,48.256
48.288,48.544
48.576,48.832
48.864,49.056
49.088,49.312
49.344,49.6
49.632,49.888
49.92,50.112
50.144,50.4
50.432,50.592
50.624,50.816
50.848,51.072
51.104,51.328
51.36,51.616
51.616,51.808
51.84,52.032
52.064,52.32
52.352,52.608
52.64,52.864
52.896,53.12
53.152,53.344
53.376,53.6
53.632,54.176
53.632,54.176
53.632,54.176
54.208,54.752
54.208,54.752
54.208,54.752
54.784,55.296
54.784,55.296
55.328,55.968
55.328,55.968
55.328,55.968
56.0,57.984
56.0,57.984
56.0,57.984
