start,end
0.704,1.92
0.704,1.92
0.704,1.92
0.704,1.92
1.952,3.104
1.952,3.104
1.952,3.104
3.136,3.712
3.136,4.256
3.136,4.256
3.744,4.256
4.288,5.824
4.288,5.824
4.288,5.824
5.856,6.368
6.4,6.88
6.912,7.424
7.456,7.936
7.456,8.384
7.968,8.384
8.416,8.864
8.416,9.248
8.896,9.248
9.28,9.792
9.28,10.208
9.824,10.208
10.24,11.616
10.24,11.616
11.648,12.128
12.16,12.672
12.704,13.088
13.12,14.144
13.12,14.144
13.12,14.144
14.176,15.232
14.176,15.232
14.176,15.232
15.264,15.488
15.264,16.288
15.52,15.744
15.776,16.288
16.32,17.856
16.32,18.4
16.32,18.4
17.888,18.4
18.432,19.456
18.432,19.456
18.432,19.456
19.488,19.968
19.488,20.512
19.488,20.512
20.0,20.512
20.544,21.024
20.544,22.624
21.056,21.568
21.6,22.112
22.144,22.624
22.656,24.288
22.656,24.288
22.656,24.288
24.32,24.896
24.928,25.44
25.472,25.952
25.984,27.072
25.984,27.072
25.984,27.072
25.984,27.072
27.104,28.256
27.104,28.256
27.104,28.256
28.288,28.96
28.288,29.504
28.288,29.504
28.992,29.504
29.536,31.104
29.536,31.104
29.536,31.104
31.136,31.648
31.68,32.16
32.192,32.704
32.736,33.216
32.736,33.664
33.248,33.664
33.696,34.112
33.696,34.592
34.144,34.592
34.624,35.104
34.624,35.552
35.136,35.552
35.584,37.056
35.584,37.056
37.088,37.568
37.6,38.112
38.144,38.624
38.656,39.68
38.656,39.68
38.656,39.68
39.712,40.832
39.712,40.832
39.712,40.832
40.864,41.12
40.864,41.888
41.152,41.376
41.408,41.888
41.92,43.488
41.92,44.032
41.92,44.032
43.52,44.032
44.064,45.088
44.064,45.088
44.064,45.088
45.12,45.632
45.12,46.176
45.12,46.176
45.664,46.176
46.208,46.688
46.208,48.288
46.72,47.232
47.264,47.744
47.776,48.288
48.32,51.456
48.32,51.456
48.32,51.456
51.488,52.512
51.488,52.512
51.488,52.512
52.544,53.568
52.544,53.568
52.544,53.568
53.6,54.624
53.6,54.624
53.6,54.624
54.656,55.168
54.656,55.168
55.2,55.68
55.712,56.224
56.224,56.672
56.704,57.184
57.216,57.632
57.664,58.496
57.664,58.496
57.664,58.496
57.664,58.496
58.528,59.36
58.528,59.36
58.528,59.36
58.528,59.36
59.392,60.416
59.392,60.416
59.392,60.416
59.392,60.416
60.448,61.984
60.448,61.984
60.448,61.984
60.448,61.984
62.016,62.688
62.72,63.2
63.232,63.744
63.776,64.16
63.776,65.152
64.16,64.64
64.672,65.152
65.152,65.472
65.152,65.472
65.504,65.888
65.504,66.4
65.92,66.4
66.432,66.656
66.432,67.2
66.688,66.816
66.848,66.976
67.008,67.2
67.232,67.712
67.232,68.096
67.744,68.096
68.128,69.152
68.128,69.152
68.128,69.152
69.184,69.696
69.184,70.24
69.184,70.24
69.184,70.24
69.728,70.24
70.272,70.752
70.272,71.296
70.272,71.296
70.272,71.296
70.784,71.296
71.328,71.808
71.328,72.352
71.328,72.352
71.328,72.352
71.84,72.352
72.384,73.952
72.384,73.952
73.984,74.528
74.56,75.04
75.072,75.584
75.616,76.64
75.616,76.64
75.616,76.64
75.616,76.64
76.672,77.312
77.344,77.824
77.856,78.336
77.856,78.72
78.368,78.72
78.752,79.712
78.752,80.16
79.744,80.672
80.192,80.672
80.704,81.728
80.704,81.728
80.704,81.728
81.76,82.72
81.76,82.72
81.76,82.72
81.76,82.72
82.752,83.776
82.752,83.776
82.752,83.776
83.84,84.864
83.84,84.864
83.84,84.864
84.896,86.432
84.896,86.432
84.896,86.976
86.464,86.976
86.464,86.976
87.008,87.488
87.008,88.064
87.52,88.064
88.096,88.576
88.096,89.12
88.096,89.12
88.608,88.864
88.896,89.12
89.152,89.696
89.728,90.24
90.272,90.72
90.752,91.136
91.168,92.608
91.168,93.12
91.168,93.12
92.64,93.12
93.152,94.176
93.152,94.176
93.152,94.176
93.152,94.176
94.208,95.2
94.208,95.2
94.208,95.2
94.208,95.2
95.232,95.744
95.776,96.192
96.224,96.704
96.224,97.088
96.736,97.088
97.12,98.432
97.12,98.432
98.464,98.976
99.008,99.488
99.52,99.936
99.968,100.96
99.968,100.96
99.968,100.96
100.992,101.792
100.992,101.792
100.992,101.792
101.824,102.816
101.824,102.816
101.824,102.816
102.848,103.328
102.848,103.328
103.36,103.808
103.808,104.16
104.192,104.64
104.672,105.184
105.216,105.664
105.696,105.92
105.696,106.464
105.952,106.208
106.208,106.464
106.496,106.72
106.496,107.392
106.752,106.912
106.944,107.392
107.424,108.416
107.424,108.416
107.424,108.416
107.424,108.416
108.448,108.96
108.448,109.472
108.448,109.472
108.992,109.472
109.504,110.016
110.048,110.56
110.592,111.008
111.04,111.552
111.552,112.416
111.552,112.416
111.552,112.416
112.448,113.472
112.448,113.472
112.448,113.472
113.504,114.528
113.504,114.528
113.504,114.528
114.56,115.04
114.56,115.04
114.56,115.04
115.072,115.584
115.616,116.096
116.128,116.64
116.672,117.696
116.672,117.696
116.672,117.696
117.728,118.784
118.304,118.784
118.816,120.48
118.816,123.808
120.512,123.808
123.84,126.976
123.84,126.976
123.84,126.976
