start,end
0.96,1.024
1.056,1.152
1.184,1.248
1.28,1.376
1.408,1.472
1.504,1.6
1.632,1.728
1.76,1.856
1.888,1.984
2.016,2.048
2.08,2.176
2.208,2.272
2.304,2.336
2.368,2.464
2.496,2.592
2.624,2.72
2.752,2.848
2.88,2.976
3.008,3.04
3.04,3.104
3.136,3.232
3.264,3.328
3.36,3.424
3.456,3.552
3.584,3.648
3.68,3.776
3.808,3.904
3.936,4.032
4.064,4.16
4.192,4.288
4.32,4.416
4.416,4.448
4.48,4.576
4.608,4.672
4.704,4.768
4.8,4.864
4.896,4.96
4.992,5.088
5.12,5.216
5.248,5.344
5.376,5.472
5.504,5.6
5.632,5.696
5.728,5.824
5.856,5.888
5.92,6.016
6.048,6.144
6.176,6.272
6.304,6.4
6.432,6.528
6.56,6.656
6.688,6.784
6.816,6.88
6.912,7.008
7.04,7.104
7.136,7.2
7.232,7.328
7.36,7.456
7.456,7.52
7.552,7.648
7.68,7.776
7.808,7.904
7.904,8.0
8.032,8.096
8.128,8.224
8.256,8.352
8.384,8.416
8.448,8.544
8.576,8.672
8.704,8.8
8.832,8.928
8.96,9.056
9.088,9.12
9.152,9.248
9.28,9.344
9.376,9.472
9.504,9.6
9.632,9.728
9.76,9.792
9.824,9.92
9.952,10.048
10.08,10.176
10.208,10.272
10.304,10.4
10.432,10.464
10.496,10.592
10.624,10.72
10.752,10.848
10.88,10.976
11.008,11.104
11.136,11.168
11.2,11.264
11.296,11.392
11.424,11.52
11.552,11.648
11.68,11.776
11.808,11.872
11.904,11.968
12.0,12.096
12.128,12.224
12.256,12.32
12.352,12.448
12.48,12.512
12.544,12.64
12.672,12.768
12.8,12.896
12.928,13.024
13.056,13.152
13.152,13.216
13.216,13.28
13.312,13.408
13.44,13.536
13.568,13.6
13.632,13.728
13.76,13.824
13.856,13.952
13.984,14.08
14.112,14.208
14.24,14.336
14.368,14.432
14.464,14.496
14.528,14.592
14.624,14.72
14.72,14.816
14.848,14.944
14.944,15.04
15.072,15.072
15.072,15.168
15.2,15.296
15.328,15.424
15.456,15.552
15.584,15.648
15.648,15.744
15.776,15.808
15.808,15.904
15.936,16.032
16.064,16.16
16.192,16.288
16.32,16.416
16.448,16.512
16.512,16.608
16.64,16.672
16.704,16.768
16.8,16.896
16.928,17.024
17.056,17.12
17.152,17.248
17.28,17.376
17.408,17.504
17.536,17.632
17.632,17.664
17.696,17.792
17.824,17.92
17.952,18.048
18.08,18.144
18.176,18.272
18.304,18.368
18.4,18.496
18.528,18.624
18.656,18.752
18.784,18.88
18.912,19.008
19.04,19.136
19.168,19.232
19.264,19.36
19.392,19.488
19.52,19.616
19.648,19.744
19.776,19.872
19.904,20.0
20.032,20.128
20.16,20.256
20.288,20.384
20.416,20.512
20.544,20.608
20.64,20.736
20.768,20.864
20.864,20.96
20.992,21.088
21.12,21.216
21.248,21.344
21.376,21.44
21.472,21.568
21.6,21.696
21.728,21.824
21.856,21.952
21.984,22.08
22.112,22.208
22.24,22.336
22.368,22.464
22.496,22.592
22.624,22.72
22.752,22.848
22.88,23.008
23.04,23.136
23.168,23.264
23.296,23.392
23.424,23.52
23.552,23.648
23.68,23.744
23.776,23.872
23.904,24.0
24.032,24.128
24.16,24.256
24.288,24.416
24.448,24.544
24.576,24.672
24.704,24.8
24.832,24.928
24.96,25.056
25.088,25.184
25.216,25.312
25.344,25.44
25.472,25.568
25.6,25.664
25.696,25.792
25.824,25.92
25.952,26.016
26.048,26.144
26.176,26.272
26.304,26.368
26.4,26.496
26.528,26.624
26.656,26.752
26.784,26.88
26.912,27.008
27.04,27.136
27.168,27.232
27.264,27.328
27.36,27.456
27.488,27.584
27.616,27.712
27.744,27.84
27.872,27.968
28.0,28.096
28.128,28.192
28.224,28.32
28.352,28.448
28.48,28.544
