start,end
1.312,1.472
1.504,1.632
1.664,1.952
1.984,2.368
2.4,2.688
2.72,3.072
3.104,3.456
3.488,3.776
3.808,4.192
4.224,4.384
4.416,4.576
4.576,4.896
4.928,5.312
5.344,5.696
5.728,6.016
5.728,6.016
6.048,6.368
6.048,6.368
6.4,6.752
6.4,6.752
6.784,7.168
6.784,7.584
7.2,7.36
7.392,7.584
7.616,7.808
7.616,8.224
7.84,8.224
8.256,8.576
8.256,8.96
8.608,8.768
8.8,8.96
8.992,9.28
8.992,9.664
9.312,9.664
9.696,10.4
9.696,10.4
10.016,10.176
10.208,10.4
10.432,10.784
10.816,11.2
10.816,11.2
11.232,11.552
11.232,11.936
11.232,11.936
11.584,11.936
11.968,12.288
11.968,12.672
11.968,12.672
12.32,12.672
12.704,13.024
12.704,13.44
12.704,13.44
13.056,13.216
13.248,13.44
13.472,13.792
13.824,14.112
13.824,14.112
13.824,14.112
14.144,14.464
14.144,14.848
14.144,14.848
14.496,14.656
14.688,14.848
14.88,15.264
15.296,15.648
15.296,15.648
15.296,15.648
15.68,15.872
15.68,16.288
15.68,16.288
15.904,16.064
16.096,16.288
16.32,16.672
16.704,17.088
16.704,17.088
16.704,17.088
17.12,17.44
17.12,17.824
17.12,17.824
17.472,17.632
17.664,17.824
17.856,18.24
18.272,18.624
18.272,18.624
18.656,18.848
18.656,18.848
18.656,18.848
18.656,18.848
18.88,19.04
19.072,19.392
19.424,19.616
19.648,19.808
19.84,20.0
20.032,20.192
20.224,20.384
20.416,20.672
20.416,20.672
20.704,20.864
20.896,21.056
21.088,21.472
21.504,21.792
21.504,21.792
21.824,21.984
21.824,22.112
22.016,22.112
22.144,22.304
22.336,22.528
22.56,22.848
22.88,23.264
22.88,23.264
23.296,23.68
23.296,23.68
23.712,23.872
23.904,24.064
24.096,24.256
24.288,24.416
24.448,24.576
24.608,24.768
24.8,24.96
24.8,24.96
24.8,24.96
24.992,25.12
25.152,25.312
25.344,25.536
25.568,26.048
25.568,26.24
26.08,26.144
26.176,26.24
26.272,26.656
26.272,26.656
26.688,26.848
26.88,27.04
27.072,27.456
27.072,27.84
27.488,27.84
27.872,28.192
27.872,28.608
28.224,28.384
28.416,28.608
28.608,28.8
28.608,29.216
28.832,29.216
29.248,29.632
29.248,30.016
29.664,29.824
29.856,30.016
30.016,30.336
30.016,30.72
30.368,30.72
30.752,31.04
30.752,31.456
31.072,31.232
31.264,31.456
31.488,31.68
31.488,32.096
31.712,32.096
32.128,32.512
32.128,32.864
32.544,32.672
32.704,32.864
32.896,33.248
32.896,33.632
33.28,33.632
33.664,33.92
33.664,34.336
33.952,34.112
34.144,34.336
34.368,34.592
34.368,35.008
34.624,35.008
35.04,35.424
35.04,35.808
35.456,35.616
35.648,35.808
35.84,36.16
35.84,36.544
36.192,36.544
36.576,36.896
36.576,37.28
36.928,37.088
37.12,37.28
37.312,37.536
37.312,37.952
37.568,37.952
37.984,38.336
37.984,38.72
38.368,38.528
38.56,38.72
38.752,39.04
38.752,39.424
39.072,39.424
39.456,39.776
39.456,40.16
39.808,39.968
40.0,40.16
40.192,40.448
40.192,40.864
40.48,40.864
40.896,41.184
40.896,41.568
41.216,41.376
41.408,41.568
41.6,41.888
41.6,42.272
41.92,42.272
42.304,42.656
42.304,43.008
42.688,42.816
42.848,43.008
43.04,43.296
43.04,43.712
43.328,43.712
43.744,44.096
43.744,44.096
44.128,44.288
44.32,44.48
44.512,44.896
44.928,45.28
45.312,45.696
45.728,45.888
45.92,46.08
46.112,46.272
46.304,46.432
46.464,46.592
46.624,46.784
46.816,47.136
46.816,47.136
46.816,47.136
47.168,47.328
47.36,47.52
47.552,47.936
47.968,48.32
48.352,48.736
48.768,48.928
48.96,49.152
49.184,49.312
49.344,49.472
49.504,49.632
49.664,49.824
49.856,50.144
49.856,50.144
49.856,50.144
50.176,50.336
50.368,50.528
50.56,50.752
50.752,50.848
50.88,51.008
51.04,51.168
51.2,51.488
51.2,51.488
51.2,51.488
51.52,51.68
51.712,51.904
51.936,52.064
52.096,52.224
52.256,52.416
52.448,52.608
52.64,52.8
52.64,52.8
52.64,52.8
52.832,53.024
53.056,53.216
53.248,53.408
53.44,53.6
53.632,53.76
53.792,53.92
53.952,54.112
54.144,54.528
54.144,54.528
54.144,54.528
54.56,54.72
54.752,54.944
54.976,55.136
55.168,55.328
55.36,55.552
55.584,55.744
55.776,56.16
55.776,56.16
55.776,56.16
56.192,56.352
56.192,56.352
56.384,56.544
56.384,56.544
56.576,56.96
56.576,56.96
56.992,57.28
56.992,57.28
56.992,57.28
57.312,57.696
57.312,57.696
57.312,57.696
57.728,57.888
57.92,58.112
58.144,58.496
58.528,58.912
58.528,58.912
58.528,58.912
58.944,59.296
58.944,59.296
58.944,59.296
58.944,59.296
59.328,59.68
59.712,60.096
59.712,60.096
59.712,60.096
59.712,60.096
60.128,60.48
60.512,60.896
60.512,60.896
60.512,60.896
60.512,60.896
60.928,61.152
61.184,61.376
61.408,61.76
61.792,62.176
61.792,62.176
61.792,62.176
61.792,62.176
62.208,62.56
62.208,62.56
62.208,62.56
62.208,62.56
62.592,62.752
62.784,62.944
62.976,63.36
63.392,63.712
63.392,63.712
63.392,63.712
63.744,64.064
63.744,64.064
64.096,64.48
64.096,64.48
64.096,64.48
64.096,64.48
64.512,64.768
