start,end
5.952,6.112
6.144,6.304
6.304,6.624
6.656,6.912
6.944,7.296
7.328,7.616
7.648,8.032
8.064,8.256
8.288,8.704
8.736,8.928
8.96,9.056
9.088,9.408
9.44,9.792
9.824,10.144
10.176,10.368
10.176,10.368
10.4,10.784
10.4,10.784
10.816,11.008
10.816,11.008
11.04,11.456
11.04,11.872
11.488,11.648
11.68,11.872
11.904,12.192
11.904,12.608
12.224,12.608
12.64,12.928
12.64,13.376
12.96,13.152
13.184,13.376
13.408,13.632
13.408,14.08
13.664,14.08
14.112,14.848
14.112,14.848
14.432,14.624
14.656,14.848
14.88,15.296
15.328,15.648
15.328,15.648
15.68,15.968
15.68,16.384
15.68,16.384
16.0,16.384
16.416,16.672
16.416,17.12
16.416,17.12
16.704,17.12
17.152,17.44
17.152,17.888
17.152,17.888
17.472,17.664
17.696,17.888
17.92,18.304
18.336,18.72
18.336,18.72
18.336,18.72
18.752,18.976
18.752,19.392
18.752,19.392
19.008,19.168
19.2,19.392
19.424,19.84
19.872,20.256
19.872,20.256
19.872,20.256
20.288,20.544
20.288,20.992
20.288,20.992
20.576,20.768
20.8,20.992
21.024,21.408
21.44,21.824
21.44,21.824
21.44,21.824
21.856,22.048
21.856,22.496
21.856,22.496
22.08,22.272
22.304,22.496
22.528,22.944
22.976,23.296
22.976,23.296
23.328,23.52
23.328,23.52
23.328,23.52
23.328,23.52
23.552,23.744
23.776,23.968
24.0,24.16
24.192,24.384
24.416,24.544
24.576,24.704
24.736,24.928
24.96,25.184
24.96,25.184
25.216,25.408
25.44,25.632
25.664,26.048
26.08,26.432
26.08,26.432
26.464,26.56
26.464,26.72
26.56,26.72
26.752,26.912
26.944,27.136
27.168,27.52
27.52,27.744
27.52,27.744
27.776,28.192
27.776,28.192
28.224,28.416
28.448,28.64
28.672,28.832
28.864,28.992
29.024,29.152
29.184,29.376
29.408,29.568
29.408,29.568
29.408,29.568
29.6,29.76
29.792,29.92
29.952,30.144
30.176,30.784
30.176,31.008
30.816,30.912
30.944,31.008
31.04,31.456
31.04,31.456
31.488,31.68
31.712,31.872
31.904,32.288
31.904,32.736
32.32,32.736
32.768,33.12
