start,end
0.096,0.416
0.096,0.416
0.448,0.736
0.448,0.736
0.768,0.992
1.024,1.152
1.184,1.344
1.376,1.504
1.536,1.824
1.856,1.984
2.016,2.144
2.176,2.496
2.528,2.656
2.688,2.816
2.848,3.136
3.168,3.296
3.328,3.488
3.52,3.648
3.68,3.808
3.84,3.968
4.0,4.096
4.128,4.448
4.48,4.608
4.64,4.768
4.8,4.928
4.96,5.088
5.12,5.408
5.44,5.632
5.664,5.792
5.824,5.952
5.984,6.112
6.144,6.272
6.304,6.432
6.464,6.592
6.624,6.752
6.784,6.912
6.944,7.072
7.104,7.232
7.264,7.36
7.392,7.52
7.552,7.648
7.68,7.808
7.84,7.968
8.0,8.128
8.16,8.288
8.32,8.448
8.48,8.64
8.672,8.8
8.832,8.96
8.992,9.12
9.152,9.248
9.28,9.408
9.44,9.568
9.6,9.76
9.792,9.92
9.952,10.08
10.112,10.208
10.24,10.368
10.4,10.528
10.56,10.72
10.752,10.88
10.912,11.04
11.072,11.2
11.232,11.36
11.392,11.52
11.552,11.68
11.712,11.872
11.904,12.032
12.064,12.192
12.224,12.352
12.384,12.512
12.544,12.672
12.704,12.8
12.832,12.96
12.992,13.12
13.152,13.28
13.312,13.44
13.472,13.6
13.632,13.76
13.792,13.952
13.984,14.112
14.144,14.272
14.304,14.432
14.464,14.592
14.624,14.752
14.752,14.912
14.944,15.072
15.104,15.232
15.232,15.36
15.392,15.52
15.552,15.68
15.712,15.84
15.872,16.032
16.064,16.192
16.224,16.352
16.384,16.512
16.544,16.672
16.704,16.832
16.832,16.992
17.024,17.152
17.184,17.312
17.344,17.44
17.472,17.6
17.632,17.76
17.792,17.888
17.888,18.048
18.08,18.176
18.208,18.336
18.368,18.496
18.528,18.656
18.688,18.816
18.848,19.008
19.04,19.168
19.2,19.296
19.328,19.456
19.488,19.616
19.648,19.776
19.808,19.968
20.0,20.096
20.128,20.256
20.288,20.416
20.448,20.736
20.768,21.088
20.768,21.088
21.12,21.408
21.12,21.408
21.44,21.632
21.664,21.792
21.824,21.952
21.984,22.144
22.176,22.464
22.496,22.624
22.656,22.784
22.816,23.104
23.136,23.296
23.328,23.456
23.488,23.776
23.808,23.904
23.936,24.064
24.096,24.256
24.288,24.416
24.448,24.576
24.608,24.736
24.768,25.056
25.088,25.216
25.248,25.408
25.44,25.568
25.6,25.728
25.76,26.048
26.08,26.24
26.272,26.432
26.464,26.592
26.624,26.752
26.784,26.912
26.944,27.072
27.104,27.2
27.232,27.36
27.392,27.552
27.584,27.712
27.744,27.84
27.872,28.0
28.032,28.16
28.192,28.288
28.32,28.48
28.512,28.64
28.672,28.8
28.832,28.96
28.992,29.12
29.152,29.28
29.312,29.44
29.472,29.632
29.664,29.792
29.824,29.952
29.984,30.112
30.144,30.272
30.304,30.432
30.464,30.624
30.656,30.784
30.784,30.912
30.944,31.072
31.104,31.232
31.264,31.392
31.424,31.552
31.584,31.744
31.776,31.904
31.936,32.064
32.096,32.224
32.256,32.384
32.416,32.544
32.576,32.736
32.768,32.896
32.928,33.056
33.088,33.216
33.248,33.312
33.344,33.472
33.504,33.632
33.664,33.824
33.856,33.984
34.016,34.144
34.176,34.304
