start,end
0.992,2.464
0.992,2.816
0.992,2.816
2.496,2.816
2.848,3.136
2.848,3.136
2.848,3.136
2.848,3.136
3.168,4.544
3.168,5.056
3.168,5.056
3.168,5.056
4.576,5.056
5.088,5.952
5.088,5.952
5.088,5.952
5.088,5.952
5.984,7.488
5.984,7.936
5.984,7.936
7.52,7.936
7.968,8.736
7.968,8.736
7.968,8.736
8.768,9.536
8.768,9.536
8.768,9.536
9.568,9.792
9.568,10.496
9.824,10.048
10.08,10.24
10.272,10.496
10.528,10.72
10.528,10.976
10.752,10.976
11.008,11.232
11.264,11.456
11.488,12.544
11.488,13.024
11.488,13.024
12.576,13.024
13.056,13.248
13.056,13.248
13.056,13.248
13.056,13.248
13.28,14.752
13.28,15.264
13.28,15.264
13.28,15.264
14.784,15.264
15.296,15.808
15.296,15.808
15.296,15.808
15.296,15.808
15.84,17.312
15.84,17.792
15.84,17.792
17.344,17.792
17.824,18.72
17.824,18.72
17.824,18.72
17.824,18.72
18.72,19.456
18.72,19.456
18.72,19.456
18.72,19.456
19.488,19.552
19.584,19.68
19.712,20.224
20.224,20.448
20.48,20.832
20.48,20.832
20.48,21.088
21.12,21.312
21.344,21.92
21.952,22.016
22.048,22.144
22.176,22.624
22.656,22.848
22.88,23.136
22.88,23.136
22.88,23.136
22.88,23.392
23.424,23.648
23.68,23.968
23.68,23.968
23.68,23.968
23.68,24.192
24.224,24.448
24.48,25.088
25.12,25.312
25.344,25.536
25.344,25.536
25.344,25.536
25.344,25.76
25.792,26.016
26.048,26.4
26.048,26.624
26.048,26.624
26.656,26.88
26.656,26.88
26.912,27.456
26.912,27.456
27.488,27.648
27.488,27.648
27.488,27.648
27.68,27.808
27.68,27.808
27.68,28.064
28.096,28.32
28.352,28.832
28.352,29.056
29.088,29.312
29.344,29.92
29.952,30.176
29.952,30.176
29.952,30.176
29.952,30.176
30.208,30.592
30.208,30.592
30.208,30.816
30.208,30.816
30.848,31.072
31.104,31.68
31.712,31.808
31.84,31.936
31.968,32.352
32.352,32.544
32.576,32.8
32.576,32.8
32.576,32.8
32.576,33.056
33.088,33.312
33.344,33.664
33.344,33.664
33.344,33.664
33.344,33.888
33.92,34.144
34.176,34.72
34.752,34.944
34.976,35.168
34.976,35.168
34.976,35.168
34.976,35.392
35.424,35.648
35.68,36.096
35.68,36.352
35.68,36.352
36.384,36.544
36.384,36.544
36.576,37.088
36.576,37.088
37.12,37.344
37.12,37.344
37.12,37.344
37.376,37.856
37.376,37.856
37.376,37.856
37.888,38.112
37.888,38.112
37.888,38.112
38.144,39.104
