start,end
0.48,0.672
0.704,0.864
0.896,1.088
1.12,1.28
1.312,1.504
1.536,1.696
1.728,1.92
1.952,2.176
2.208,2.4
2.432,2.592
2.624,2.816
2.848,3.008
3.04,3.232
3.264,3.424
3.456,3.616
3.648,3.904
3.936,4.096
4.128,4.224
4.256,4.32
4.352,4.448
4.48,4.672
4.704,4.864
4.896,5.088
5.12,5.28
5.312,5.504
5.536,5.76
5.792,5.856
5.888,5.984
6.016,6.176
6.208,6.4
6.432,6.592
6.624,6.784
6.816,7.008
7.04,7.2
7.232,7.424
7.456,7.52
7.552,7.616
7.648,7.84
7.872,7.904
7.936,8.0
8.032,8.192
8.224,8.288
8.32,8.384
8.416,8.544
8.576,8.64
8.672,8.736
8.768,8.96
8.992,9.12
9.152,9.312
9.344,9.472
9.504,9.664
9.696,9.888
9.92,10.08
10.112,10.336
10.368,10.528
10.56,10.656
10.688,10.752
10.784,10.944
10.976,11.072
11.104,11.168
11.2,11.36
11.392,11.456
11.488,11.584
11.616,11.776
11.808,11.872
11.904,12.0
12.032,12.192
12.224,12.416
12.448,12.608
12.64,12.8
12.832,13.024
13.056,13.216
13.248,13.44
13.472,13.664
13.696,13.92
13.952,14.112
14.144,14.336
14.368,14.528
14.56,14.72
14.752,14.912
14.944,15.104
15.136,15.296
15.328,15.488
15.52,15.68
15.712,15.84
15.872,16.032
16.064,16.192
16.224,16.384
16.416,16.544
16.576,16.768
16.8,16.864
16.896,17.088
17.12,17.28
17.312,17.472
17.504,17.664
17.696,17.888
17.888,18.016
18.048,18.24
18.272,18.368
18.4,18.56
18.592,18.784
18.816,18.976
19.008,19.2
19.232,19.392
19.424,19.616
19.648,19.808
19.84,20.096
20.128,20.288
20.32,20.512
20.544,20.704
20.736,20.928
20.96,21.088
21.12,21.312
21.344,21.504
21.536,21.696
21.728,21.92
21.952,22.112
22.144,22.336
22.368,22.496
22.528,22.72
22.752,22.88
22.912,23.104
23.136,23.296
23.328,23.52
23.552,23.712
23.744,23.936
23.936,24.064
24.096,24.256
24.288,24.416
24.448,24.608
24.64,24.8
24.832,24.96
24.992,25.152
25.184,25.344
25.376,25.504
25.536,25.696
25.728,25.856
25.888,26.048
26.08,26.24
26.272,26.432
26.464,26.624
26.656,26.784
26.816,26.944
26.976,27.104
27.136,27.264
27.296,27.488
27.52,27.68
27.712,27.84
27.872,28.032
28.064,28.192
28.224,28.384
28.416,28.576
28.608,28.736
28.768,28.96
28.992,29.12
29.152,29.28
29.312,29.472
29.504,29.664
29.696,29.824
29.856,29.984
30.016,30.208
30.24,30.336
30.368,30.56
30.592,30.688
30.72,30.912
