start,end
0.192,0.608
0.64,1.984
0.64,1.984
0.64,1.984
0.64,1.984
2.016,2.464
2.496,3.84
2.496,3.84
3.872,4.064
4.096,4.288
4.32,5.344
4.32,5.344
4.32,5.344
4.32,5.344
5.376,5.568
5.6,5.792
5.824,6.496
6.528,6.688
6.72,7.392
7.424,7.616
7.648,8.8
7.648,8.8
7.648,8.8
7.648,8.8
8.832,9.056
9.088,9.216
9.248,9.76
9.792,10.016
10.048,10.464
10.496,10.624
10.656,11.2
11.232,11.328
11.36,11.872
11.904,12.096
12.128,12.8
12.832,13.024
13.056,13.728
13.76,13.984
14.016,14.88
14.912,15.04
14.976,15.104
15.136,15.776
15.808,16.0
16.032,16.288
16.32,16.544
16.576,16.768
16.768,17.184
17.216,17.408
17.44,17.664
17.696,19.04
17.696,19.04
19.072,19.52
19.552,20.0
20.032,20.192
20.224,20.256
20.288,20.864
20.896,21.088
20.896,21.088
21.12,21.44
21.12,21.44
21.472,21.664
21.696,21.824
21.856,22.272
22.304,22.464
22.304,22.464
22.496,23.136
22.496,23.136
22.496,23.136
23.168,23.328
23.36,24.032
24.064,24.256
24.064,24.256
24.288,24.704
24.288,24.704
24.288,24.704
24.288,24.928
24.96,25.088
25.056,25.184
25.216,25.664
25.696,25.888
25.92,26.4
26.432,26.592
26.624,27.2
27.232,27.424
27.456,27.68
27.712,28.352
28.384,28.576
28.608,29.28
29.312,30.016
30.048,30.24
30.272,30.944
30.976,31.072
31.04,31.2
31.232,31.904
31.232,31.904
31.232,32.64
32.672,32.8
32.832,32.96
32.992,33.12
33.152,33.792
33.824,34.048
34.08,34.56
34.592,34.752
34.784,35.424
35.456,35.552
35.584,36.128
36.16,36.288
36.32,36.928
36.96,37.12
37.12,37.728
37.76,37.952
37.984,38.464
38.496,38.688
38.72,39.36
39.392,39.584
39.616,40.256
40.288,40.512
40.544,40.608
40.64,40.832
40.864,41.312
41.344,41.952
41.984,42.176
42.208,42.88
42.912,43.104
43.136,43.424
43.456,43.744
43.776,44.032
44.064,44.352
44.384,44.64
44.672,45.12
45.152,45.824
45.152,45.824
45.152,45.824
45.152,45.824
45.856,45.984
45.92,46.048
46.08,46.752
46.784,46.976
47.008,47.904
47.008,47.904
47.008,47.904
47.936,48.128
48.16,48.352
48.384,48.832
48.864,50.208
48.864,50.208
50.24,50.432
50.464,50.656
50.688,50.976
51.008,51.2
51.2,51.456
51.488,51.712
51.744,51.968
52.0,52.256
52.288,52.576
52.608,52.864
52.864,53.056
53.088,53.312
53.344,53.6
53.632,53.92
53.952,54.624
54.656,54.848
54.88,55.552
55.584,55.872
55.904,56.16
56.192,56.48
56.512,56.8
56.832,57.024
57.056,57.28
57.312,57.6
57.632,57.888
57.92,58.176
58.208,58.432
58.464,59.136
59.168,59.36
59.392,60.32
59.392,60.32
59.392,60.32
60.352,60.544
60.576,60.64
60.64,61.12
61.152,61.344
61.376,62.048
61.376,62.048
61.376,62.048
62.08,62.272
62.304,62.976
62.304,62.976
62.304,62.976
62.304,62.976
63.008,63.104
63.072,63.2
63.232,63.872
63.904,64.032
64.032,64.64
64.672,64.864
64.896,65.536
65.568,65.76
65.792,66.464
66.496,66.688
66.72,67.392
67.424,67.616
67.648,67.936
67.968,68.224
68.256,68.544
68.544,68.8
68.8,69.056
69.088,69.376
69.408,69.856
69.856,69.984
70.016,70.624
70.656,70.848
70.88,71.424
71.456,71.68
71.712,72.352
72.384,72.608
72.64,73.28
72.64,73.472
72.64,73.472
73.312,73.376
73.376,73.408
73.44,73.472
73.504,74.016
73.504,74.016
74.048,74.24
74.048,74.24
74.272,75.648
74.272,76.096
75.68,76.096
76.128,77.472
76.128,77.472
76.128,77.472
77.504,77.728
77.76,77.952
77.984,78.24
78.272,78.56
78.592,78.88
78.912,79.168
79.2,79.488
79.52,79.808
79.84,80.128
80.16,80.448
80.48,80.768
80.8,83.232
83.264,83.68
83.712,84.384
83.712,84.384
84.416,84.544
84.48,84.544
84.576,85.152
85.184,85.376
85.408,86.048
86.08,86.272
86.272,86.656
86.656,86.784
86.752,86.88
86.912,87.168
87.2,87.488
87.52,87.744
87.776,87.936
87.968,88.192
88.224,88.48
88.512,89.152
89.184,89.312
89.312,89.984
90.016,90.208
90.24,90.912
90.944,91.072
91.008,91.136
91.168,91.84
91.872,92.064
92.096,92.384
92.416,92.672
92.704,93.024
93.056,93.344
93.376,93.632
93.664,94.592
94.624,96.0
94.624,96.0
96.032,96.48
96.512,97.152
97.184,97.376
97.408,98.08
98.112,98.432
98.464,99.136
98.464,99.136
98.464,99.136
98.464,99.136
99.168,99.296
99.232,99.36
99.392,100.064
100.096,100.256
100.256,100.544
100.576,100.736
100.768,101.024
101.056,101.28
101.312,101.536
101.568,101.856
101.888,102.112
102.112,102.368
102.4,102.688
102.72,102.976
103.008,103.296
103.328,103.616
103.648,104.288
104.32,104.448
104.416,104.544
104.576,104.8
104.832,105.088
105.12,105.536
105.568,106.016
106.048,106.464
106.496,106.912
106.944,107.136
107.168,107.36
107.392,108.064
108.096,108.288
108.32,108.992
109.024,109.216
109.248,110.592
109.248,110.592
109.248,110.592
110.624,111.072
111.104,111.36
111.392,111.68
111.712,111.936
111.968,112.192
112.224,112.512
112.544,112.832
112.864,113.28
112.864,113.28
113.312,113.44
113.408,113.504
113.536,114.144
114.176,114.368
114.4,114.912
114.944,115.072
115.104,115.264
115.264,115.424
115.456,115.872
115.904,116.192
116.224,116.416
116.416,116.672
116.704,116.96
116.992,117.248
117.28,117.472
117.504,117.76
117.792,117.952
117.984,118.272
118.304,118.56
118.592,118.88
118.912,119.424
119.456,120.096
119.456,120.096
119.456,120.096
119.456,120.096
120.128,120.192
120.224,120.288
120.32,120.384
120.416,121.248
121.28,121.696
121.728,123.104
123.136,123.328
123.36,123.776
123.808,124.096
123.808,124.256
123.808,124.256
124.128,124.384
124.416,124.704
124.736,125.024
125.056,125.312
125.344,125.632
125.664,126.56
125.664,126.56
125.664,126.56
126.592,127.264
127.296,127.872
127.904,129.248
127.904,129.248
129.28,129.76
129.792,130.048
130.08,130.368
130.4,130.656
130.688,130.944
130.976,131.232
131.264,131.52
131.552,132.128
132.16,132.288
132.32,132.864
132.896,133.024
133.056,133.664
133.696,133.888
133.92,134.592
134.624,134.88
134.912,135.296
135.328,135.584
135.616,135.904
135.936,136.192
136.224,136.416
136.416,136.672
136.704,136.96
136.992,137.216
137.248,137.44
137.472,137.696
137.728,137.92
137.952,138.208
138.24,138.432
138.464,138.688
138.72,138.944
