start,end
0.032,0.544
0.032,1.12
0.576,1.12
1.152,1.632
1.664,2.08
2.08,2.56
2.592,2.976
3.008,3.424
3.456,3.968
4.0,4.48
4.0,5.056
4.512,5.056
5.088,6.208
6.912,7.456
7.488,7.936
7.968,8.448
8.48,8.96
8.48,9.408
8.992,9.408
9.44,9.824
9.856,10.272
10.304,10.752
10.784,11.296
11.328,11.872
11.904,12.448
12.48,13.024
12.48,13.568
12.48,13.568
13.056,13.568
13.6,14.72
16.192,16.704
16.736,17.152
17.184,17.632
17.664,18.208
17.664,18.784
17.664,18.784
18.24,18.784
18.816,19.328
19.36,19.808
19.84,20.224
20.256,20.672
20.704,21.088
21.12,21.568
21.6,22.08
21.6,22.528
22.112,22.528
22.56,23.04
23.072,23.552
23.584,24.128
24.16,24.672
24.704,25.12
24.704,25.568
25.152,25.568
25.6,26.08
25.6,26.56
26.112,26.56
26.56,27.008
27.04,27.552
27.584,28.064
27.584,28.608
28.096,28.608
28.64,29.184
29.216,29.728
29.76,31.072
29.76,31.072
31.104,31.68
31.712,32.224
32.256,33.696
33.152,33.696
33.728,34.208
33.728,34.752
34.24,34.752
34.784,35.328
34.784,35.904
35.36,35.904
35.936,37.056
35.936,37.056
37.088,38.304
37.76,38.304
38.336,38.752
38.336,39.264
38.784,39.264
39.296,39.808
39.296,40.384
39.84,40.384
40.416,41.504
40.416,41.984
41.536,42.432
42.016,42.432
42.464,43.008
43.04,43.584
43.616,44.128
43.616,44.704
44.16,44.704
44.736,45.888
45.92,47.008
46.496,47.008
47.04,47.584
47.616,48.16
48.192,48.736
48.192,49.28
48.768,49.28
49.312,49.952
49.984,50.56
50.592,51.648
51.168,51.648
51.68,52.064
52.064,52.512
52.544,53.088
52.544,53.632
52.544,53.632
53.12,53.632
53.664,54.208
54.24,54.72
54.752,55.264
55.296,55.776
55.808,56.32
56.352,56.896
56.352,56.896
56.928,57.472
56.928,58.048
57.504,58.048
58.08,58.656
58.688,59.776
58.688,59.776
58.688,59.776
59.808,61.888
59.808,62.88
61.92,62.88
62.912,63.904
62.912,64.48
62.912,64.48
63.936,64.48
64.512,65.024
65.056,65.6
65.632,66.176
66.208,66.56
66.592,67.04
67.072,67.424
67.456,68.0
67.456,68.512
68.032,68.512
68.544,69.312
69.92,70.272
70.304,70.784
70.816,71.232
71.264,71.744
71.776,72.16
72.192,72.576
72.608,72.992
73.024,74.016
73.024,74.016
74.048,74.592
74.624,74.848
74.88,75.136
75.168,76.256
75.168,76.256
76.288,76.832
76.864,77.408
77.44,78.784
78.24,78.784
78.816,79.36
78.816,79.872
79.392,79.872
79.904,80.416
79.904,80.992
80.448,80.992
81.024,81.568
81.6,81.856
81.888,82.144
82.176,83.136
82.72,83.136
83.168,83.648
83.168,84.224
83.68,84.224
84.256,84.8
84.256,85.344
84.832,85.344
85.376,85.92
85.952,86.496
86.528,87.072
87.104,87.552
87.584,88.0
88.032,88.512
88.544,89.088
88.544,89.632
88.544,89.632
89.12,89.632
89.664,90.208
90.24,90.752
90.784,91.232
91.264,91.616
91.648,92.032
92.064,92.576
92.608,93.152
92.608,93.728
92.608,93.728
93.184,93.728
93.76,94.272
94.304,94.816
94.848,95.296
95.328,95.808
95.84,96.352
96.384,96.928
96.96,97.504
96.96,98.08
97.536,98.08
98.112,99.232
99.264,100.384
99.84,100.384
100.416,100.896
100.928,101.44
101.472,101.984
101.472,102.496
102.016,102.496
102.528,102.944
102.976,103.488
103.52,104.64
103.52,104.64
103.52,104.64
104.672,105.088
105.12,105.376
105.408,106.24
106.272,106.816
106.272,107.392
106.272,107.392
106.272,107.392
106.848,107.104
107.136,107.392
107.424,109.344
109.376,110.208
110.24,110.496
110.528,110.784
110.816,111.04
111.072,111.296
111.328,111.52
111.552,111.968
111.552,112.48
112.0,112.48
112.512,112.992
113.024,113.472
113.504,113.856
113.888,114.08
114.112,114.368
114.4,114.784
114.816,115.264
115.296,115.808
115.296,116.384
115.296,116.384
115.84,116.384
116.416,117.536
117.568,118.368
118.4,118.656
118.688,118.944
118.976,119.2
119.232,119.392
119.424,119.648
119.68,120.128
119.68,120.608
120.16,120.608
120.64,121.184
121.216,121.568
121.6,122.144
122.176,122.496
122.528,122.976
123.008,123.424
123.456,123.968
123.456,124.384
124.0,124.384
124.416,124.896
124.928,125.376
125.408,125.888
125.92,126.304
126.336,126.784
126.816,127.36
127.392,127.936
127.392,128.384
127.968,128.384
128.416,128.864
128.896,129.376
129.408,129.888
129.92,130.176
130.208,130.464
130.496,131.008
131.04,131.712
131.744,132.288
131.744,132.864
131.744,132.864
131.744,132.864
132.32,132.576
132.608,132.864
132.896,134.048
134.08,135.008
135.04,136.16
135.616,136.16
136.192,136.704
136.736,137.504
137.536,138.08
137.536,138.656
138.112,138.656
138.688,139.2
139.232,139.776
139.808,140.928
140.384,140.928
140.96,141.472
141.504,141.856
141.888,142.432
141.888,143.008
142.464,143.008
143.04,143.552
143.584,144.096
144.128,144.64
144.672,145.152
145.184,145.728
145.76,146.272
145.76,146.272
146.304,146.848
146.304,147.424
146.88,147.424
147.456,148.416
148.448,149.088
148.448,149.088
148.448,149.088
149.12,150.816
149.12,151.392
150.848,151.392
151.424,153.632
153.664,154.208
154.24,154.784
154.816,155.296
155.328,155.84
155.872,156.416
156.448,156.8
156.832,157.376
157.408,157.664
157.696,157.92
157.952,158.112
158.144,158.4
158.432,158.976
159.008,159.552
159.584,160.096
160.128,160.512
160.544,161.056
161.088,161.632
161.664,161.92
161.952,162.208
162.24,162.464
162.496,162.688
162.72,162.88
162.88,163.008
163.04,163.2
163.232,163.456
163.488,163.648
163.68,163.936
163.968,164.16
164.192,164.32
164.352,164.48
164.48,164.608
164.64,164.736
164.736,164.928
164.928,165.056
165.088,165.248
165.248,165.44
165.472,165.664
165.696,166.816
166.848,167.68
167.712,167.936
167.968,168.224
168.256,168.416
168.448,168.608
168.64,168.896
168.928,169.472
168.928,170.016
169.504,169.728
169.76,170.016
170.048,170.56
170.592,171.136
170.592,171.136
171.168,172.288
171.168,173.664
172.32,172.544
172.576,172.832
172.864,173.664
173.696,174.24
173.696,174.24
173.696,174.24
173.696,174.816
174.272,174.528
174.56,174.816
174.848,176.288
176.32,177.184
177.216,177.536
177.568,177.824
177.856,178.08
178.112,178.432
178.464,179.2
179.232,179.552
179.232,180.416
179.232,180.416
179.584,179.84
179.872,180.128
180.16,180.416
180.448,180.704
180.736,180.992
181.024,182.752
182.784,184.16
184.192,185.888
184.192,186.432
184.192,186.432
184.192,186.432
185.92,186.432
186.464,190.976
186.464,190.976
186.464,190.976
