start,end
0.736,1.152
1.184,2.112
2.144,3.2
3.232,3.68
3.712,4.32
4.352,5.184
5.216,6.144
5.696,6.144
6.176,6.912
6.176,6.912
6.944,8.032
6.944,8.032
8.064,8.512
8.064,8.512
8.544,9.248
8.544,9.248
9.28,9.728
9.28,10.144
9.76,10.144
10.176,11.072
11.104,12.032
11.104,12.032
12.064,13.152
12.064,13.632
13.184,13.632
13.664,14.56
13.664,14.56
14.592,15.552
14.592,16.032
15.584,16.032
16.064,16.896
16.064,16.896
16.928,17.664
16.928,17.664
17.696,18.336
18.368,18.592
18.624,19.328
19.36,19.68
19.712,20.128
20.16,20.608
20.64,21.024
21.056,21.984
22.016,23.104
23.104,23.552
23.584,24.416
23.584,24.416
24.448,25.184
24.448,25.184
25.216,26.112
26.144,26.528
26.528,26.88
26.912,27.776
27.776,28.352
28.384,28.608
28.64,29.376
28.64,29.376
29.408,30.336
29.408,30.336
30.368,31.04
31.072,31.296
31.328,32.128
31.328,32.128
32.16,33.088
32.16,33.888
33.12,33.664
33.696,33.888
33.92,34.816
33.92,34.816
34.848,35.744
34.848,36.608
35.776,36.48
36.512,36.608
36.64,37.536
36.64,37.536
37.568,38.496
37.568,38.496
38.528,38.944
38.528,39.36
38.944,39.36
39.392,39.616
39.392,40.32
39.648,39.84
39.872,40.32
40.352,41.184
40.352,41.184
41.216,41.664
41.696,42.08
42.112,42.944
42.976,44.352
44.384,44.832
44.864,45.76
44.864,45.76
45.792,46.24
45.792,46.72
45.792,46.72
46.272,46.72
46.752,47.68
47.712,48.768
48.8,48.992
49.024,49.76
49.792,50.112
50.144,50.592
50.624,50.88
50.912,51.84
50.912,51.84
50.912,51.84
51.872,52.8
51.872,52.8
51.872,52.8
52.832,53.792
53.824,54.24
54.272,55.2
54.272,55.2
55.232,55.552
55.584,55.936
55.968,56.256
56.288,57.536
57.568,57.824
57.568,58.464
57.856,58.144
58.176,58.464
58.496,59.904
58.496,59.904
58.496,59.904
59.936,60.384
60.416,62.72
62.752,64.16
64.192,64.64
64.672,65.6
65.632,66.528
66.56,67.488
67.04,67.488
67.52,68.448
67.52,68.448
68.48,69.632
68.48,69.632
69.664,70.016
69.664,70.016
70.048,70.88
70.048,70.88
70.912,71.36
70.912,71.712
71.392,71.712
71.744,72.672
72.704,73.536
72.704,73.536
73.568,74.88
73.568,75.232
74.912,75.232
75.264,76.096
75.264,76.096
76.128,77.184
76.128,77.664
77.216,77.664
77.696,78.624
77.696,78.624
78.656,79.488
78.656,79.488
79.52,80.128
80.16,80.352
80.384,81.12
81.152,81.6
81.632,82.08
82.112,82.496
82.528,82.976
83.008,83.936
83.968,85.152
85.184,85.6
85.6,86.272
85.6,86.272
86.304,87.072
86.304,87.072
87.104,88.032
88.064,88.512
88.512,88.896
88.928,89.76
89.76,90.336
90.368,90.592
90.624,91.552
90.624,91.552
91.584,92.32
91.584,92.32
92.352,93.056
93.088,93.28
93.312,94.176
93.312,94.176
94.208,95.136
94.208,95.744
95.168,95.52
95.552,95.744
95.776,96.576
95.776,96.576
96.608,97.536
96.608,98.304
97.568,98.112
98.144,98.304
98.336,99.168
98.336,99.168
99.2,100.0
99.2,100.0
100.032,100.448
100.032,100.896
100.48,100.896
100.928,101.12
100.928,101.824
101.152,101.376
101.408,101.824
101.856,102.72
101.856,102.72
102.752,103.2
103.232,103.648
103.68,104.608
104.64,105.888
105.888,106.336
106.368,107.296
106.368,107.296
107.328,107.776
107.328,108.096
107.328,108.096
107.808,108.096
108.128,109.024
109.056,109.984
110.016,110.208
110.24,110.944
110.976,111.168
111.2,111.648
111.68,111.872
111.904,112.832
111.904,112.832
111.904,112.832
112.864,113.792
112.864,113.792
112.864,113.792
113.824,114.624
114.656,115.072
115.104,116.16
115.104,116.16
116.192,116.512
116.544,116.832
116.864,117.152
117.184,118.24
118.272,118.56
118.272,119.2
118.592,118.88
118.912,119.2
119.232,120.608
119.232,120.608
119.232,120.608
120.64,121.376
121.408,122.336
122.368,123.744
123.776,124.224
123.776,124.224
124.256,125.024
124.256,125.024
125.056,125.952
125.056,126.432
125.984,126.432
126.464,126.752
126.464,126.752
126.784,127.712
126.784,127.712
127.744,128.672
127.744,129.12
128.704,129.504
129.12,129.504
129.536,129.888
129.536,130.272
129.92,130.272
130.304,130.752
130.304,131.2
130.784,131.2
131.232,131.68
131.712,132.16
132.192,133.12
133.152,134.24
133.152,134.24
133.152,134.24
134.272,134.72
134.752,134.944
134.976,135.168
135.2,135.648
135.68,136.48
135.68,136.48
135.68,136.48
136.512,137.408
136.512,137.408
137.44,137.888
137.44,138.368
137.92,138.368
138.4,139.328
138.4,140.256
139.36,140.256
140.288,141.216
141.248,142.656
141.248,142.656
141.248,142.656
142.688,143.136
143.168,144.064
144.096,145.504
145.536,145.984
146.016,146.912
146.016,146.912
146.944,148.0
146.944,148.0
146.944,148.0
148.032,148.48
148.512,149.408
148.512,149.408
148.512,149.408
149.44,150.368
149.44,150.368
149.44,150.368
150.4,151.072
151.104,151.296
151.328,152.224
151.328,152.224
151.328,152.224
152.256,153.184
152.256,154.112
153.216,153.888
153.92,154.112
154.144,155.072
154.144,155.072
155.104,156.032
155.104,156.512
156.064,156.992
156.544,156.992
157.024,157.92
157.024,157.92
157.952,159.36
157.952,159.36
157.952,159.36
159.392,159.968
160.0,161.12
161.152,162.048
161.152,163.008
162.08,162.784
162.816,163.008
163.04,164.0
164.032,164.96
164.032,165.408
164.992,165.664
165.696,165.888
165.92,166.848
165.92,166.848
165.92,166.848
166.88,167.392
166.88,167.872
167.424,167.872
167.904,168.352
167.904,168.8
168.384,168.8
168.832,169.536
169.568,169.792
169.824,170.08
170.112,171.52
170.112,171.52
170.112,171.52
171.552,171.744
171.776,172.0
172.032,172.704
172.736,172.832
172.864,172.928
172.96,174.368
174.4,174.848
174.88,175.68
174.88,175.68
174.88,175.68
175.712,176.48
175.712,176.48
175.712,176.48
176.512,176.96
176.992,177.44
177.472,178.4
177.472,178.4
177.472,178.4
178.432,178.88
178.432,178.88
178.912,179.2
179.232,179.68
179.712,180.16
180.192,180.64
180.192,181.12
180.192,181.12
180.672,181.12
181.152,182.08
181.152,182.56
182.112,182.784
182.816,183.008
183.04,183.744
183.776,183.84
183.872,183.968
184.0,185.408
185.44,185.888
185.44,185.888
185.92,186.816
185.92,186.816
186.848,187.776
186.848,187.776
187.808,188.256
187.808,188.736
188.288,189.216
188.768,189.696
189.248,189.696
189.728,190.624
189.728,191.584
189.728,191.584
190.656,191.584
191.616,193.44
193.472,194.848
193.472,194.848
194.88,195.328
195.36,198.016
198.048,199.456
199.488,199.904
199.488,199.904
199.936,200.864
199.936,200.864
200.896,201.824
200.896,202.304
201.856,202.304
202.304,202.656
202.304,202.656
202.688,203.52
202.688,203.52
203.552,204.48
203.552,204.96
204.512,205.408
204.992,205.408
205.44,205.76
205.44,206.176
205.792,206.176
206.208,206.624
206.208,206.944
206.656,206.944
206.976,207.36
207.392,207.808
207.84,208.768
208.8,209.696
208.8,209.696
208.8,209.696
209.728,210.176
210.208,210.432
210.464,210.656
210.688,211.136
211.168,211.808
211.168,211.808
211.168,211.808
211.84,212.736
211.84,212.736
212.768,213.184
212.768,213.664
213.216,213.664
213.696,214.624
213.696,215.456
214.624,215.456
215.488,216.384
216.416,217.792
216.416,217.792
216.416,217.792
217.824,218.272
218.304,219.232
219.264,220.64
220.672,221.12
221.152,221.952
221.152,221.952
221.984,223.168
221.984,223.168
221.984,223.168
223.2,223.648
223.68,224.576
223.68,224.576
223.68,224.576
224.608,225.536
224.608,225.536
224.608,225.536
225.568,226.24
226.272,226.464
226.496,227.424
226.496,227.424
226.496,227.424
227.456,228.384
227.456,229.344
228.416,229.088
229.12,229.344
229.376,230.272
229.376,230.272
230.304,231.232
230.304,231.68
231.232,232.16
231.712,232.16
232.192,233.12
232.192,233.12
233.152,234.528
233.152,234.528
233.152,234.528
234.56,235.104
235.136,236.192
236.224,237.12
236.224,238.08
237.152,237.856
237.888,238.08
238.112,239.072
239.104,240.032
239.104,240.512
240.064,240.832
240.864,241.056
241.088,242.016
241.088,242.016
241.088,242.016
242.048,242.592
242.048,243.072
242.624,243.072
243.104,243.552
243.104,244.032
243.584,244.032
244.064,244.64
244.672,244.896
244.928,245.184
245.216,246.624
245.216,246.624
245.216,246.624
246.656,246.912
246.944,247.168
247.2,247.904
247.936,248.032
248.064,248.16
248.192,249.568
249.6,250.048
250.08,250.848
250.08,250.848
250.08,250.848
250.88,251.776
250.88,251.776
250.88,251.776
251.808,252.256
252.288,252.736
252.768,253.696
252.768,253.696
252.768,253.696
253.728,254.112
253.728,254.112
254.112,254.56
254.592,254.976
255.008,255.424
255.456,255.84
255.456,256.32
255.456,256.32
255.872,256.32
256.352,257.28
256.352,257.76
257.312,257.984
258.016,258.24
258.272,258.944
258.976,259.072
259.104,259.136
259.136,260.544
260.576,260.928
260.576,260.928
260.96,261.856
260.96,261.856
261.888,262.784
261.888,262.784
262.816,263.264
262.816,263.744
263.296,264.224
263.776,264.768
264.256,264.768
264.8,265.696
