start,end
0.896,2.528
0.896,3.04
0.896,3.04
2.56,3.04
3.072,4.16
3.072,4.16
3.072,4.16
3.072,4.16
4.192,5.856
4.192,6.4
4.192,6.4
4.192,6.4
5.888,6.4
6.432,7.488
6.432,7.488
6.432,7.488
6.432,7.488
7.52,9.184
7.52,9.728
7.52,9.728
9.216,9.728
9.76,10.784
9.76,10.784
9.76,10.784
10.816,12.352
10.816,12.352
10.816,12.352
12.384,12.832
12.384,13.632
12.864,13.088
13.12,13.376
13.408,13.632
13.664,13.888
13.664,14.176
13.92,14.176
14.208,14.432
14.464,14.912
14.944,16.512
14.944,17.056
14.944,17.056
16.544,17.056
17.088,18.144
17.088,18.144
17.088,18.144
17.088,18.144
18.176,19.744
18.176,20.256
18.176,20.256
18.176,20.256
19.776,20.256
20.288,21.344
20.288,21.344
20.288,21.344
20.288,21.344
21.376,22.944
21.376,23.488
21.376,23.488
22.976,23.488
23.52,24.544
23.52,24.544
23.52,24.544
23.52,24.544
24.576,25.344
24.576,25.344
24.576,25.344
24.576,25.344
25.376,25.472
25.504,25.6
25.632,27.2
27.232,27.488
27.52,27.936
27.52,27.936
27.52,28.224
28.256,28.48
28.512,29.184
29.216,29.312
29.344,29.472
29.504,30.272
30.304,30.624
30.656,31.136
30.656,31.136
30.656,31.136
30.656,31.392
31.424,31.648
31.68,32.192
31.68,32.192
31.68,32.192
31.68,32.576
32.608,32.864
32.896,33.664
33.696,33.92
33.952,34.464
33.952,34.464
33.952,34.464
33.952,34.72
34.752,35.008
35.04,35.52
35.04,35.872
35.04,35.872
35.904,36.128
35.904,36.128
36.16,36.928
36.16,36.928
36.96,37.216
36.96,37.216
36.96,37.216
37.248,37.76
37.248,37.76
37.248,38.144
38.176,38.432
38.464,38.944
38.464,39.232
39.264,39.488
39.52,40.32
40.352,40.672
40.352,40.672
40.352,40.672
40.352,40.672
40.704,41.184
40.704,41.184
40.704,41.664
40.704,41.664
41.696,41.92
41.952,42.72
42.752,42.848
42.88,42.976
43.008,43.84
43.872,44.192
44.224,44.672
44.224,44.672
44.224,44.672
44.224,44.96
44.992,45.216
45.248,45.76
45.248,45.76
45.248,45.76
45.248,46.112
46.144,46.4
46.432,47.232
47.264,47.488
47.52,48.032
47.52,48.032
47.52,48.032
47.52,48.416
48.448,48.672
48.704,49.248
48.704,49.568
48.704,49.568
49.6,49.856
49.6,49.856
49.888,50.656
49.888,50.656
50.688,51.008
50.688,51.008
50.688,51.008
51.04,51.808
51.04,51.808
51.04,51.808
51.84,52.096
51.84,52.096
51.84,52.096
52.128,53.152
52.128,54.208
52.128,54.208
53.184,53.952
53.984,54.208
54.24,54.752
54.24,54.752
54.24,56.416
56.448,56.704
56.736,57.504
57.536,57.632
57.664,57.76
57.792,58.56
58.592,58.848
58.592,58.848
58.88,59.584
58.88,59.84
59.616,59.84
59.84,60.512
59.84,60.768
60.544,60.768
60.8,61.568
61.6,61.856
61.6,61.856
61.856,62.592
61.856,62.848
62.624,62.848
62.88,63.584
62.88,63.872
63.616,63.712
63.744,63.872
63.904,64.672
64.704,64.896
64.704,64.896
64.928,65.664
64.928,65.664
65.696,65.92
65.696,65.92
65.952,66.72
65.952,66.72
66.752,67.008
66.752,67.008
67.04,67.872
67.04,67.872
67.904,68.256
67.904,68.256
68.288,69.056
68.288,69.056
69.088,69.216
69.248,69.376
69.408,70.176
70.208,70.304
70.336,70.432
70.464,71.232
71.264,71.488
71.264,71.488
71.52,72.192
71.52,72.48
72.224,72.48
72.512,73.28
72.512,73.536
73.312,73.536
73.568,74.336
74.368,74.624
74.368,74.624
74.656,75.424
74.656,75.68
75.456,75.68
75.712,76.416
75.712,76.672
76.448,76.544
76.576,76.672
76.704,77.472
77.504,77.888
77.504,77.888
77.504,77.888
77.92,78.688
77.92,79.04
77.92,79.04
78.72,79.04
79.072,79.904
79.072,80.192
79.072,80.192
79.936,80.032
80.064,80.192
80.224,81.536
81.568,81.792
81.568,81.792
81.824,82.336
81.824,82.336
82.368,82.976
83.008,83.52
83.552,84.064
84.096,84.576
84.608,85.088
85.12,85.632
85.12,85.632
85.664,85.888
85.92,86.176
86.176,86.56
86.592,87.072
87.072,87.52
87.552,87.936
87.968,88.416
87.968,88.416
88.448,88.576
88.608,88.832
88.864,89.344
89.376,89.76
89.792,90.272
90.304,90.528
90.56,90.816
90.848,91.328
91.36,91.872
91.36,91.872
91.904,92.32
91.904,92.608
92.352,92.608
92.64,92.864
92.896,93.12
93.152,93.376
93.408,93.568
93.6,93.728
93.76,93.952
93.984,94.112
93.984,94.112
94.144,94.4
94.432,94.624
94.656,94.88
94.912,95.168
95.2,95.424
95.456,95.616
95.648,95.84
95.84,96.032
96.032,96.192
96.224,96.416
96.448,96.608
96.64,96.768
96.8,96.992
97.024,97.152
97.184,97.344
97.376,97.632
97.664,97.824
97.856,98.016
98.048,98.208
98.24,98.4
98.432,98.592
98.624,98.784
98.816,99.008
99.04,99.2
99.232,99.456
99.488,99.712
99.744,100.0
100.032,100.256
100.288,100.512
100.544,100.704
100.736,100.928
100.96,101.12
101.152,101.344
101.344,101.504
101.536,101.696
101.728,101.984
102.016,102.144
102.176,102.336
102.368,102.528
102.56,102.688
102.72,102.912
102.944,103.136
103.168,103.392
103.424,103.68
103.712,103.936
103.968,104.192
104.224,104.48
104.512,105.152
105.184,105.696
105.728,106.24
106.272,106.752
106.784,107.296
107.328,107.84
107.872,108.384
108.416,108.896
108.928,109.44
109.472,109.92
109.952,110.4
110.432,110.944
110.944,111.36
111.392,111.872
111.904,112.416
112.448,112.96
112.992,113.504
113.536,114.016
114.048,114.464
114.496,114.72
114.752,114.976
115.008,115.264
115.296,115.776
115.808,116.32
116.352,116.864
116.896,117.536
117.568,117.952
117.984,118.208
118.24,118.432
118.464,118.688
118.72,118.912
118.944,119.104
119.104,119.296
119.328,119.488
119.52,119.712
119.712,119.904
119.936,120.096
120.128,120.352
120.384,120.512
120.544,120.768
120.768,120.928
120.96,121.12
121.152,121.344
121.376,121.472
121.504,121.728
121.76,121.984
122.016,122.144
122.144,122.336
122.368,122.496
122.528,122.72
122.752,122.88
122.912,123.136
123.136,123.296
123.328,123.52
123.552,123.808
123.84,124.064
124.096,124.224
124.256,124.448
124.48,124.64
124.672,124.832
124.864,125.056
125.056,125.248
125.28,125.44
125.472,125.664
125.696,125.856
125.856,126.016
126.048,126.208
126.24,126.4
126.432,126.56
126.592,126.816
126.848,127.008
127.008,127.232
127.264,127.488
127.52,127.744
127.776,128.032
128.064,128.288
128.32,128.512
128.544,128.736
128.768,128.896
128.928,129.088
129.12,129.312
129.344,129.472
129.504,129.664
129.696,129.888
129.92,130.08
130.112,130.304
130.336,130.592
130.624,130.848
130.88,131.136
131.168,131.424
131.456,131.744
131.776,132.032
132.064,132.288
132.32,132.544
132.576,132.832
132.864,133.024
133.024,133.216
133.248,133.44
133.472,133.664
133.696,133.856
133.888,134.048
134.08,134.272
134.304,134.4
134.432,134.656
134.688,134.848
134.88,135.072
135.104,135.36
135.392,135.584
135.616,135.808
135.84,135.968
136.0,136.192
136.224,136.416
136.448,136.576
136.608,136.768
136.8,136.992
136.992,137.184
137.216,137.376
137.376,137.6
137.632,137.824
137.856,138.08
138.112,138.368
138.4,138.656
138.688,138.912
138.944,139.2
139.232,139.36
139.392,139.616
139.616,139.808
139.84,140.0
140.032,140.192
140.224,140.384
140.416,140.576
140.608,140.8
140.8,140.96
140.992,141.184
141.216,141.472
141.504,141.696
141.728,141.856
141.888,142.048
142.08,142.24
142.272,142.464
142.496,142.656
142.688,142.816
142.848,143.008
143.04,143.264
143.296,143.52
143.552,143.776
143.808,144.064
144.096,144.32
144.352,144.608
144.64,144.832
144.864,145.024
145.056,145.28
145.312,145.44
145.44,145.632
145.664,145.824
145.856,146.048
146.08,146.208
146.208,146.464
146.496,146.72
146.752,146.976
147.008,147.2
147.2,147.392
147.392,147.584
147.616,147.84
147.872,148.096
148.128,148.448
148.48,148.96
148.992,149.216
149.248,149.504
149.536,149.792
149.824,150.048
150.08,151.552
151.584,151.808
151.84,152.064
152.096,152.352
152.384,152.608
152.64,152.864
152.896,153.152
153.184,153.408
153.44,153.664
153.696,153.952
153.984,154.176
154.208,154.432
154.464,154.688
154.72,154.88
154.912,155.072
155.104,155.328
155.36,155.52
155.52,155.776
155.776,155.968
156.0,156.224
156.256,156.48
156.48,156.64
156.672,156.896
156.928,157.184
157.216,157.44
157.472,157.632
157.664,157.856
157.888,158.048
158.08,158.272
158.304,158.496
158.528,158.72
158.752,158.976
159.008,159.264
159.296,159.424
159.456,159.648
159.68,159.872
159.904,160.064
160.096,160.32
160.352,160.512
160.544,160.704
160.736,160.928
160.928,161.12
161.152,161.376
161.408,161.664
161.696,161.92
161.952,162.176
162.208,162.464
162.496,162.72
162.752,162.976
163.008,163.232
163.264,163.456
163.488,163.648
163.68,163.872
163.904,164.064
164.096,164.32
164.352,164.512
164.544,164.736
164.768,165.024
165.056,165.28
165.312,165.568
165.6,165.856
165.888,166.048
166.08,166.272
166.304,166.528
166.56,166.688
166.72,166.912
166.944,167.104
167.136,167.328
167.36,167.552
167.552,167.776
167.776,167.936
167.968,168.16
168.192,168.384
168.416,168.576
168.608,168.832
168.864,169.088
169.12,169.28
169.312,169.504
169.536,169.696
169.728,169.856
169.888,170.112
170.112,170.272
170.304,170.432
170.464,170.656
170.688,170.848
170.88,171.04
171.072,171.232
171.264,171.392
171.424,171.648
171.648,171.808
171.84,172.064
172.096,172.32
172.352,172.576
172.608,172.736
172.768,172.992
173.024,173.28
173.024,173.28
173.312,173.792
173.824,174.208
174.24,174.592
174.24,174.592
174.624,174.784
174.624,174.912
174.816,174.912
174.944,175.168
175.2,175.392
175.424,175.776
175.424,175.776
175.808,176.224
176.256,176.704
176.736,177.088
176.736,177.088
177.12,177.312
177.12,177.472
177.312,177.472
177.504,177.664
177.696,177.856
177.888,178.208
177.888,178.208
178.24,178.624
178.656,179.008
179.04,179.488
179.04,179.488
179.52,179.648
179.52,179.904
179.68,179.904
179.936,180.128
180.16,180.384
180.416,180.608
180.416,180.896
180.64,180.896
180.928,181.056
180.928,181.248
181.088,181.248
181.28,181.376
181.28,181.6
181.28,181.6
181.376,181.6
181.632,181.888
181.632,182.048
181.92,182.048
182.08,182.24
182.08,182.4
182.272,182.4
182.432,182.656
182.688,182.912
182.944,183.072
182.944,183.328
183.104,183.328
183.36,183.552
183.552,183.744
183.776,183.904
183.776,184.064
183.936,184.064
184.096,184.288
184.288,184.448
184.48,184.704
184.736,184.896
184.928,184.992
185.024,185.28
185.28,185.44
185.28,185.568
185.472,185.568
185.6,185.856
185.856,186.016
186.048,186.208
186.048,186.304
186.24,186.304
186.336,186.56
186.56,186.752
186.784,187.008
187.04,187.168
187.2,187.328
187.36,187.584
187.616,187.84
187.616,188.0
187.84,188.0
188.032,188.224
188.256,188.384
188.416,188.544
188.416,188.736
188.576,188.736
188.768,188.896
188.928,189.152
189.184,189.408
189.44,189.6
189.632,189.792
189.824,189.952
189.984,190.208
190.24,190.464
190.496,190.624
190.656,190.784
190.816,191.072
191.104,191.232
191.264,191.424
191.456,191.712
191.744,191.968
192.0,192.224
192.256,192.512
192.544,192.928
192.96,193.376
192.96,193.376
193.408,193.6
193.632,193.728
193.76,193.984
194.016,194.24
194.272,194.4
194.432,194.528
194.56,194.752
194.784,195.008
195.04,195.264
195.296,195.392
195.424,195.552
195.584,195.648
195.68,195.712
195.744,195.808
195.808,195.872
195.904,196.128
195.904,196.128
196.16,196.256
196.288,196.384
196.416,196.544
196.576,196.8
196.8,196.896
196.928,197.12
197.152,197.312
197.344,197.504
197.536,197.76
197.792,197.888
197.92,197.952
197.984,198.048
198.08,198.112
198.144,198.208
198.208,198.304
198.336,198.464
198.336,198.464
198.496,198.592
198.624,198.688
198.72,198.88
198.912,199.072
199.104,199.296
199.328,199.36
199.36,199.488
199.52,199.648
199.68,199.904
199.936,200.192
200.224,200.32
200.352,200.448
200.48,200.576
200.608,200.64
200.672,200.736
200.768,200.832
200.864,200.928
200.96,201.024
201.056,201.088
201.12,201.152
201.184,201.28
201.312,201.344
201.376,201.44
201.472,201.504
201.536,201.632
201.664,201.728
201.76,201.792
201.824,201.888
201.92,201.984
202.016,202.08
202.08,202.144
202.144,202.272
202.304,202.528
202.56,202.656
202.688,202.784
202.816,202.912
202.944,203.04
203.072,203.136
203.168,203.2
203.232,203.456
203.488,203.552
203.584,203.648
203.68,203.808
203.84,204.0
204.032,204.192
204.224,204.384
204.416,204.512
204.544,204.768
204.8,204.896
204.928,204.96
204.992,205.056
205.088,205.152
205.184,205.248
205.28,205.376
205.376,205.472
205.504,205.6
205.632,205.888
205.92,205.984
206.016,206.08
206.112,206.24
206.272,206.464
206.496,206.624
206.656,206.72
206.752,207.008
207.04,207.168
207.2,207.296
207.328,207.392
207.424,207.456
207.488,207.584
207.616,207.648
207.68,207.712
207.744,207.808
207.84,207.904
207.936,208.192
208.224,208.288
208.32,208.352
208.384,208.544
208.576,208.736
208.768,208.896
208.928,209.088
209.12,209.248
209.28,209.44
209.472,209.536
209.568,209.664
209.696,209.728
209.76,209.824
209.824,209.92
209.952,209.984
210.016,210.048
210.08,210.208
210.24,210.336
210.368,210.464
210.496,210.592
210.624,210.72
210.752,210.784
210.816,210.88
210.912,210.912
210.944,211.04
211.072,211.136
211.136,211.168
211.2,211.296
211.328,211.36
211.36,211.424
211.424,211.488
211.52,211.584
211.616,211.68
211.712,211.776
211.808,211.872
211.904,211.968
212.0,212.064
212.096,212.16
212.192,212.288
212.32,212.448
212.48,212.576
212.608,212.864
212.896,212.992
213.024,213.12
213.152,213.248
213.28,213.376
213.408,213.504
213.536,213.6
213.632,213.696
213.728,213.76
213.792,213.92
213.952,213.952
213.984,214.048
214.08,214.144
214.176,214.208
214.208,214.272
214.304,214.4
214.432,214.656
214.688,214.912
214.944,215.2
215.232,215.456
215.488,215.584
215.616,215.712
215.744,215.872
215.904,215.968
216.0,216.064
216.096,216.16
216.192,216.256
216.256,216.32
216.352,216.448
216.48,216.512
216.544,216.576
216.576,216.672
216.704,216.768
216.768,216.8
216.832,216.928
216.96,216.992
217.024,217.216
217.248,217.472
217.504,217.728
217.76,217.984
218.016,218.112
218.144,218.272
218.304,218.4
218.432,218.528
218.56,218.592
218.624,218.72
218.752,218.784
218.784,218.88
218.912,219.008
219.04,219.104
219.136,219.2
219.232,219.232
219.264,219.36
219.392,219.456
219.456,219.52
219.52,219.616
219.648,219.712
219.744,219.808
219.84,219.936
219.968,219.968
220.0,220.096
220.096,220.16
220.192,220.256
220.288,220.384
220.416,220.544
220.576,220.672
220.704,220.8
220.832,220.896
220.928,220.96
220.992,221.056
221.056,221.152
221.184,221.248
221.28,221.312
221.344,221.408
221.44,221.472
221.504,221.568
221.6,221.696
221.728,221.76
221.792,221.856
221.888,221.984
222.016,222.112
222.144,222.272
222.304,222.4
222.432,222.528
222.56,222.656
222.688,222.784
222.816,223.04
223.072,223.2
223.232,223.872
223.904,224.256
224.288,224.544
224.576,224.8
224.832,225.056
225.088,225.312
225.344,225.504
225.536,225.728
225.76,226.016
226.048,226.272
226.304,226.528
226.56,226.88
226.912,227.232
227.264,227.488
227.52,227.776
227.808,228.032
228.064,228.224
228.256,228.48
228.512,228.704
228.736,228.928
228.96,229.184
229.216,229.44
229.472,229.728
229.76,229.984
230.016,230.24
230.272,230.528
230.56,230.72
230.752,230.976
231.008,231.2
231.232,231.424
231.456,231.648
231.68,231.904
231.936,232.128
232.16,232.416
232.448,232.672
232.704,232.928
232.96,233.248
233.28,233.504
233.536,233.76
233.792,234.048
234.08,234.304
234.336,234.56
234.592,234.848
234.88,235.104
235.136,235.488
235.52,235.776
235.808,236.032
236.064,236.608
236.64,237.248
237.28,237.504
237.536,238.272
238.304,238.56
238.592,238.816
238.848,239.104
239.136,239.36
239.392,239.616
239.648,239.904
239.936,240.16
240.192,240.416
240.448,240.704
240.736,240.96
240.992,241.216
241.248,241.568
241.6,241.824
241.856,242.08
242.112,242.368
242.4,242.624
242.656,242.88
242.912,243.168
243.2,243.424
243.456,243.68
243.712,243.968
244.0,244.256
244.288,244.544
244.576,244.96
244.992,245.216
245.248,245.504
245.536,245.76
245.792,246.016
246.048,246.272
246.304,246.528
246.56,246.72
246.752,247.008
247.04,247.264
247.296,247.52
247.552,247.808
247.808,248.0
248.0,248.224
248.256,248.512
248.512,248.576
248.608,248.704
248.736,248.96
248.992,249.12
249.152,249.248
249.28,249.536
249.568,249.664
249.696,249.824
249.856,250.208
250.24,250.592
250.624,250.752
250.784,250.944
250.976,251.072
251.104,251.2
251.232,251.328
251.36,251.456
251.488,251.584
251.616,251.744
251.776,251.872
251.904,252.0
252.0,252.032
252.064,252.16
252.192,252.256
252.256,252.352
252.384,252.416
252.448,252.544
252.576,252.64
252.672,252.768
252.8,252.896
252.928,252.96
252.992,253.088
253.088,253.184
253.184,253.28
253.312,253.408
253.44,253.568
253.6,253.696
253.728,253.792
253.824,253.888
253.92,254.016
254.016,254.08
254.08,254.176
254.208,254.272
254.304,254.304
254.304,254.4
254.432,254.528
254.56,254.656
254.656,254.752
254.752,254.784
254.816,254.912
254.944,255.008
255.04,255.136
255.168,255.296
255.328,255.424
255.456,255.552
255.584,255.68
255.712,255.808
255.84,255.936
255.968,256.096
256.128,256.224
256.256,256.352
256.384,256.48
256.512,256.608
256.64,256.768
256.8,256.896
256.928,257.024
257.056,257.152
257.184,257.28
257.312,257.408
257.44,257.568
257.6,257.696
257.728,257.824
257.856,257.888
257.888,257.888
257.888,257.888
257.888,257.984
257.984,257.984
257.984,258.048
258.08,258.176
258.208,258.304
258.336,258.432
258.464,258.592
258.624,258.688
258.688,258.688
258.688,258.688
258.688,258.688
258.688,258.72
258.752,258.848
258.88,258.976
259.008,259.104
259.136,259.232
259.264,259.36
259.392,259.52
259.552,259.648
259.68,259.776
259.808,259.904
259.936,260.032
260.064,260.096
260.128,260.256
260.288,260.384
260.416,260.512
260.544,260.64
260.672,260.768
260.8,260.928
260.96,261.056
261.088,261.184
261.216,261.312
261.344,261.44
261.344,264.448
261.344,264.448
261.344,264.448
261.472,261.568
261.6,261.728
261.76,261.856
261.888,261.984
262.016,262.08
262.112,262.208
262.24,262.336
262.368,262.496
262.528,262.592
262.624,262.72
262.752,262.848
262.88,262.976
263.008,263.104
263.136,263.264
263.296,263.392
263.424,263.52
263.552,263.648
263.68,263.776
263.808,263.936
263.968,264.064
264.096,264.192
264.224,264.32
264.352,264.448
264.48,266.208
264.48,266.208
264.48,266.208
266.24,267.264
266.24,267.264
266.24,267.264
267.296,269.088
267.296,269.088
267.296,269.088
269.12,269.632
269.12,269.632
269.12,269.632
269.664,270.144
269.664,270.144
269.664,271.04
270.176,270.464
270.176,270.464
270.464,270.816
270.464,270.816
270.848,271.04
270.848,271.04
271.072,271.584
271.072,271.584
271.072,272.128
271.616,272.128
271.616,272.128
272.16,273.088
272.16,274.624
272.16,274.624
273.12,273.856
273.888,274.624
274.656,275.328
274.656,277.12
274.656,277.12
275.36,276.064
276.096,277.12
277.152,277.952
277.152,277.952
277.152,279.52
277.984,278.72
277.984,278.72
278.752,279.52
278.752,279.52
279.552,280.032
279.552,281.088
279.552,282.176
280.064,281.088
281.12,282.176
281.12,282.176
282.208,283.232
282.208,284.896
282.208,284.896
283.264,284.288
284.32,284.896
284.896,285.888
284.896,287.776
284.896,287.776
285.92,286.976
287.008,287.776
287.808,288.384
287.808,288.384
287.808,288.384
288.416,289.472
288.416,289.472
288.416,289.472
289.504,290.24
289.504,290.24
289.504,290.24
290.272,290.784
290.272,291.168
290.272,291.168
290.816,291.168
291.2,292.064
291.2,292.864
291.2,292.864
292.096,292.864
292.896,293.888
292.896,295.488
292.896,295.488
293.92,294.656
294.688,295.488
295.52,296.32
295.52,298.048
295.52,298.048
296.352,297.152
297.184,298.048
298.08,298.784
298.08,298.784
298.08,299.872
298.816,299.872
298.816,299.872
299.904,300.928
299.904,300.928
299.904,300.928
299.904,300.928
300.96,302.016
300.96,302.016
300.96,302.016
300.96,302.016
302.048,304.128
302.048,304.128
302.048,304.128
304.16,305.216
