start,end
0.544,0.928
0.96,1.152
1.184,1.376
1.408,1.632
1.664,1.824
1.856,2.048
2.08,2.304
2.336,2.496
2.528,2.72
2.752,2.912
2.944,3.136
3.168,3.328
3.36,3.552
3.584,3.776
3.808,4.0
4.032,4.224
4.256,4.416
4.448,4.64
4.672,4.864
4.896,5.056
5.088,5.28
5.312,5.472
5.504,5.696
5.728,5.888
5.92,6.112
6.144,6.336
6.368,6.528
6.56,6.752
6.784,6.912
6.944,7.136
7.168,7.36
7.392,7.552
7.584,7.776
7.808,7.968
8.0,8.16
8.192,8.352
8.384,8.576
8.608,8.8
8.832,8.992
9.024,9.216
9.248,9.408
9.44,9.568
9.6,9.792
9.824,9.984
10.016,10.176
10.208,10.368
10.4,10.592
10.624,10.784
10.816,11.008
11.04,11.232
11.264,11.424
11.456,11.648
11.456,11.648
11.456,11.648
11.68,11.84
11.872,12.064
12.096,12.416
12.448,12.608
12.64,12.832
12.864,13.024
13.056,13.248
13.28,13.44
13.472,13.664
13.696,13.888
13.888,14.048
14.08,14.272
14.304,14.432
14.464,14.656
14.688,14.88
14.912,15.072
15.104,15.296
15.328,15.488
15.488,15.648
15.68,15.84
15.872,16.064
16.096,16.288
16.32,16.48
16.512,16.672
16.672,16.832
16.864,17.056
17.088,17.28
17.312,17.472
17.504,17.696
17.728,17.888
17.92,18.112
18.144,18.304
18.336,18.528
18.56,18.752
18.784,18.912
18.912,19.104
19.136,19.296
19.328,19.488
19.52,19.712
19.744,19.904
19.936,20.128
20.16,20.288
20.32,20.48
20.512,20.672
20.704,20.896
20.928,21.12
21.152,21.312
21.344,21.536
21.568,21.728
21.76,21.952
21.984,22.4
22.432,22.816
22.848,23.04
23.072,23.232
23.264,23.456
23.488,23.648
23.68,23.872
23.904,24.096
24.128,24.288
24.32,24.512
24.544,24.704
24.736,24.928
24.96,25.152
25.152,25.312
25.344,25.536
25.536,25.696
25.728,25.92
25.952,26.112
26.144,26.336
26.368,26.56
26.592,26.752
26.784,26.976
27.008,27.168
27.2,27.392
27.424,27.616
27.648,27.808
27.84,28.032
28.064,28.224
28.256,28.448
28.48,28.64
28.672,28.864
28.896,29.056
29.088,29.248
29.28,29.44
29.472,29.632
29.664,29.856
29.888,30.08
30.112,30.24
30.272,30.464
30.496,30.656
30.688,30.88
30.912,31.072
31.104,31.296
31.328,31.52
31.552,31.68
31.712,31.904
31.936,32.096
32.128,32.32
32.352,32.544
32.576,32.736
32.768,32.96
32.992,33.152
33.184,33.376
33.408,33.568
33.6,33.792
33.824,33.984
34.016,34.176
34.208,34.368
34.4,34.56
34.592,34.784
34.816,35.008
35.04,35.2
35.2,35.328
35.36,35.52
35.552,35.744
35.776,35.904
35.936,36.128
36.16,36.352
36.384,36.544
36.576,36.736
36.736,36.896
36.928,37.12
37.152,37.344
37.376,37.536
37.568,37.76
37.792,37.952
37.984,38.176
38.208,38.368
38.4,38.592
38.624,38.816
38.848,39.008
39.04,39.232
39.264,39.424
39.456,39.648
39.68,39.872
39.904,40.064
40.096,40.288
40.32,40.96
40.992,41.184
41.216,41.792
41.824,41.984
42.016,42.208
42.24,42.4
42.432,42.656
42.688,42.88
42.912,43.104
43.136,43.328
43.36,43.52
43.552,43.744
43.776,43.936
43.968,44.16
44.192,44.384
44.416,44.576
44.608,44.8
44.832,44.992
45.024,45.216
45.248,45.408
45.44,45.632
45.664,45.856
45.888,46.048
46.08,46.272
46.304,46.464
46.496,46.688
46.72,46.88
46.912,47.072
47.104,47.296
47.328,47.488
47.52,47.712
47.744,47.904
47.936,48.128
48.16,48.352
48.384,48.544
48.576,48.768
48.8,48.96
48.992,49.184
49.216,49.472
49.504,49.664
49.696,49.888
49.92,50.08
50.112,50.304
50.336,50.496
50.528,50.72
50.752,50.944
50.976,51.136
51.168,51.36
51.392,51.552
51.584,51.776
51.808,52.0
52.032,52.192
52.224,52.416
52.224,52.416
52.224,52.416
52.448,52.608
52.64,52.832
52.864,53.152
53.184,53.408
53.44,53.632
53.664,53.824
53.856,54.048
54.08,54.24
54.272,54.464
54.496,54.688
54.72,54.88
54.912,55.104
55.136,55.296
55.328,55.52
55.552,55.712
55.744,55.936
55.968,56.16
56.192,56.352
56.384,56.448
56.48,56.64
56.672,56.864
56.896,57.088
57.12,57.28
57.312,57.504
57.504,57.6
57.632,57.824
57.856,58.016
58.048,58.24
58.272,58.464
58.496,58.656
58.688,58.88
58.912,59.072
59.104,59.296
59.328,59.52
59.552,59.68
59.712,59.872
59.904,60.064
60.096,60.256
60.288,60.416
60.448,60.64
60.672,60.864
60.896,61.056
61.088,61.28
61.312,61.472
61.504,61.696
61.728,61.92
61.952,62.112
62.144,62.336
62.368,62.528
62.56,62.752
62.784,62.944
62.976,63.36
63.392,63.584
63.616,63.776
63.808,64.0
64.032,64.192
64.224,64.416
64.448,64.64
64.672,64.832
64.864,65.056
65.088,65.248
65.28,65.472
65.504,65.664
65.696,65.824
65.856,66.048
66.08,66.24
66.272,66.432
66.464,66.592
66.624,66.816
66.848,67.04
67.072,67.232
67.264,67.456
67.488,67.648
67.68,67.872
67.904,68.064
68.096,68.288
68.32,68.448
68.48,68.64
68.672,68.864
68.896,69.056
69.088,69.28
69.312,69.504
69.536,69.664
69.696,69.888
69.92,70.08
70.112,70.304
70.336,70.496
70.528,70.688
70.72,70.912
70.912,71.072
71.104,71.296
71.328,71.488
71.52,71.712
71.744,71.904
71.936,72.064
72.096,72.288
72.32,72.48
72.512,72.704
72.736,72.896
72.928,73.12
73.152,73.344
73.344,73.504
73.536,73.728
73.76,73.92
73.952,74.144
74.144,74.304
74.336,74.496
74.528,74.72
74.752,74.912
74.944,75.136
75.168,75.328
75.36,75.552
75.552,75.68
75.712,75.872
75.904,76.096
76.128,76.256
76.288,76.448
76.48,76.672
76.704,76.864
76.896,77.056
77.088,77.248
77.28,77.44
77.44,77.6
77.632,77.824
77.856,78.048
78.08,78.176
78.208,78.4
78.432,78.592
78.624,78.816
78.848,79.04
79.072,79.232
79.264,79.456
79.488,79.648
79.68,79.872
79.904,80.064
80.096,80.288
80.32,80.512
80.544,81.12
81.152,81.344
81.376,81.696
81.728,81.92
81.952,82.144
82.176,82.336
82.368,82.56
82.592,82.752
82.784,82.976
83.008,83.2
83.232,83.392
83.424,83.616
83.648,83.808
83.84,84.032
84.064,84.224
84.256,84.448
84.48,84.672
84.704,84.864
84.896,85.088
85.12,85.28
85.312,85.504
85.536,85.728
85.76,85.888
85.92,86.112
86.144,86.304
86.336,86.528
86.56,86.688
86.72,86.912
86.944,87.104
87.104,87.232
87.264,87.456
87.488,87.648
87.68,87.872
87.904,88.096
88.096,88.256
88.288,88.48
88.512,88.672
88.704,88.896
88.896,89.024
89.056,89.248
89.28,89.472
89.504,89.664
89.696,89.888
89.92,90.08
90.112,90.304
90.336,90.528
90.56,90.72
90.752,90.944
90.976,91.2
91.232,91.488
91.52,91.68
91.712,91.904
91.936,92.128
92.16,92.32
92.352,92.544
92.576,92.736
92.768,92.96
92.992,93.184
93.216,93.376
93.408,93.6
93.632,93.792
93.824,94.016
94.048,94.208
94.24,94.528
94.56,94.752
94.784,94.944
94.976,95.168
95.2,95.36
95.392,95.584
95.616,95.808
95.84,96.0
96.032,96.224
96.256,96.416
96.448,96.64
96.672,96.832
96.864,97.056
97.088,97.28
97.312,97.472
97.504,97.696
97.728,97.888
97.92,98.112
98.144,98.336
98.368,98.528
98.56,98.752
98.784,98.944
98.976,99.168
99.2,99.36
99.392,99.584
99.616,99.776
