start,end
0.864,1.28
1.312,1.76
1.792,2.08
2.08,2.464
2.496,2.72
2.752,2.848
2.848,3.264
3.296,3.712
3.744,4.16
4.192,4.576
4.608,4.864
4.608,4.864
4.896,5.312
5.344,5.76
5.344,5.76
5.792,5.92
5.952,6.112
6.144,6.464
6.144,6.464
6.496,6.944
6.976,7.328
6.976,7.328
7.36,7.776
7.808,8.096
7.808,8.096
7.808,8.096
8.128,8.544
8.576,8.992
8.576,8.992
8.576,8.992
9.024,9.248
9.28,9.44
9.472,9.824
9.472,9.824
9.472,9.824
9.856,10.304
10.336,10.752
10.336,10.752
10.784,11.2
11.232,11.456
11.488,11.648
11.68,11.872
11.904,12.0
12.032,12.096
12.096,12.448
12.096,12.448
12.48,12.928
12.96,13.248
12.96,13.248
12.96,13.248
13.28,13.728
13.76,14.176
13.76,14.176
13.76,14.176
14.208,14.4
14.432,14.592
14.624,14.912
14.624,14.912
14.624,14.912
14.944,15.36
15.392,15.84
15.392,15.84
15.392,15.84
15.872,16.0
16.032,16.16
16.192,16.576
16.192,16.576
16.192,16.576
16.608,17.056
17.088,17.504
17.088,17.504
17.088,17.504
17.536,17.728
17.76,17.952
17.984,18.208
18.24,18.432
18.464,19.008
19.04,19.264
19.04,19.264
19.04,19.264
19.296,19.52
19.552,19.744
19.776,19.968
20.0,20.192
20.224,20.416
20.448,20.672
20.704,20.896
20.928,21.12
21.152,21.344
21.376,21.568
21.6,21.792
21.824,22.048
22.08,22.24
22.272,22.432
22.464,22.656
22.688,22.88
22.912,23.136
23.168,23.328
23.36,23.488
23.52,23.68
23.712,23.808
23.84,24.064
24.096,24.288
24.32,24.512
24.544,24.704
24.704,24.864
24.896,25.024
25.056,25.216
25.248,25.344
25.376,25.568
25.6,25.792
25.824,26.016
26.048,26.272
26.304,26.4
26.432,26.624
26.656,26.784
26.816,26.944
26.976,27.168
27.2,27.392
27.424,27.616
27.648,27.808
27.84,28.0
28.032,28.224
28.256,28.384
28.384,28.544
28.576,28.704
28.736,28.928
28.96,29.152
29.184,29.344
29.376,29.536
29.568,29.696
29.728,29.888
29.92,30.08
30.112,30.336
30.368,30.56
30.592,30.784
30.816,31.008
31.04,31.232
31.264,31.392
31.424,31.52
31.552,31.744
31.776,31.904
31.936,32.096
32.128,32.288
32.32,32.416
32.448,32.64
32.672,32.832
32.864,33.024
33.056,33.248
33.28,33.472
33.504,33.696
33.728,34.144
33.728,34.144
34.176,34.624
34.656,34.944
34.656,34.944
34.656,34.944
34.976,35.392
34.976,35.392
34.976,35.392
35.424,35.776
35.424,35.776
35.424,35.776
35.808,36.0
36.032,36.224
36.256,36.64
36.256,36.64
36.256,36.64
36.64,36.96
36.64,36.96
36.64,36.96
36.992,37.184
36.992,37.376
36.992,37.376
37.216,37.376
37.408,37.6
37.632,37.856
37.888,38.272
37.888,38.272
37.888,38.272
38.304,38.72
38.304,38.72
38.304,38.72
38.752,38.976
38.752,39.2
38.752,39.2
39.008,39.2
39.232,39.424
39.232,39.648
39.456,39.648
39.68,39.872
39.68,40.128
39.904,40.128
40.16,40.32
40.16,40.544
40.352,40.544
40.576,40.768
40.576,40.992
40.8,40.992
41.024,41.216
41.248,41.472
41.504,41.696
41.728,41.92
41.952,42.112
42.144,42.304
42.336,42.528
42.56,42.752
42.784,42.912
42.944,43.136
43.168,43.36
43.392,43.584
43.616,43.776
43.808,44.0
44.032,44.416
44.032,44.416
44.448,44.896
44.928,45.344
45.376,45.792
45.824,46.272
46.304,46.496
46.528,46.72
46.752,47.2
47.232,47.648
47.68,48.096
48.128,48.512
48.512,48.768
48.512,48.768
48.8,49.216
49.248,49.696
49.248,49.696
49.728,49.856
49.888,50.048
50.08,50.368
50.08,51.232
50.4,50.784
50.816,51.232
51.264,51.488
51.264,51.712
51.52,51.712
51.712,52.064
51.712,52.064
52.096,52.256
52.096,52.416
52.256,52.416
52.448,52.864
52.448,52.864
52.864,52.992
53.024,53.152
53.184,53.472
53.184,53.472
53.504,53.92
53.952,54.368
53.952,54.368
54.4,54.784
54.816,55.104
54.816,55.104
55.136,55.584
55.616,56.0
55.616,56.0
56.032,56.128
56.16,56.32
56.352,56.672
56.352,57.44
56.704,56.992
57.024,57.44
57.472,57.696
57.472,57.92
57.728,57.92
57.952,58.368
57.952,58.368
58.4,58.528
58.4,58.784
58.56,58.784
58.816,59.072
58.816,59.072
59.104,59.296
59.328,59.52
59.552,59.84
59.552,59.84
59.872,60.064
60.096,60.288
60.288,60.672
60.288,60.672
60.704,60.832
60.864,60.96
60.992,61.312
60.992,61.312
61.344,61.536
61.568,61.76
61.792,62.112
61.792,62.112
62.144,62.304
62.336,62.464
62.496,62.816
62.496,62.816
62.848,63.04
63.072,63.232
63.264,63.616
63.264,63.616
63.648,63.808
63.84,63.936
63.968,64.384
63.968,64.384
64.416,64.608
64.64,64.864
64.896,65.312
64.896,65.312
65.344,65.76
65.792,66.112
65.792,66.112
65.792,66.112
66.144,66.56
66.592,67.008
66.592,67.008
66.592,67.008
67.04,67.232
67.264,67.456
67.488,67.872
67.488,67.872
67.488,67.872
67.904,68.352
68.384,68.8
68.384,68.8
68.384,68.8
68.832,69.216
68.832,69.216
68.832,69.216
69.248,69.472
69.248,69.472
69.248,69.472
69.504,69.92
69.504,69.92
69.504,69.92
69.952,70.368
69.952,70.368
69.952,70.368
70.4,70.816
70.4,70.816
70.4,70.816
70.848,71.264
70.848,71.264
70.848,71.264
71.296,71.488
71.52,71.744
71.776,72.192
71.776,72.192
71.776,72.192
71.776,72.192
72.224,72.416
72.448,72.64
72.672,73.12
72.672,73.12
72.672,73.12
73.152,73.568
73.152,73.568
73.152,73.568
73.6,74.048
73.6,74.048
73.6,74.048
73.6,74.048
74.08,74.272
74.304,74.496
74.528,74.944
74.976,75.392
74.976,75.392
74.976,75.392
75.424,75.808
75.424,75.808
75.424,75.808
75.84,76.032
76.064,76.256
76.288,76.736
76.768,77.184
76.768,77.184
76.768,77.184
77.216,77.408
77.216,77.664
77.216,77.664
77.44,77.664
77.696,77.888
77.92,78.112
78.144,78.816
78.144,78.816
78.848,79.04
78.848,79.04
79.072,79.488
79.072,79.488
79.52,79.968
80.0,80.416
