start,end
1.312,1.472
1.504,1.696
1.728,1.888
1.92,2.112
2.144,2.272
2.304,2.496
2.528,2.656
2.688,2.88
2.912,3.072
3.104,3.296
3.328,3.488
3.52,3.712
3.744,3.904
3.936,4.096
4.128,4.32
4.352,4.512
4.544,4.736
4.768,4.832
4.864,4.928
4.96,5.12
5.152,5.312
5.344,5.472
5.504,5.664
5.696,5.888
5.92,6.08
6.112,6.304
6.336,6.4
6.432,6.496
6.528,6.72
6.752,6.88
6.912,7.104
7.136,7.328
7.36,7.52
7.552,7.744
7.776,7.936
7.968,8.032
8.064,8.128
8.16,8.288
8.32,8.384
8.416,8.48
8.48,8.64
8.672,8.768
8.8,8.864
8.896,9.024
9.056,9.152
9.184,9.216
9.248,9.408
9.44,9.632
9.664,9.824
9.856,10.016
10.048,10.24
10.24,10.4
10.432,10.592
10.624,10.784
10.816,11.008
11.04,11.104
11.136,11.2
11.232,11.392
11.424,11.488
11.52,11.552
11.584,11.776
11.808,11.872
11.904,11.936
11.968,12.128
12.16,12.224
12.256,12.288
12.32,12.512
12.544,12.704
12.736,12.928
12.96,13.152
13.184,13.344
13.376,13.568
13.6,13.76
13.792,13.984
14.016,14.24
14.272,14.464
14.496,14.656
14.688,14.88
14.912,15.104
15.136,15.328
15.36,15.52
15.552,15.744
15.776,15.936
15.968,16.16
16.192,16.384
16.416,16.544
16.576,16.768
16.8,16.96
16.992,17.184
17.216,17.344
17.376,17.568
17.6,17.76
17.792,17.984
18.016,18.176
18.208,18.4
18.432,18.592
18.624,18.784
18.816,18.944
18.976,19.168
19.2,19.36
19.392,19.552
19.584,19.776
19.808,19.968
20.0,20.192
20.224,20.384
20.416,20.608
20.64,20.8
20.832,21.024
21.056,21.216
21.248,21.44
21.472,21.632
21.664,21.856
21.888,22.048
22.048,22.24
22.272,22.464
22.496,22.624
22.656,22.848
22.88,23.04
23.072,23.232
23.264,23.424
23.456,23.648
23.68,23.84
23.872,24.064
24.096,24.256
24.288,24.48
24.512,24.672
24.704,24.896
24.928,25.088
25.12,25.28
25.312,25.504
25.536,25.664
25.696,25.856
25.888,26.016
26.048,26.24
26.272,26.432
26.464,26.656
26.688,26.848
26.88,27.072
27.104,27.264
27.296,27.488
27.52,27.68
27.712,27.904
27.936,28.064
28.096,28.288
28.288,28.48
28.512,28.672
28.704,28.896
28.928,29.024
29.056,29.248
29.28,29.44
29.472,29.664
29.696,29.824
29.856,30.048
30.08,30.24
30.272,30.464
30.496,30.56
30.592,30.784
30.816,30.976
31.008,31.168
31.2,31.36
31.392,31.552
31.584,31.776
31.808,31.936
31.968,32.128
32.16,32.32
32.352,32.544
32.576,32.704
32.736,32.928
32.96,33.12
33.152,33.344
33.376,33.536
33.568,33.76
33.792,33.92
33.952,34.08
34.112,34.304
