start,end
0.16,0.864
0.896,1.248
1.28,1.44
1.472,1.6
1.632,1.92
1.952,2.304
2.336,3.072
3.104,3.392
3.424,3.776
3.808,4.096
4.128,4.48
4.512,4.832
4.864,5.024
5.024,5.152
5.184,5.44
5.472,5.632
5.664,5.824
5.856,6.56
5.856,6.56
6.592,6.88
6.592,7.264
6.912,7.072
7.104,7.264
7.296,7.616
7.296,8.0
7.648,8.0
8.032,8.736
8.032,8.736
8.768,9.088
8.768,9.472
9.12,9.472
9.504,9.792
9.504,9.792
9.824,10.144
9.824,10.144
10.176,10.528
10.176,10.528
10.56,10.72
10.56,10.912
10.752,10.912
10.912,11.232
10.912,11.232
11.264,11.424
11.264,11.616
11.456,11.616
11.648,12.0
11.648,13.12
12.032,12.384
12.416,12.736
12.768,13.12
13.12,13.472
13.12,14.176
13.504,13.824
13.856,14.56
14.208,14.56
14.592,14.944
14.592,15.328
14.592,15.328
14.976,15.328
15.36,15.712
15.36,16.096
15.36,16.096
15.36,16.096
15.744,15.904
15.936,16.096
16.128,16.48
16.128,16.864
16.128,16.864
16.128,16.864
16.512,16.864
16.896,17.632
16.896,17.632
16.896,17.632
16.896,17.632
17.664,18.016
17.664,18.4
17.664,18.4
18.048,18.4
18.432,18.752
18.432,18.752
18.432,19.904
18.784,19.136
18.784,19.136
19.168,19.52
19.168,19.52
19.552,19.712
19.552,19.904
19.744,19.904
19.936,20.288
19.936,20.672
19.936,20.672
19.936,20.672
20.32,20.672
20.704,21.056
20.704,21.44
20.704,21.44
21.088,21.44
21.472,21.824
21.472,22.208
21.472,22.208
21.856,22.208
22.24,22.592
22.24,22.944
22.24,22.944
22.24,22.944
22.624,22.784
22.816,22.944
22.976,23.328
22.976,23.712
22.976,23.712
23.36,23.712
23.744,24.128
23.744,24.512
23.744,24.512
24.16,24.512
24.544,24.896
24.544,25.28
24.544,25.28
24.928,25.088
25.12,25.28
25.312,25.664
25.312,26.048
25.696,26.048
26.08,26.816
26.08,26.816
26.08,26.816
26.848,27.2
26.848,27.584
27.232,27.584
27.616,27.968
27.616,28.352
27.616,28.352
28.0,28.352
28.384,28.736
28.384,29.12
28.384,29.12
28.768,28.928
28.96,29.12
29.152,29.856
29.152,29.856
29.504,29.664
29.696,29.856
29.888,30.24
30.272,30.624
30.656,30.976
30.656,30.976
31.008,31.168
31.2,31.36
31.392,31.712
31.744,32.032
31.744,32.032
32.064,32.384
32.064,32.384
32.416,32.576
32.608,32.768
32.8,33.088
33.12,33.472
33.504,33.76
33.504,33.76
33.792,33.952
33.984,34.144
34.144,34.496
34.528,34.848
34.528,34.848
34.88,35.232
34.88,35.232
35.264,35.616
35.264,35.616
35.648,36.32
35.648,36.32
35.648,36.32
36.352,36.704
36.352,37.088
36.352,37.088
36.736,36.896
36.928,37.088
37.12,37.408
37.12,37.792
37.12,37.792
37.44,37.792
37.824,38.56
37.824,38.56
38.016,38.176
38.208,38.368
38.4,38.56
38.592,38.912
38.592,39.296
38.592,39.296
38.944,39.296
39.328,39.68
39.328,40.064
39.712,40.064
40.096,40.384
40.096,40.768
40.416,40.576
40.608,40.768
40.8,41.056
40.8,41.44
41.088,41.44
41.472,41.792
41.472,42.176
41.824,41.984
42.016,42.176
42.208,42.496
42.208,42.88
42.528,42.88
42.912,43.168
42.912,43.552
43.2,43.36
43.392,43.552
43.584,43.904
43.584,44.288
43.936,44.288
44.32,44.992
44.32,44.992
44.32,44.992
45.024,45.376
45.024,45.728
45.024,45.728
45.408,45.536
45.568,45.728
45.76,46.08
45.76,46.464
46.112,46.464
46.496,47.232
46.496,47.232
46.496,47.232
47.264,47.584
47.264,47.968
47.616,47.968
48.0,48.256
48.0,48.64
48.0,48.64
48.288,48.64
48.672,49.024
48.672,49.408
48.672,49.408
49.056,49.216
49.248,49.408
49.44,49.792
49.44,49.792
49.824,49.984
50.016,50.176
50.208,50.56
50.592,50.944
50.976,51.2
50.976,51.2
51.232,51.392
51.424,51.584
51.616,51.968
52.0,52.288
52.0,52.288
52.32,52.608
52.32,52.608
52.64,52.8
52.832,52.992
53.024,53.312
53.344,53.696
53.728,54.016
53.728,54.016
54.048,54.208
54.24,54.4
54.4,54.752
54.784,55.104
54.784,55.104
55.136,55.488
55.136,55.488
55.52,55.68
55.712,55.872
55.904,56.032
56.064,56.192
56.224,56.32
56.352,56.512
56.544,56.704
56.544,56.704
56.736,56.864
56.896,57.056
57.088,57.216
57.248,57.376
57.408,57.536
