start,end
1.088,1.184
1.216,1.312
1.344,1.568
1.6,1.824
1.856,2.08
2.112,2.368
2.4,2.496
2.528,2.624
2.656,2.752
2.784,2.88
2.912,3.136
3.168,3.392
3.424,3.648
3.68,3.936
3.968,4.064
4.096,4.192
4.224,4.32
4.352,4.448
4.48,4.576
4.608,4.704
4.736,4.8
4.832,4.928
4.96,5.056
5.088,5.184
5.216,5.312
5.344,5.44
5.472,5.568
5.6,5.696
5.728,5.824
5.856,5.952
5.984,6.08
6.112,6.208
6.24,6.336
6.368,6.464
6.496,6.592
6.624,6.72
6.752,6.848
6.88,6.976
7.008,7.104
7.136,7.296
7.328,7.424
7.456,7.552
7.584,7.68
7.712,7.808
7.84,7.936
7.968,8.064
8.096,8.192
8.224,8.32
8.352,8.448
8.48,8.576
8.608,8.704
8.736,8.832
8.864,8.96
8.992,9.088
9.12,9.216
9.248,9.344
9.376,9.472
9.504,9.6
9.632,9.728
9.76,9.856
9.888,9.984
10.016,10.08
10.112,10.208
10.24,10.304
10.336,10.432
10.464,10.528
10.56,10.656
10.688,10.784
10.816,10.848
10.88,10.976
11.008,11.104
11.136,11.232
11.264,11.36
11.392,11.488
11.52,11.616
11.648,11.744
11.776,11.84
11.872,11.968
12.0,12.064
12.096,12.192
12.224,12.32
12.352,12.416
12.448,12.544
12.576,12.672
12.704,12.8
12.832,12.928
12.96,13.056
13.088,13.184
13.216,13.312
13.344,13.44
13.472,13.568
13.6,13.696
13.728,13.824
13.824,13.92
13.952,14.048
14.08,14.176
14.208,14.304
14.336,14.432
14.432,14.528
14.56,14.656
14.688,14.784
14.816,14.912
14.944,15.04
15.072,15.168
15.2,15.296
15.328,15.424
15.456,15.552
15.584,15.648
15.68,15.776
15.808,15.904
15.936,16.032
16.064,16.16
16.192,16.288
16.32,16.416
16.448,16.544
16.576,16.672
16.704,16.8
16.832,16.928
16.96,17.056
17.088,17.184
17.216,17.312
17.344,17.44
17.472,17.568
17.6,17.696
17.728,17.824
17.856,17.952
17.984,18.08
18.112,18.208
18.24,18.336
18.368,18.464
18.496,18.592
18.624,18.72
18.752,18.848
18.88,18.976
19.008,19.104
19.136,19.232
19.264,19.36
19.392,19.488
19.52,19.616
19.616,19.68
19.712,19.776
19.808,19.904
19.936,20.032
20.064,20.16
20.192,20.288
20.32,20.384
20.416,20.512
20.544,20.64
20.672,20.768
20.8,20.864
20.896,20.992
21.024,21.12
21.152,21.248
21.28,21.376
21.408,21.504
21.536,21.632
21.664,21.76
21.792,21.888
21.888,21.984
22.016,22.112
22.144,22.24
22.272,22.368
22.4,22.496
22.528,22.624
22.656,22.752
22.784,22.88
22.912,23.008
23.04,23.136
23.168,23.264
23.296,23.392
23.424,23.52
23.552,23.648
23.68,23.776
23.808,23.904
23.936,24.032
24.064,24.16
24.192,24.288
24.32,24.416
24.448,24.544
24.576,24.672
24.704,24.8
24.832,24.928
24.96,25.056
25.088,25.184
25.216,25.312
25.344,25.44
25.472,25.568
25.6,25.696
25.728,25.824
25.856,25.952
25.984,26.08
26.112,26.208
26.24,26.336
26.368,26.464
26.496,26.592
26.624,26.72
26.752,26.848
26.88,26.976
27.008,27.104
27.136,27.232
27.264,27.36
27.392,27.488
27.52,27.616
27.648,27.712
27.744,27.84
