start,end
0.032,0.064
0.064,0.064
0.064,0.064
0.064,0.064
0.064,0.224
0.256,0.416
0.416,0.608
0.64,0.8
0.832,0.992
1.024,1.216
1.216,1.344
1.376,1.568
1.6,1.792
1.792,1.92
1.952,2.144
2.176,2.336
2.368,2.528
2.56,2.72
2.752,2.944
2.976,3.072
3.072,3.232
3.264,3.392
3.424,3.616
3.648,3.776
3.808,3.968
4.0,4.16
4.192,4.352
4.384,4.512
4.544,4.736
4.768,4.832
4.864,5.056
5.088,5.28
5.312,5.472
5.504,5.696
5.728,5.92
5.952,6.112
6.144,6.336
6.368,6.464
6.496,6.656
6.688,6.88
6.912,7.072
7.104,7.232
7.232,7.36
7.392,7.552
7.552,7.744
7.776,7.904
7.936,8.096
8.128,8.288
8.32,8.48
8.48,8.64
8.672,8.8
8.832,8.992
9.024,9.216
9.248,9.44
9.472,9.632
9.664,9.856
9.856,10.048
10.08,10.24
10.272,10.4
10.432,10.528
10.56,10.752
10.784,10.944
10.976,11.072
11.072,11.264
11.296,11.488
11.488,11.648
11.68,11.872
11.904,12.096
12.128,12.288
12.32,12.512
12.544,12.704
12.736,12.928
12.96,13.152
13.184,13.344
13.376,13.568
13.6,13.76
13.792,13.952
13.984,14.144
14.176,14.272
14.304,14.464
14.496,14.688
14.72,14.848
14.88,15.04
15.072,15.264
15.264,15.424
15.456,15.648
15.68,15.872
15.904,16.064
16.096,16.288
16.32,16.48
16.512,16.704
16.736,16.928
16.96,17.12
17.152,17.28
17.312,17.504
17.536,17.696
17.728,17.92
17.952,18.144
18.176,18.336
18.368,18.528
18.56,18.688
18.72,18.848
18.88,19.072
19.104,19.232
19.264,19.456
19.488,19.648
19.68,19.84
19.84,20.0
20.032,20.192
20.192,20.352
20.384,20.576
20.608,20.768
20.8,20.992
21.024,21.216
21.248,21.408
21.44,21.632
21.664,21.824
21.856,21.984
22.016,22.176
22.208,22.368
22.4,22.592
22.624,22.816
22.848,23.008
23.04,23.232
23.264,23.456
23.488,23.616
23.648,23.84
23.872,24.032
24.096,24.256
24.288,24.48
24.512,24.672
24.704,24.8
24.832,25.024
25.056,25.184
25.216,25.376
25.408,25.568
25.6,25.76
25.792,25.984
26.016,26.144
26.176,26.304
26.336,26.528
26.56,26.624
26.656,26.848
26.88,27.072
27.104,27.2
27.232,27.424
27.456,27.648
27.68,27.808
27.808,28.0
28.032,28.192
28.224,28.416
28.448,28.64
28.672,28.832
28.864,29.056
29.088,29.28
29.312,29.472
29.504,29.696
29.728,29.888
29.92,30.112
30.144,30.336
30.368,30.56
30.592,30.784
30.816,31.04
31.072,31.232
31.264,31.456
31.488,31.68
31.712,32.16
32.192,32.384
32.416,32.576
32.608,32.8
32.832,33.024
33.056,33.216
33.248,33.44
33.472,33.664
33.696,33.856
33.888,34.08
34.112,34.304
34.336,34.496
34.528,34.72
34.752,34.912
34.944,35.136
35.168,35.36
35.392,35.552
35.584,35.776
35.808,36.0
36.032,36.192
36.224,36.416
36.448,36.608
36.64,36.832
36.864,37.472
37.504,37.824
37.856,38.016
38.048,38.24
38.272,38.464
38.496,38.656
38.688,38.88
38.912,39.072
39.104,39.296
39.328,39.52
39.552,39.616
39.648,39.808
39.84,40.032
40.064,40.224
40.256,40.384
40.416,40.576
40.608,40.768
40.8,40.96
40.992,41.152
41.184,41.376
41.408,41.568
41.568,41.696
41.728,41.92
41.952,42.08
42.112,42.272
42.304,42.464
42.496,42.656
42.688,42.88
42.912,43.104
43.136,43.296
43.328,43.52
43.552,43.744
43.776,43.936
43.968,44.16
44.192,44.384
44.416,44.576
44.608,44.8
44.832,44.992
45.024,45.216
45.216,45.408
45.408,45.536
45.568,45.76
45.792,45.984
46.016,46.08
46.08,46.272
46.304,46.464
46.496,46.688
46.72,46.848
46.88,47.04
47.072,47.2
47.232,47.424
47.456,47.584
47.616,47.808
47.84,48.0
48.032,48.192
48.224,48.384
48.416,48.512
48.544,48.736
48.768,48.96
48.992,49.152
49.184,49.312
49.344,49.504
49.536,49.696
49.728,49.92
49.952,50.112
50.176,50.336
50.368,50.56
50.592,50.752
50.784,50.976
51.008,51.2
51.232,51.392
51.424,51.68
51.712,51.904
51.936,52.096
52.128,52.32
52.352,52.512
52.544,52.736
52.768,52.96
52.992,53.152
53.184,53.376
53.408,53.6
53.632,53.792
53.824,54.016
54.048,54.176
54.208,54.368
54.4,54.592
54.624,54.688
54.72,54.912
54.944,55.136
55.168,55.328
55.36,55.552
55.584,55.776
55.808,55.968
56.0,56.192
56.224,56.32
56.352,56.544
56.576,56.768
56.8,56.96
56.992,57.184
57.216,57.408
57.44,57.536
57.568,57.728
57.76,57.952
57.984,58.112
58.144,58.336
58.368,58.528
58.56,58.752
58.784,58.976
59.008,59.136
59.168,59.36
59.392,59.584
59.616,59.776
59.808,60.0
60.032,60.224
60.256,60.416
60.448,60.64
60.672,60.832
60.864,61.056
61.088,61.28
61.312,61.472
61.504,61.696
61.728,61.92
61.952,62.112
62.144,62.336
62.368,62.528
62.56,62.752
62.784,62.976
63.008,63.168
63.2,63.392
63.424,63.616
63.648,63.808
63.84,63.936
63.968,64.16
64.16,64.32
64.352,64.512
64.512,64.64
64.672,64.832
64.864,65.056
65.088,65.248
65.28,65.44
65.472,65.632
65.664,65.824
65.856,65.984
66.016,66.144
66.176,66.336
66.368,66.56
66.592,66.752
66.784,66.976
67.008,67.2
67.232,67.392
67.424,67.616
67.648,67.84
67.872,68.032
68.064,68.256
68.288,68.448
68.48,68.672
68.704,68.896
68.928,69.088
69.12,69.312
69.344,69.568
69.6,69.76
69.792,70.048
70.08,70.272
70.304,70.464
70.496,70.688
70.72,70.976
71.008,71.2
71.232,72.0
72.032,72.192
72.224,72.48
72.512,72.704
72.736,72.896
72.928,73.12
73.152,73.312
73.344,73.536
73.568,73.76
73.792,73.952
73.984,74.304
74.336,74.528
74.56,74.72
74.752,74.944
74.976,75.168
75.2,75.36
75.392,75.584
75.616,75.776
75.808,76.0
76.032,76.224
76.256,76.416
76.448,76.64
76.672,76.864
76.896,77.728
77.792,77.952
77.984,78.56
78.592,78.752
78.784,78.976
79.008,79.2
79.232,79.392
79.424,79.616
79.648,79.84
79.872,80.032
80.064,80.192
80.224,80.384
80.416,80.576
80.608,80.8
80.832,80.992
81.024,81.216
81.248,81.44
81.472,81.632
81.664,81.856
81.888,82.08
82.112,82.24
82.272,82.464
82.496,82.656
82.688,82.816
82.848,83.04
83.072,83.232
83.264,83.456
83.488,83.68
83.712,83.872
83.904,84.096
84.128,84.288
84.32,84.512
