start,end
1.248,1.728
1.248,1.728
1.76,1.984
1.76,2.272
2.016,2.272
2.304,2.784
2.304,2.784
2.816,3.264
2.816,3.264
3.296,3.456
3.488,3.712
3.712,4.096
4.128,4.576
4.128,4.576
4.608,5.12
4.608,5.12
5.152,5.632
5.152,5.632
5.664,5.888
5.664,5.888
5.92,6.08
6.08,6.08
6.112,6.336
6.368,6.528
6.56,6.656
6.688,6.944
6.688,6.944
6.976,7.456
6.976,7.456
7.488,7.712
7.488,8.0
7.744,7.872
7.904,8.0
8.032,8.256
8.032,8.256
8.288,8.512
8.512,8.704
8.736,8.896
8.928,9.056
9.088,9.312
9.344,9.856
9.344,9.856
9.888,10.368
9.888,10.368
10.4,10.912
10.4,10.912
10.944,12.512
10.944,12.512
12.544,13.024
12.544,13.024
13.056,13.28
13.056,13.568
13.344,13.568
13.6,14.08
13.6,14.08
14.112,14.624
14.112,14.624
14.656,14.88
14.912,15.136
15.168,15.68
15.712,16.224
15.712,16.224
15.712,16.224
16.256,16.48
16.256,16.736
16.256,16.736
16.512,16.736
16.768,17.28
16.768,17.28
16.768,17.28
17.312,18.88
17.312,18.88
18.912,19.456
18.912,19.456
18.912,19.456
19.488,20.0
20.032,20.544
20.576,21.056
20.576,21.056
20.576,21.056
20.576,21.056
21.088,21.344
21.088,21.344
21.376,21.6
21.376,21.6
21.632,22.048
21.632,22.048
22.08,22.304
22.08,22.496
22.336,22.496
22.528,23.04
22.528,23.04
23.072,23.552
23.072,23.552
23.584,23.808
23.584,24.064
23.84,24.064
24.064,24.256
24.288,24.48
24.512,24.768
24.512,25.024
24.512,25.024
24.8,25.024
25.056,25.536
25.056,25.536
25.056,25.536
25.568,26.08
25.568,26.08
26.112,26.752
26.112,26.752
26.816,27.552
26.816,27.552
26.816,27.552
27.584,27.84
27.872,28.192
28.224,28.448
28.48,28.704
28.736,28.992
29.024,29.248
29.28,29.504
29.536,29.6
29.632,29.856
29.888,30.08
30.112,30.336
30.368,30.624
30.656,30.88
30.912,31.136
31.168,31.392
31.424,31.68
31.712,31.936
31.968,32.0
32.032,32.224
32.256,32.384
32.416,32.576
32.608,32.736
32.768,33.024
33.024,33.248
33.28,33.504
33.536,33.76
33.792,34.048
34.08,34.304
34.08,34.56
34.336,34.56
34.592,34.848
34.88,35.104
35.136,35.36
35.392,35.52
35.52,35.584
35.616,35.776
35.808,36.0
36.032,36.16
36.192,36.384
36.416,36.64
36.672,36.896
36.928,37.12
37.152,37.376
37.408,37.536
37.568,37.792
37.824,38.08
38.112,38.336
38.368,38.592
38.592,38.752
38.816,39.04
39.072,39.296
39.328,39.552
39.584,40.096
39.584,40.096
40.128,40.352
40.128,40.544
40.384,40.544
40.576,41.024
40.576,41.024
41.056,41.568
41.056,41.568
41.6,41.824
41.856,42.08
42.112,42.624
42.656,42.848
42.88,43.104
43.136,43.36
43.392,43.648
43.68,43.904
43.936,44.16
44.192,44.448
44.48,44.704
44.736,44.96
44.992,45.216
45.248,45.504
45.536,45.76
45.792,46.016
46.048,46.272
46.304,46.56
46.592,46.816
46.848,47.072
47.104,47.808
47.84,48.064
48.096,48.32
48.352,49.76
49.792,50.272
50.304,50.784
50.304,50.784
50.304,50.784
50.816,51.328
50.816,51.328
50.816,51.328
51.36,51.872
51.36,51.872
51.904,52.416
51.904,52.416
51.904,52.416
52.448,53.984
52.448,53.984
52.448,53.984
