start,end
0.032,0.288
0.32,0.576
0.608,0.832
0.864,1.12
1.152,1.408
1.408,1.632
1.664,1.888
1.92,2.176
2.208,2.304
2.336,2.4
2.4,2.528
2.56,2.656
2.688,2.944
2.976,3.136
3.168,3.392
3.424,3.648
3.68,3.904
3.936,4.192
4.224,4.448
4.48,4.672
4.704,4.96
4.992,5.248
5.28,5.312
5.344,5.44
5.472,5.6
5.632,5.728
5.76,6.016
6.048,6.272
6.304,6.56
6.592,6.944
6.976,7.232
7.264,7.36
7.392,7.52
7.552,7.648
7.68,7.776
7.808,7.936
7.968,8.032
8.064,8.128
8.16,8.256
8.288,8.384
8.416,8.512
8.512,8.64
8.672,8.736
8.768,8.832
8.864,8.992
9.024,9.12
9.152,9.248
9.28,9.376
9.408,9.44
9.472,9.568
9.6,9.728
9.76,9.856
9.888,9.952
9.984,10.112
10.144,10.208
10.208,10.304
10.336,10.464
10.496,10.592
10.624,10.688
10.72,10.816
10.848,10.88
10.912,11.008
11.04,11.168
11.2,11.264
11.296,11.392
11.424,11.552
11.584,11.584
11.616,11.712
11.744,11.872
11.904,12.0
12.032,12.128
12.16,12.256
12.288,12.384
12.416,12.48
12.512,12.576
12.608,12.736
12.768,12.864
12.896,12.992
13.024,13.152
13.184,13.28
13.312,13.408
13.44,13.568
13.6,13.824
13.856,14.112
14.144,14.4
14.432,15.136
15.168,15.296
15.328,15.424
15.456,15.584
15.616,15.712
15.744,15.84
15.872,16.0
16.032,16.128
16.16,16.256
16.288,16.384
16.416,16.512
16.544,16.608
16.64,16.704
16.736,16.832
16.864,16.928
16.96,17.088
17.12,17.216
17.248,17.344
17.376,17.472
17.504,17.568
17.6,17.696
17.728,17.856
17.888,17.952
17.984,18.08
18.112,18.176
18.208,18.304
18.336,18.432
18.464,18.56
18.592,18.688
18.72,18.816
18.848,18.976
19.008,19.072
19.104,19.2
19.232,19.36
19.392,19.488
19.52,19.616
19.648,19.744
19.776,19.872
19.904,19.936
19.968,20.096
20.128,20.16
20.192,20.288
20.32,20.448
20.48,20.576
20.608,20.704
20.736,20.8
20.832,20.928
20.96,21.024
21.056,21.184
21.216,21.312
21.312,21.408
21.44,21.568
21.6,21.664
21.696,21.792
21.824,21.952
21.984,22.048
22.08,22.112
22.144,22.272
22.304,22.4
22.432,22.528
22.56,22.656
22.688,22.752
22.784,22.848
22.88,23.008
23.04,23.104
23.136,23.2
23.232,23.36
23.392,23.456
23.488,23.584
23.616,23.744
23.776,23.872
23.904,24.0
24.032,24.128
24.128,24.224
24.256,24.32
24.352,24.448
24.48,24.608
24.64,24.704
24.736,24.8
24.832,24.96
24.992,25.056
25.088,25.184
25.216,25.344
25.376,25.44
25.472,25.536
25.568,25.664
25.696,25.792
25.824,25.92
25.952,26.08
26.112,26.208
26.24,26.336
26.368,26.496
26.528,26.624
26.656,26.752
26.784,26.912
26.944,27.04
27.072,27.168
27.2,27.328
27.36,27.456
27.488,27.584
27.616,27.68
27.712,27.776
27.808,27.904
27.936,28.064
28.096,28.192
28.224,28.32
28.352,28.48
28.512,28.608
28.64,28.704
28.736,28.832
28.864,28.96
28.992,29.088
29.12,29.248
29.28,29.344
29.344,29.408
29.44,29.568
29.6,29.696
29.728,29.824
29.856,29.984
30.016,30.08
30.112,30.208
30.24,30.368
30.4,30.496
30.528,30.624
30.656,30.784
30.816,30.912
30.944,31.04
31.072,31.2
31.232,31.328
31.36,31.456
31.488,31.616
31.648,31.744
31.776,31.872
31.904,32.032
32.064,32.16
32.192,32.288
32.32,32.448
32.48,32.544
32.576,32.672
32.704,32.832
32.864,32.96
32.992,33.088
33.12,33.248
33.28,33.344
33.344,33.44
33.472,33.6
33.632,33.728
33.76,33.856
33.888,34.016
34.048,34.144
34.176,34.272
34.304,34.432
34.464,34.56
34.592,34.688
34.72,34.848
34.88,34.976
35.008,35.104
35.136,35.232
35.264,35.36
35.392,35.488
35.52,35.616
35.648,35.712
35.744,35.84
35.872,35.968
36.0,36.096
36.128,36.224
36.256,36.352
36.384,36.512
36.544,36.64
36.672,36.768
36.8,36.864
36.896,36.992
37.024,37.12
37.152,37.28
37.312,37.376
37.408,37.504
37.536,37.632
37.664,37.76
37.792,37.888
37.92,38.016
38.048,38.144
38.176,38.24
38.272,38.4
38.432,38.528
38.56,38.656
38.688,38.752
38.784,38.88
38.912,39.008
39.04,39.168
39.2,39.296
39.328,39.392
39.424,39.52
39.552,39.648
39.68,39.776
39.808,39.936
39.968,40.064
40.096,40.192
40.224,40.352
40.384,40.48
40.512,40.608
40.64,40.768
40.8,40.896
40.928,41.024
41.056,41.184
41.216,41.312
41.344,41.44
41.472,41.6
41.632,41.728
41.76,41.856
41.888,41.952
41.984,42.08
42.112,42.176
42.208,42.336
42.368,42.432
42.464,42.56
42.592,42.688
42.72,42.816
42.848,42.944
42.976,43.104
43.136,43.232
43.264,43.36
43.392,43.52
43.552,43.648
43.68,43.776
43.808,44.64
44.672,44.8
44.832,44.96
44.992,45.088
45.12,45.248
45.28,45.376
45.408,45.504
45.536,45.664
45.696,45.792
45.824,45.92
45.952,46.08
46.112,46.208
46.24,46.336
46.368,46.496
46.528,46.592
46.624,46.72
46.752,46.848
46.88,46.944
46.976,47.072
47.104,47.2
47.232,47.328
47.36,47.456
47.488,47.616
47.648,47.744
47.776,47.872
47.904,48.032
48.064,48.16
48.192,48.288
48.32,48.416
48.448,48.544
48.576,48.672
48.704,48.8
48.832,48.96
48.992,49.056
49.088,49.184
49.216,49.312
49.344,49.44
49.472,49.568
49.6,49.696
49.728,49.824
49.856,49.888
49.92,50.048
50.08,50.176
50.208,50.304
50.336,50.464
50.496,50.56
50.592,50.656
50.688,50.816
50.848,50.912
50.944,51.04
51.072,51.168
51.2,51.296
51.328,51.424
51.456,51.584
51.616,51.712
51.744,51.84
51.872,52.0
52.032,52.128
52.16,52.256
52.288,52.416
52.448,53.248
53.28,53.376
53.408,53.504
53.536,53.664
53.696,53.792
53.824,53.92
53.952,54.08
54.112,54.176
54.208,54.304
54.336,54.464
54.496,54.592
54.624,54.72
54.752,54.848
54.88,54.976
54.976,55.072
55.104,55.232
55.264,55.36
55.392,55.488
55.52,55.584
55.616,55.712
55.744,55.808
55.84,55.968
56.0,56.096
56.128,56.224
56.256,56.32
56.352,56.448
56.48,56.576
56.608,56.736
56.768,56.864
56.896,56.992
57.024,57.12
57.152,57.248
57.28,57.344
57.376,57.504
57.536,57.632
57.664,57.76
57.792,57.92
57.952,58.016
58.048,58.112
58.144,58.272
58.304,58.4
58.432,58.528
58.56,58.688
58.72,58.816
58.848,58.944
58.976,59.104
59.136,59.424
59.456,59.552
59.584,59.712
59.744,59.84
59.872,60.256
60.288,60.384
60.416,60.544
60.576,60.672
60.704,60.8
60.832,60.928
60.96,61.056
61.088,61.184
61.216,61.28
61.312,61.44
61.472,61.536
61.568,61.664
61.696,61.792
61.824,61.888
61.92,62.016
62.048,62.176
62.208,62.304
62.336,62.432
62.464,62.592
62.624,62.72
62.752,62.848
62.88,63.008
63.04,63.136
63.168,63.264
63.296,63.84
63.872,64.16
