start,end
0.448,0.928
0.96,1.44
1.472,1.92
1.952,2.144
2.176,2.336
2.368,2.496
2.496,2.88
2.912,3.328
3.36,3.84
3.872,4.352
4.384,4.608
4.384,4.608
4.64,5.12
5.152,5.6
5.152,5.6
5.632,5.76
5.792,5.952
5.952,6.24
5.952,6.24
6.272,6.752
6.784,7.232
6.784,7.232
7.264,7.616
7.648,7.904
7.648,7.904
7.648,7.904
7.936,8.416
8.448,8.896
8.448,8.896
8.448,8.896
8.928,9.152
9.184,9.408
9.44,9.888
9.44,9.888
9.44,9.888
9.92,10.4
10.432,10.88
10.432,10.88
10.912,11.328
11.36,11.584
11.616,11.84
11.872,12.032
12.064,12.16
12.192,12.288
12.32,12.768
12.32,12.768
12.8,13.28
13.312,13.664
13.312,13.664
13.312,13.664
13.696,14.176
14.208,14.688
14.208,14.688
14.208,14.688
14.72,14.944
14.976,15.2
15.232,15.68
15.232,15.68
15.232,15.68
15.712,16.192
16.224,16.704
16.224,16.704
16.224,16.704
16.736,16.96
16.992,17.184
17.216,17.696
17.216,17.696
17.216,17.696
17.728,18.208
18.24,18.72
18.24,18.72
18.24,18.72
18.752,19.136
19.168,19.392
19.424,19.648
19.68,19.904
19.936,20.512
20.544,20.8
20.544,20.8
20.544,20.8
20.832,21.664
21.696,21.92
21.952,22.176
22.208,22.4
22.432,22.624
22.656,22.848
22.88,23.104
23.136,23.328
23.36,23.584
23.616,23.84
23.872,24.096
24.128,24.288
24.32,24.48
24.512,24.672
24.704,24.896
24.928,25.152
25.184,25.408
25.44,25.664
25.696,25.92
25.952,26.112
26.144,26.336
26.368,26.528
26.56,26.784
26.816,26.976
27.008,27.168
27.2,27.328
27.36,27.456
27.488,27.68
27.712,27.904
27.936,28.096
28.128,28.32
28.352,28.576
28.608,28.8
28.8,29.024
29.056,29.184
29.216,29.44
29.472,29.664
29.664,29.824
29.856,30.08
30.112,30.272
30.304,30.464
30.496,30.624
30.656,30.848
30.88,31.04
31.072,31.232
31.264,31.392
31.424,31.648
31.68,31.904
31.936,32.064
32.096,32.32
32.352,32.576
32.608,32.8
32.832,32.96
32.992,33.216
33.248,33.376
33.408,33.536
33.568,33.728
33.76,33.92
33.952,34.176
34.208,34.432
34.464,34.656
34.688,34.816
34.848,34.944
34.976,35.2
35.232,35.392
35.424,35.584
35.616,35.744
35.776,36.0
36.032,36.16
36.192,36.352
36.384,36.608
36.64,37.12
36.64,37.12
37.152,37.632
37.664,38.016
37.664,38.016
37.664,38.016
38.016,38.368
38.016,38.368
38.016,38.368
38.4,38.88
38.4,38.88
38.4,38.88
38.912,39.136
39.168,39.36
39.392,39.872
39.392,39.872
39.392,39.872
39.904,40.384
39.904,40.384
39.904,40.384
40.416,40.64
40.416,40.896
40.416,40.896
40.672,40.896
40.928,41.152
41.184,41.408
41.44,41.92
41.44,41.92
41.44,41.92
41.952,42.432
41.952,42.432
41.952,42.432
42.464,42.688
42.464,42.912
42.464,42.912
42.72,42.912
42.944,43.168
42.944,43.424
43.2,43.424
43.456,43.68
43.456,43.936
43.712,43.936
43.968,44.192
43.968,44.448
44.224,44.448
44.48,44.672
44.48,44.928
44.704,44.928
44.96,45.184
45.216,45.44
45.472,45.6
45.632,45.824
45.856,46.08
