start,end
0.512,0.832
0.864,1.664
1.696,2.88
2.912,3.296
3.328,4.096
4.128,4.928
4.96,5.728
5.376,5.728
5.76,6.56
5.76,6.56
6.592,7.68
6.592,7.68
7.712,8.0
7.712,8.0
8.032,8.736
8.032,8.736
8.768,9.152
8.768,9.568
9.184,9.568
9.6,10.4
10.432,11.264
10.432,11.264
11.296,12.48
11.296,12.736
12.512,12.736
12.768,13.536
12.768,13.536
13.568,14.496
13.568,14.848
14.528,14.848
14.88,15.648
14.88,15.648
15.68,16.48
15.68,16.48
16.512,17.024
17.056,17.248
17.28,18.048
18.08,18.464
18.496,18.848
18.88,19.264
19.296,19.68
19.712,20.544
20.576,21.728
21.76,21.952
21.984,22.784
21.984,22.784
22.816,23.456
22.816,23.456
23.488,24.224
24.256,24.64
24.672,25.088
25.12,25.92
25.952,26.464
26.496,26.688
26.72,27.488
26.72,27.488
27.52,28.352
27.52,28.352
28.384,28.96
28.992,29.184
29.216,30.016
29.216,30.016
30.048,30.88
30.048,31.648
30.912,31.456
31.488,31.648
31.68,32.48
31.68,32.48
32.512,33.28
32.512,33.92
33.312,33.792
33.792,33.92
33.952,34.656
33.952,34.656
34.688,35.456
34.688,35.456
35.488,35.744
35.488,36.16
35.776,36.16
36.192,36.384
36.192,37.024
36.416,36.608
36.64,37.024
37.056,37.856
37.056,37.856
37.888,38.336
38.4,38.784
38.816,39.616
39.648,40.896
40.928,41.28
41.312,41.76
41.312,41.76
41.792,42.176
41.792,42.592
41.792,42.592
42.208,42.592
42.624,43.456
43.488,44.288
44.32,44.512
44.544,45.12
45.152,45.312
45.344,45.728
45.76,45.952
45.984,46.816
45.984,46.816
45.984,46.816
46.848,47.648
46.848,47.648
46.848,47.648
47.68,48.32
48.352,48.576
48.608,49.44
48.608,49.44
49.472,49.728
49.76,50.016
50.048,50.272
50.304,51.104
51.136,51.36
51.136,51.904
51.392,51.648
51.68,51.904
51.936,53.184
51.936,53.184
51.936,53.184
53.216,53.6
53.632,54.464
54.496,55.744
55.776,56.16
56.192,56.896
56.928,57.76
57.792,58.592
58.208,58.592
58.624,59.392
58.624,59.392
59.424,60.512
59.424,60.512
60.544,60.832
60.544,60.832
60.864,61.664
60.864,61.664
61.696,62.08
61.696,62.528
62.112,62.528
62.56,63.36
63.392,64.16
63.392,64.16
64.192,65.312
64.192,65.664
65.344,65.664
65.664,66.4
65.664,66.4
66.432,67.52
66.432,67.936
67.552,67.936
67.968,68.704
67.968,68.704
68.736,69.408
68.736,69.408
69.44,69.984
70.016,70.176
70.208,70.944
70.976,71.36
71.392,71.776
71.808,72.224
72.256,72.64
72.672,73.472
73.504,74.752
74.784,75.008
75.04,75.84
75.04,75.84
75.872,76.576
75.872,76.576
76.608,77.408
77.44,77.824
77.856,78.24
78.272,79.104
79.136,79.68
79.712,79.872
79.904,80.736
79.904,80.736
80.768,81.44
80.768,81.44
81.472,82.08
82.112,82.304
82.336,83.104
82.336,83.104
83.136,83.968
83.136,84.608
84.0,84.384
84.416,84.608
84.64,85.44
84.64,85.44
85.472,86.208
85.472,86.88
86.24,86.688
86.72,86.88
86.912,87.648
86.912,87.648
87.68,88.416
87.68,88.416
88.448,88.768
88.448,89.184
88.8,89.184
89.216,89.408
89.216,90.016
89.44,89.6
89.632,90.016
90.048,90.88
90.048,90.88
90.912,91.424
91.456,91.84
91.872,92.704
92.736,93.984
94.016,94.4
94.432,94.88
94.432,94.88
94.912,95.296
94.912,95.712
94.912,95.712
95.328,95.712
95.744,96.544
96.576,97.408
97.44,97.6
97.632,98.24
98.272,98.464
98.496,98.88
98.912,99.136
99.168,99.968
99.168,99.968
99.168,99.968
100.0,100.832
100.0,100.832
100.0,100.832
100.864,101.504
101.536,101.728
101.76,102.592
101.76,102.592
102.624,102.848
102.88,103.136
103.168,103.424
103.456,104.288
104.32,104.544
104.32,105.12
104.576,104.832
104.864,105.12
105.152,106.4
105.152,106.4
105.152,106.4
106.432,106.816
106.848,107.648
107.68,108.928
108.96,109.184
108.96,109.184
109.216,110.048
109.216,110.048
110.08,110.784
110.08,111.072
110.816,111.072
111.104,111.488
111.104,111.488
111.52,112.224
111.52,112.224
112.256,112.832
112.256,113.248
112.864,113.664
113.28,113.664
113.696,114.112
113.696,114.528
114.144,114.528
114.56,114.944
114.56,115.36
114.976,115.36
115.392,115.68
115.744,116.128
116.16,116.8
116.832,118.08
116.832,118.08
116.832,118.08
118.112,118.496
118.528,118.72
118.752,118.912
118.944,119.36
119.392,120.192
119.392,120.192
119.392,120.192
120.224,121.024
120.224,121.024
121.056,121.408
121.056,121.824
121.44,121.824
121.856,122.688
