start,end
1.408,1.632
1.664,2.624
1.664,2.624
2.656,2.912
2.944,3.2
3.232,3.392
3.424,3.68
3.712,3.968
4.0,4.224
4.256,4.576
4.608,4.896
4.928,5.152
5.184,6.304
6.336,6.656
6.688,7.008
7.04,7.264
7.296,7.552
7.584,7.872
7.904,8.256
8.288,8.544
8.576,8.864
8.896,9.12
9.152,9.472
9.504,9.76
9.792,10.016
10.048,10.304
10.336,10.496
10.528,10.688
10.72,10.848
10.88,11.04
11.072,11.232
11.264,11.424
11.456,11.68
11.712,11.904
11.904,12.16
12.192,12.416
12.448,12.576
12.608,12.768
12.8,12.96
12.992,13.152
13.184,13.312
13.344,13.504
13.536,13.792
13.824,14.08
14.112,14.336
14.368,14.624
14.656,14.816
14.848,15.008
15.04,15.168
15.2,15.36
15.392,15.584
15.616,15.84
15.872,16.352
16.384,16.64
16.672,16.928
16.96,17.184
17.216,17.472
17.504,17.76
17.792,17.984
18.016,18.208
18.24,18.496
18.528,18.752
18.784,18.976
19.008,19.264
19.296,19.52
19.552,19.808
19.84,20.096
20.128,20.288
20.32,20.576
20.608,20.864
20.896,21.12
21.152,21.408
21.44,21.696
21.728,21.952
21.984,22.208
22.24,22.496
22.528,22.784
22.816,23.04
23.072,23.328
23.36,23.648
23.68,24.0
24.032,24.288
24.32,24.576
24.608,24.928
24.96,25.28
25.312,25.696
25.728,26.112
26.144,26.624
26.656,27.136
27.168,27.392
27.424,27.68
27.712,28.0
28.032,28.448
28.48,28.736
28.768,29.024
29.056,29.28
29.312,29.568
29.6,29.856
29.888,30.112
30.144,30.4
30.432,30.784
30.816,31.04
31.072,31.424
31.456,31.712
31.744,31.968
32.0,32.256
32.288,32.544
32.576,32.832
32.864,33.12
33.152,33.408
33.44,33.696
33.728,33.952
33.984,34.24
34.272,34.528
34.56,34.784
34.816,35.072
35.104,35.36
35.392,35.616
35.648,35.84
35.84,36.064
36.096,36.32
36.352,36.448
36.48,36.544
36.576,36.768
36.8,36.992
37.024,37.248
37.28,37.44
37.472,37.664
37.696,37.888
37.92,38.176
38.208,38.24
38.272,38.336
38.368,38.592
38.624,38.88
38.912,39.136
39.168,39.392
39.424,39.68
39.712,39.808
39.84,39.936
39.968,40.224
40.256,40.512
40.544,40.768
40.8,41.12
41.152,41.408
41.44,41.696
41.728,41.92
41.952,42.176
42.208,42.464
42.496,42.624
42.656,42.848
42.88,43.072
43.072,43.232
43.264,43.52
43.552,43.712
43.744,43.968
44.0,44.192
44.224,44.448
44.48,44.672
44.704,44.96
44.992,45.248
45.28,45.472
45.504,45.696
45.728,45.92
45.952,46.144
46.176,46.336
46.368,46.592
46.624,46.784
46.816,47.072
47.072,47.136
47.168,47.264
47.264,47.456
47.488,47.712
47.744,47.968
48.0,48.064
48.096,48.128
48.16,48.384
48.416,48.64
48.672,48.864
48.896,49.024
49.056,49.056
49.088,49.28
49.312,49.472
49.504,49.728
49.76,49.856
49.888,49.92
49.952,50.144
50.176,50.368
50.4,50.592
50.624,50.72
50.72,50.784
50.816,51.04
51.072,51.328
51.36,51.616
51.648,51.744
51.776,51.872
51.904,52.16
52.192,52.448
52.48,52.704
52.736,52.992
53.024,53.28
53.312,53.536
53.568,53.792
53.824,54.048
54.08,54.272
54.304,54.56
54.592,54.848
54.88,55.072
55.104,55.328
55.36,55.52
55.552,55.68
55.712,55.936
55.968,56.16
56.192,56.384
56.416,56.672
56.704,56.896
56.928,57.056
57.088,57.344
57.376,57.6
57.632,57.728
57.76,57.888
57.92,58.144
58.176,58.432
58.464,58.72
58.752,58.816
58.848,58.944
58.976,59.2
59.232,59.296
59.328,59.392
59.424,59.648
59.68,59.776
59.808,59.904
59.904,60.128
60.16,60.256
60.288,60.384
60.416,60.672
60.704,60.928
60.96,61.12
61.152,61.376
61.408,61.6
61.632,61.856
61.888,62.144
62.176,62.24
62.272,62.4
62.4,62.624
62.656,62.784
62.816,62.912
62.944,63.2
63.232,63.456
63.488,63.648
63.68,63.84
63.872,64.032
64.064,64.224
64.256,64.384
64.416,64.736
64.768,66.08
66.112,66.368
