filename,collection,violinist,work,title,movements,start,end,length,source,license,url
emil-telmanyi_bwv1001.mp3,emil-telmanyi,Emil Telmányi,BWV1001,Sonata No. 1 in G minor,4,0:00:03,0:18:04,0:18:01,musopen,PD,https://musopen.org/music/3935-violin-sonata-in-g-minor-bwv-1001/
emil-telmanyi_bwv1002.mp3,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,8,0:00:00,0:18:01,0:18:01,musopen,PD,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
emil-telmanyi_bwv1003.mp3,emil-telmanyi,Emil Telmányi,BWV1003,Sonata No. 2 in A minor,4,0:00:00,0:19:36,0:19:36,musopen,PD,https://musopen.org/music/3936-violin-sonata-no-2-in-a-minor-bwv-1003/
emil-telmanyi_bwv1004.mp3,emil-telmanyi,Emil Telmányi,BWV1004,Partita No. 2 in D minor,4,0:00:00,0:08:41,0:08:41,musopen,PD,https://musopen.org/music/3786-violin-partita-no-2-bwv-1004/
emil-telmanyi_bwv1005.mp3,emil-telmanyi,Emil Telmányi,BWV1005,Sonata No. 3 in C major,4,0:00:00,0:22:46,0:22:46,musopen,PD,https://musopen.org/music/3937-violin-sonata-no-3-in-c-major-bwv-1005/
emil-telmanyi_bwv1006.mp3,emil-telmanyi,Emil Telmányi,BWV1006,Partita No. 3 in E major,7,0:00:00,0:19:14,0:19:14,musopen,PD,https://musopen.org/music/3787-violin-partita-no-3-bwv-1006/
ray-chen_bwv1004_mov5.mp3,isabella-stewart-gardner,Ray Chen,BWV1004,Partita No. 2 in D minor,1,0:00:01,0:13:44,0:13:43,gardner-museum,CC BY-NC-ND,http://traffic.libsyn.com/gardnermuseum/bach_chaconne.mp3
karen-gomyo_bwv1006.mp3,isabella-stewart-gardner,Karen Gomyo,BWV1006,Partita No. 3 in E major,7,0:00:01,0:19:02,0:19:01,gardner-museum,CC BY-NC-ND,http://traffic.libsyn.com/gardnermuseum/bach_bwv1006.mp3
john-garner_bwv1002_mov1.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:00,0:03:28,0:03:28,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
john-garner_bwv1002_mov2.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:00,0:03:09,0:03:09,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
john-garner_bwv1002_mov3.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:00,0:03:22,0:03:22,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
john-garner_bwv1002_mov4.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:00,0:02:21,0:02:21,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
john-garner_bwv1002_mov5.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:00,0:02:07,0:02:07,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
john-garner_bwv1002_mov6.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:01,0:01:46,0:01:45,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
john-garner_bwv1002_mov7.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:00,0:02:21,0:02:21,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
john-garner_bwv1002_mov8.mp3,john-garner,John Garner,BWV1002,Partita No. 1 in B minor,1,0:00:00,0:02:19,0:02:19,musopen,CC BY,https://musopen.org/music/13574-violin-partita-no-1-bwv-1002/
ko-donghwi_bwv1001.opus,ko-donghwi,Ko Donghwi,BWV1001,Sonata No. 1 in G minor,4,0:00:04,0:17:11,0:17:07,youtube,CC BY,https://www.youtube.com/watch?v=tSq3omXWYYc
minji-kim_bwv1003_mov1.opus,minji-kim,MinJi Kim,BWV1003,Sonata No. 2 in A minor,1,0:00:01,0:04:10,0:04:09,youtube,CC BY,https://www.youtube.com/watch?v=mBsnMk1I7oA
minji-kim_bwv1003_mov2.opus,minji-kim,MinJi Kim,BWV1003,Sonata No. 2 in A minor,1,0:00:03,0:07:50,0:07:47,youtube,CC BY,https://www.youtube.com/watch?v=I0lDcQgi_7Y
minji-kim_bwv1003_mov3.opus,minji-kim,MinJi Kim,BWV1003,Sonata No. 2 in A minor,1,0:00:01,0:03:01,0:03:00,youtube,CC BY,https://www.youtube.com/watch?v=uMktBTO1kdQ
minji-kim_bwv1003_mov4.opus,minji-kim,MinJi Kim,BWV1003,Sonata No. 2 in A minor,1,0:00:01,0:03:15,0:03:14,youtube,CC BY,https://www.youtube.com/watch?v=SH426nuIShA
silei-li_bwv1003.mp3,misc,Silei Li,BWV1003,Sonata No. 2 in A minor,2,0:00:05,0:12:28,0:12:23,musopen,CC BY-NC,https://musopen.org/music/3936-violin-sonata-no-2-in-a-minor-bwv-1003/
kinga-augustyn_bwv1005_mov2.mp3,misc,Kinga Augustyn,BWV1005,Sonata No. 3 in C major,1,0:00:01,0:09:04,0:09:03,musopen,PD,https://musopen.org/music/3937-violin-sonata-no-3-in-c-major-bwv-1005/
oliver-colbentson_bwv1006_mov1.mp3,oliver-colbentson,Oliver Colbentson,BWV1006,Partita No. 3 in E major,1,0:00:00,0:03:31,0:03:31,musopen,CC BY-NC,https://musopen.org/music/3787-violin-partita-no-3-bwv-1006/
oliver-colbentson_bwv1006_mov3.mp3,oliver-colbentson,Oliver Colbentson,BWV1006,Partita No. 3 in E major,1,0:00:06,0:03:12,0:03:06,musopen,CC BY-NC,https://musopen.org/music/3787-violin-partita-no-3-bwv-1006/
oliver-colbentson_bwv1006_mov4.mp3,oliver-colbentson,Oliver Colbentson,BWV1006,Partita No. 3 in E major,1,0:00:00,0:01:53,0:01:53,musopen,CC BY-NC,https://musopen.org/music/3787-violin-partita-no-3-bwv-1006/
oliver-colbentson_bwv1006_mov5.mp3,oliver-colbentson,Oliver Colbentson,BWV1006,Partita No. 3 in E major,1,0:00:00,0:01:51,0:01:51,musopen,CC BY-NC,https://musopen.org/music/3787-violin-partita-no-3-bwv-1006/
oliver-colbentson_bwv1006_mov6.mp3,oliver-colbentson,Oliver Colbentson,BWV1006,Partita No. 3 in E major,1,0:00:00,0:01:35,0:01:35,musopen,CC BY-NC,https://musopen.org/music/3787-violin-partita-no-3-bwv-1006/
oliver-colbentson_bwv1006_mov7.mp3,oliver-colbentson,Oliver Colbentson,BWV1006,Partita No. 3 in E major,1,0:00:00,0:01:58,0:01:58,musopen,CC BY-NC,https://musopen.org/music/3787-violin-partita-no-3-bwv-1006/
shunske-sato_bwv1001.opus,shunske-sato,Shunske Sato,BWV1001,Sonata No. 1 in G minor,4,0:00:15,0:17:20,0:17:05,youtube,-,https://www.youtube.com/watch?v=MRKy3kX8XUM
shunske-sato_bwv1002.opus,shunske-sato,Shunske Sato,BWV1002,Partita No. 1 in B minor,8,0:00:13,0:28:18,0:28:05,youtube,-,https://www.youtube.com/watch?v=k6lmRD4FgKQ
shunske-sato_bwv1003.opus,shunske-sato,Shunske Sato,BWV1003,Sonata No. 2 in A minor,4,0:00:14,0:23:20,0:23:06,youtube,-,https://www.youtube.com/watch?v=b24_rysm2S8
shunske-sato_bwv1004.opus,shunske-sato,Shunske Sato,BWV1004,Partita No. 2 in D minor,5,0:00:16,0:28:47,0:28:31,youtube,-,https://www.youtube.com/watch?v=44Wz92zQe04
