onset,offset,pitch,velocity
12,18,76,64
18,24,75,64
24,36,76,64
36,48,64,64
48,60,69,64
60,72,72,64
72,84,71,64
84,96,74,64
96,108,72,64
108,114,69,64
114,120,68,64
120,132,69,64
132,144,57,64
144,156,64,64
156,168,67,64
156,168,76,64
168,180,66,64
168,180,76,64
180,192,69,64
180,192,75,64
192,204,76,64
192,216,68,64
204,210,71,64
210,216,69,64
216,228,71,64
216,240,67,64
228,240,73,64
240,252,74,64
240,264,66,64
252,258,69,64
258,264,68,64
264,276,69,64
264,288,65,64
276,288,71,64
288,312,64,64
288,312,72,64
300,306,81,64
306,312,80,64
312,324,81,64
324,336,66,64
324,336,69,64
336,348,76,64
336,360,67,64
336,360,71,64
348,360,79,64
360,372,78,64
360,384,63,64
360,384,71,64
372,384,81,64
384,396,71,64
384,408,64,64
384,408,79,64
396,402,76,64
402,408,75,64
408,420,76,64
420,432,64,64
420,432,71,64
420,432,79,64
432,444,79,64
432,456,69,64
432,456,73,64
444,450,81,64
450,456,79,64
456,468,81,64
468,480,69,64
468,480,73,64
468,480,76,64
480,492,69,64
480,504,62,64
480,504,77,64
492,498,74,64
498,504,73,64
504,516,74,64
516,528,62,64
516,528,69,64
516,528,77,64
528,540,77,64
528,552,67,64
528,552,71,64
540,546,79,64
546,552,77,64
552,564,79,64
564,576,67,64
564,576,74,64
576,582,60,64
576,582,67,64
576,582,72,64
576,582,76,64
582,588,77,64
588,594,76,64
594,600,74,64
600,606,72,64
606,612,71,64
612,618,69,64
618,624,67,64
624,636,60,64
624,636,66,64
636,642,74,64
642,648,72,64
648,660,74,64
660,672,60,64
660,672,66,64
672,678,68,64
672,684,59,64
678,684,69,64
684,690,71,64
690,696,72,64
696,708,74,64
708,720,57,64
708,720,65,64
720,732,56,64
720,732,64,64
732,738,74,64
738,744,72,64
744,750,74,64
750,756,77,64
756,762,76,64
762,768,74,64
768,774,57,64
768,774,64,64
768,774,72,64
774,780,74,64
780,786,72,64
786,792,74,64
792,810,74,64
792,816,65,64
810,813,72,64
813,816,74,64
816,828,64,64
816,828,76,64
828,834,71,64
834,840,69,64
840,852,71,64
840,864,79,64
852,864,73,64
864,876,74,64
864,888,78,64
876,882,69,64
882,888,67,64
888,900,69,64
888,912,77,64
900,912,71,64
912,924,72,64
912,936,76,64
924,930,72,64
930,936,71,64
936,948,72,64
936,960,81,64
948,960,74,64
960,972,76,64
960,984,80,64
972,978,71,64
978,984,69,64
984,996,71,64
984,1008,79,64
996,1008,73,64
1008,1020,74,64
1008,1032,78,64
1020,1026,74,64
1026,1032,73,64
1032,1044,74,64
1032,1056,83,64
1044,1056,76,64
1056,1068,78,64
1056,1080,82,64
1068,1074,73,64
1074,1080,71,64
1080,1092,73,64
1080,1104,81,64
1092,1104,75,64
1104,1116,80,64
1104,1128,76,64
1116,1122,79,64
1122,1128,78,64
1128,1140,79,64
1128,1152,76,64
1140,1152,81,64
1152,1164,83,64
1152,1176,75,64
1164,1170,78,64
1170,1176,76,64
1176,1188,78,64
1176,1200,74,64
1188,1200,80,64
1200,1212,81,64
1200,1224,72,64
1212,1218,81,64
1218,1224,80,64
1224,1236,81,64
1224,1248,77,64
1236,1248,83,64
1248,1260,84,64
1248,1272,76,64
1260,1266,79,64
1266,1272,78,64
1272,1284,79,64
1272,1296,75,64
1284,1296,81,64
1296,1308,83,64
1296,1320,74,64
1308,1314,83,64
1314,1320,81,64
1320,1332,83,64
1320,1344,79,64
1332,1344,84,64
1344,1356,86,64
1344,1368,78,64
1356,1362,81,64
1362,1368,80,64
1368,1380,81,64
1368,1392,77,64
1380,1392,83,64
1392,1404,76,64
1392,1404,84,64
1404,1410,81,64
1410,1416,80,64
1416,1428,81,64
1428,1440,69,64
1440,1452,62,64
1452,1458,84,64
1458,1464,81,64
1464,1470,79,64
1470,1476,78,64
1476,1482,76,64
1482,1488,74,64
1488,1500,67,64
1488,1500,74,64
1488,1500,83,64
1500,1506,79,64
1506,1512,78,64
1512,1524,79,64
1524,1536,67,64
1536,1548,60,64
1548,1554,82,64
1554,1560,79,64
1560,1566,77,64
1566,1572,76,64
1572,1578,74,64
1578,1584,72,64
1584,1596,65,64
1584,1596,72,64
1584,1596,81,64
1596,1602,81,64
1602,1608,77,64
1608,1614,76,64
1614,1620,74,64
1620,1626,73,64
1626,1632,71,64
1632,1644,64,64
1632,1644,73,64
1632,1644,79,64
1644,1650,79,64
1650,1656,76,64
1656,1662,74,64
1662,1668,73,64
1668,1674,71,64
1674,1680,69,64
1680,1686,62,64
1680,1686,74,64
1680,1686,77,64
1686,1692,79,64
1692,1698,77,64
1698,1704,76,64
1704,1710,74,64
1710,1716,72,64
1716,1722,70,64
1722,1728,69,64
1728,1740,62,64
1728,1740,70,64
1728,1740,77,64
1740,1746,82,64
1746,1752,77,64
1752,1758,76,64
1758,1764,74,64
1764,1770,72,64
1770,1776,71,64
1776,1788,62,64
1776,1788,71,64
1776,1788,80,64
1788,1794,72,64
1788,1794,81,64
1794,1800,71,64
1794,1800,80,64
1800,1812,72,64
1800,1812,81,64
1812,1824,63,64
1812,1824,72,64
1812,1824,81,64
1824,1836,64,64
1824,1836,71,64
1824,1836,81,64
1836,1842,76,64
1842,1848,75,64
1848,1860,76,64
1860,1872,64,64
1860,1872,74,64
1860,1872,80,64
1872,1884,57,64
