onset,offset,pitch,velocity
0,24,76,64
0,24,80,64
24,36,80,64
24,48,75,64
36,48,78,64
48,72,71,64
48,72,80,64
72,96,73,64
72,96,76,64
96,108,78,64
108,120,75,64
120,144,76,64
144,168,68,64
144,168,71,64
168,192,69,64
168,192,73,64
192,216,66,64
192,216,75,64
216,228,64,64
216,228,76,64
228,240,75,64
240,252,76,64
252,264,78,64
264,276,76,64
276,288,78,64
288,312,76,64
288,312,80,64
312,336,75,64
312,336,78,64
336,348,78,64
336,360,71,64
348,354,80,64
354,360,81,64
360,372,76,64
360,372,80,64
372,384,78,64
384,396,80,64
396,408,81,64
408,420,83,64
420,432,80,64
432,456,73,64
432,456,76,64
456,480,75,64
456,480,81,64
480,504,76,64
480,504,80,64
504,576,71,64
504,576,78,64
576,600,75,64
576,600,83,64
600,612,83,64
600,624,73,64
612,624,82,64
624,648,71,64
624,648,83,64
648,672,69,64
648,672,75,64
672,684,76,64
684,696,73,64
696,720,75,64
720,744,68,64
720,744,76,64
720,744,83,64
744,756,83,64
744,768,66,64
744,768,75,64
756,768,82,64
768,792,64,64
768,792,73,64
768,792,83,64
792,864,63,64
792,864,71,64
864,888,63,64
864,888,72,64
864,888,81,64
888,912,80,64
912,936,78,64
936,960,61,64
936,960,68,64
936,960,73,64
936,960,76,64
960,972,73,64
960,972,76,64
972,984,75,64
972,984,78,64
984,1008,76,64
984,1008,80,64
1008,1020,80,64
1008,1032,75,64
1020,1032,78,64
1032,1056,73,64
1032,1056,81,64
1056,1080,72,64
1056,1080,80,64
1080,1092,78,64
1080,1104,73,64
1092,1104,76,64
1104,1116,78,64
1116,1128,75,64
1128,1140,76,64
1128,1152,69,64
1128,1152,73,64
1140,1152,78,64
1152,1176,64,64
1152,1176,73,64
1152,1176,80,64
1176,1200,66,64
1176,1200,73,64
1200,1224,68,64
1200,1224,72,64
1224,1260,61,64
1224,1260,68,64
1224,1260,73,64
1260,1272,76,64
1272,1284,75,64
1284,1296,78,64
1296,1308,68,64
1308,1320,69,64
1320,1332,71,64
1332,1344,73,64
1344,1356,74,64
1356,1368,64,64
1368,1380,57,64
1380,1392,64,64
1392,1404,74,64
1404,1416,71,64
1416,1428,73,64
1428,1440,69,64
1440,1452,66,64
1452,1464,68,64
1464,1476,69,64
1476,1488,71,64
1488,1500,73,64
1500,1512,69,64
1512,1524,56,64
1524,1536,66,64
1536,1548,73,64
1548,1560,69,64
1560,1572,71,64
1572,1584,68,64
1584,1596,64,64
1584,1608,61,64
1596,1608,66,64
1608,1620,68,64
1620,1632,69,64
1632,1644,71,64
1644,1656,68,64
1656,1668,69,64
1668,1680,64,64
1680,1692,66,64
1692,1704,69,64
1704,1716,63,64
1716,1728,66,64
1728,1740,68,64
1740,1752,71,64
1752,1764,73,64
1764,1776,76,64
1776,1788,78,64
1788,1800,81,64
1800,1812,76,64
1812,1824,75,64
1824,1836,76,64
1836,1848,75,64
1848,1860,73,64
1860,1872,71,64
1872,1896,76,64
1872,1896,80,64
1896,1908,80,64
1896,1920,75,64
1908,1920,78,64
1920,1944,71,64
1920,1944,80,64
1944,1968,73,64
1944,1968,76,64
1968,1980,78,64
1980,1992,75,64
1992,2016,76,64
2016,2028,68,64
2028,2040,71,64
2040,2052,64,64
2052,2064,68,64
2064,2076,71,64
2076,2088,74,64
2088,2100,57,64
2100,2112,64,64
2112,2124,74,64
2124,2136,71,64
2136,2148,73,64
2148,2160,69,64
2160,2172,66,64
2172,2184,76,64
2184,2196,75,64
2196,2208,78,64
2208,2220,81,64
2220,2232,64,64
2232,2244,63,64
2244,2256,71,64
2256,2268,78,64
2268,2280,81,64
2280,2304,64,64
2280,2304,71,64
2280,2304,80,64
2304,2328,69,64
2304,2328,73,64
2304,2328,78,64
2328,2352,68,64
2328,2352,71,64
2352,2376,59,64
2352,2376,66,64
2352,2376,75,64
2376,2448,64,64
2376,2448,71,64
2376,2448,76,64
