onset,offset,pitch,velocity
0,24,76,64
0,24,80,64
24,36,80,64
24,48,75,64
36,48,78,64
48,72,71,64
48,72,80,64
72,96,73,64
72,96,76,64
96,108,78,64
108,120,75,64
120,144,76,64
144,168,68,64
144,168,71,64
168,192,69,64
168,192,73,64
192,216,66,64
192,216,75,64
216,228,64,64
216,228,76,64
228,240,75,64
240,252,76,64
252,264,78,64
264,276,76,64
276,288,78,64
288,312,76,64
288,312,80,64
312,336,75,64
312,336,78,64
336,348,78,64
336,360,71,64
348,354,80,64
354,360,81,64
360,372,76,64
360,372,80,64
372,384,78,64
384,396,80,64
396,408,81,64
408,420,83,64
420,432,80,64
432,456,73,64
432,456,76,64
456,480,75,64
456,480,81,64
480,504,76,64
480,504,80,64
504,576,71,64
504,576,78,64
576,600,76,64
576,600,80,64
600,612,80,64
600,624,75,64
612,624,78,64
624,648,71,64
624,648,80,64
648,672,73,64
648,672,76,64
672,684,78,64
684,696,75,64
696,720,76,64
720,744,68,64
720,744,71,64
744,768,69,64
744,768,73,64
768,792,66,64
768,792,75,64
792,804,64,64
792,804,76,64
804,816,75,64
816,828,76,64
828,840,78,64
840,852,76,64
852,864,78,64
864,888,76,64
864,888,80,64
888,912,75,64
888,912,78,64
912,924,78,64
912,936,71,64
924,930,80,64
930,936,81,64
936,948,76,64
936,948,80,64
948,960,78,64
960,972,80,64
972,984,81,64
984,996,83,64
996,1008,80,64
1008,1032,73,64
1008,1032,76,64
1032,1056,75,64
1032,1056,81,64
1056,1080,76,64
1056,1080,80,64
1080,1152,71,64
1080,1152,78,64
1152,1176,75,64
1152,1176,83,64
1176,1188,83,64
1176,1200,73,64
1188,1200,82,64
1200,1224,71,64
1200,1224,83,64
1224,1248,69,64
1224,1248,75,64
1248,1260,76,64
1260,1272,73,64
1272,1296,75,64
1296,1320,68,64
1296,1320,76,64
1296,1320,83,64
1320,1332,83,64
1320,1344,66,64
1320,1344,75,64
1332,1344,82,64
1344,1368,64,64
1344,1368,73,64
1344,1368,83,64
1368,1440,63,64
1368,1440,71,64
1440,1464,63,64
1440,1464,72,64
1440,1464,81,64
1464,1488,80,64
1488,1512,78,64
1512,1536,61,64
1512,1536,68,64
1512,1536,73,64
1512,1536,76,64
1536,1548,73,64
1536,1548,76,64
1548,1560,75,64
1548,1560,78,64
1560,1584,76,64
1560,1584,80,64
1584,1596,80,64
1584,1608,75,64
1596,1608,78,64
1608,1632,73,64
1608,1632,81,64
1632,1656,72,64
1632,1656,80,64
1656,1668,78,64
1656,1680,73,64
1668,1680,76,64
1680,1692,78,64
1692,1704,75,64
1704,1716,76,64
1704,1728,69,64
1704,1728,73,64
1716,1728,78,64
1728,1752,64,64
1728,1752,73,64
1728,1752,80,64
1752,1776,66,64
1752,1776,73,64
1776,1800,68,64
1776,1800,72,64
1800,1836,61,64
1800,1836,68,64
1800,1836,73,64
1836,1848,76,64
1848,1860,75,64
1860,1872,78,64
1872,1884,68,64
1884,1896,69,64
1896,1908,71,64
1908,1920,73,64
1920,1932,74,64
1932,1944,64,64
1944,1956,57,64
1956,1968,64,64
1968,1980,74,64
1980,1992,71,64
1992,2004,73,64
2004,2016,69,64
2016,2028,66,64
2028,2040,68,64
2040,2052,69,64
2052,2064,71,64
2064,2076,73,64
2076,2088,69,64
2088,2100,56,64
2100,2112,66,64
2112,2124,73,64
2124,2136,69,64
2136,2148,71,64
2148,2160,68,64
2160,2172,64,64
2160,2184,61,64
2172,2184,66,64
2184,2196,68,64
2196,2208,69,64
2208,2220,71,64
2220,2232,68,64
2232,2244,69,64
2244,2256,64,64
2256,2268,66,64
2268,2280,69,64
2280,2292,63,64
2292,2304,66,64
2304,2316,68,64
2316,2328,71,64
2328,2340,73,64
2340,2352,76,64
2352,2364,78,64
2364,2376,81,64
2376,2388,76,64
2388,2400,75,64
2400,2412,76,64
2412,2424,75,64
2424,2436,73,64
2436,2448,71,64
2448,2472,76,64
2448,2472,80,64
2472,2484,80,64
2472,2496,75,64
2484,2496,78,64
2496,2520,71,64
2496,2520,80,64
2520,2544,73,64
2520,2544,76,64
2544,2556,78,64
2556,2568,75,64
2568,2592,76,64
2592,2604,68,64
2604,2616,71,64
2616,2628,64,64
2628,2640,68,64
2640,2652,71,64
2652,2664,74,64
2664,2676,57,64
2676,2688,64,64
2688,2700,74,64
2700,2712,71,64
2712,2724,73,64
2724,2736,69,64
2736,2748,66,64
2748,2760,76,64
2760,2772,75,64
2772,2784,78,64
2784,2796,81,64
2796,2808,64,64
2808,2820,63,64
2820,2832,71,64
2832,2844,78,64
2844,2856,81,64
2856,2880,64,64
2856,2880,71,64
2856,2880,80,64
2880,2904,69,64
2880,2904,73,64
2880,2904,78,64
2904,2928,68,64
2904,2928,71,64
2928,2952,59,64
2928,2952,66,64
2928,2952,75,64
2952,3024,64,64
2952,3024,71,64
2952,3024,76,64
3024,3048,75,64
3024,3048,83,64
3048,3060,83,64
3048,3072,73,64
3060,3072,82,64
3072,3096,71,64
3072,3096,83,64
3096,3120,69,64
3096,3120,75,64
3120,3132,76,64
3132,3144,73,64
3144,3168,75,64
3168,3192,68,64
3168,3192,76,64
3168,3192,83,64
3192,3204,83,64
3192,3216,66,64
3192,3216,75,64
3204,3216,82,64
3216,3240,64,64
3216,3240,73,64
3216,3240,83,64
3240,3312,63,64
3240,3312,71,64
3312,3336,63,64
3312,3336,72,64
3312,3336,81,64
3336,3360,80,64
3360,3384,78,64
3384,3408,61,64
3384,3408,68,64
3384,3408,73,64
3384,3408,76,64
3408,3420,73,64
3408,3420,76,64
3420,3432,75,64
3420,3432,78,64
3432,3456,76,64
3432,3456,80,64
3456,3468,80,64
3456,3480,75,64
3468,3480,78,64
3480,3504,73,64
3480,3504,81,64
3504,3528,72,64
3504,3528,80,64
3528,3540,78,64
3528,3552,73,64
3540,3552,76,64
3552,3564,78,64
3564,3576,75,64
3576,3588,76,64
3576,3600,69,64
3576,3600,73,64
3588,3600,78,64
3600,3624,64,64
3600,3624,73,64
3600,3624,80,64
3624,3648,66,64
3624,3648,73,64
3648,3672,68,64
3648,3672,72,64
3672,3708,61,64
3672,3708,68,64
3672,3708,73,64
3708,3720,76,64
3720,3732,75,64
3732,3744,78,64
3744,3756,68,64
3756,3768,69,64
3768,3780,71,64
3780,3792,73,64
3792,3804,74,64
3804,3816,64,64
3816,3828,57,64
3828,3840,64,64
3840,3852,74,64
3852,3864,71,64
3864,3876,73,64
3876,3888,69,64
3888,3900,66,64
3900,3912,68,64
3912,3924,69,64
3924,3936,71,64
3936,3948,73,64
3948,3960,69,64
3960,3972,56,64
3972,3984,66,64
3984,3996,73,64
3996,4008,69,64
4008,4020,71,64
4020,4032,68,64
4032,4044,64,64
4032,4056,61,64
4044,4056,66,64
4056,4068,68,64
4068,4080,69,64
4080,4092,71,64
4092,4104,68,64
4104,4116,69,64
4116,4128,64,64
4128,4140,66,64
4140,4152,69,64
4152,4164,63,64
4164,4176,66,64
4176,4188,68,64
4188,4200,71,64
4200,4212,73,64
4212,4224,76,64
4224,4236,78,64
4236,4248,81,64
4248,4260,76,64
4260,4272,75,64
4272,4284,76,64
4284,4296,75,64
4296,4308,73,64
4308,4320,71,64
4320,4344,76,64
4320,4344,80,64
4344,4356,80,64
4344,4368,75,64
4356,4368,78,64
4368,4392,71,64
4368,4392,80,64
4392,4416,73,64
4392,4416,76,64
4416,4428,78,64
4428,4440,75,64
4440,4464,76,64
4464,4476,68,64
4476,4488,71,64
4488,4500,64,64
4500,4512,68,64
4512,4524,71,64
4524,4536,74,64
4536,4548,57,64
4548,4560,64,64
4560,4572,74,64
4572,4584,71,64
4584,4596,73,64
4596,4608,69,64
4608,4620,66,64
4620,4632,76,64
4632,4644,75,64
4644,4656,78,64
4656,4668,81,64
4668,4680,64,64
4680,4692,63,64
4692,4704,71,64
4704,4716,78,64
4716,4728,81,64
4728,4752,64,64
4728,4752,71,64
4728,4752,80,64
4752,4776,69,64
4752,4776,73,64
4752,4776,78,64
4776,4800,68,64
4776,4800,71,64
4800,4824,59,64
4800,4824,66,64
4800,4824,75,64
4824,4896,64,64
4824,4896,71,64
4824,4896,76,64
