onset,offset,pitch,velocity
0,24,59,64
0,24,66,64
0,24,74,64
0,24,78,64
24,48,64,64
24,48,74,64
24,48,79,64
48,60,78,64
48,72,69,64
48,72,73,64
60,72,76,64
72,108,62,64
72,108,74,64
72,108,78,64
108,120,76,64
120,132,74,64
132,144,73,64
144,156,71,64
144,168,67,64
156,168,76,64
168,180,74,64
168,192,64,64
180,192,73,64
192,204,74,64
192,216,65,64
204,216,71,64
216,252,66,64
216,252,70,64
252,264,67,64
264,276,66,64
276,288,64,64
288,312,62,64
288,312,66,64
288,312,71,64
312,336,61,64
312,336,64,64
312,336,69,64
336,342,67,64
336,360,59,64
342,348,66,64
348,360,67,64
360,396,73,64
360,408,57,64
360,408,67,64
396,408,74,64
408,432,58,64
408,432,66,64
408,432,76,64
432,444,76,64
432,456,59,64
432,456,66,64
444,456,74,64
456,468,76,64
456,504,67,64
468,480,74,64
480,492,73,64
492,504,71,64
504,540,66,64
504,540,73,64
504,540,78,64
540,552,64,64
552,564,62,64
564,576,61,64
576,600,59,64
576,600,66,64
576,600,74,64
576,600,78,64
600,624,64,64
600,624,74,64
600,624,79,64
624,636,78,64
624,648,69,64
624,648,73,64
636,648,76,64
648,684,62,64
648,684,74,64
648,684,78,64
684,696,76,64
696,708,74,64
708,720,73,64
720,732,71,64
720,744,67,64
732,744,76,64
744,756,74,64
744,768,64,64
756,768,73,64
768,780,74,64
768,792,65,64
780,792,71,64
792,828,66,64
792,828,70,64
828,840,67,64
840,852,66,64
852,864,64,64
864,888,62,64
864,888,66,64
864,888,71,64
888,912,61,64
888,912,64,64
888,912,69,64
912,918,67,64
912,936,59,64
918,924,66,64
924,936,67,64
936,972,73,64
936,984,57,64
936,984,67,64
972,984,74,64
984,1008,58,64
984,1008,66,64
984,1008,76,64
1008,1020,76,64
1008,1032,59,64
1008,1032,66,64
1020,1032,74,64
1032,1044,76,64
1032,1080,67,64
1044,1056,74,64
1056,1068,73,64
1068,1080,71,64
1080,1152,66,64
1080,1152,73,64
1080,1152,78,64
1152,1176,66,64
1152,1176,73,64
1152,1176,82,64
1176,1200,64,64
1176,1200,73,64
1176,1200,82,64
1200,1224,66,64
1200,1224,73,64
1200,1224,82,64
1224,1236,62,64
1224,1236,71,64
1236,1248,78,64
1248,1260,83,64
1260,1272,81,64
1272,1284,80,64
1284,1296,78,64
1296,1320,62,64
1296,1320,68,64
1296,1320,71,64
1296,1320,76,64
1320,1344,61,64
1320,1344,69,64
1320,1344,73,64
1320,1344,78,64
1344,1368,59,64
1344,1368,62,64
1344,1368,76,64
1344,1368,80,64
1368,1404,57,64
1368,1404,64,64
1368,1404,73,64
1368,1404,81,64
1404,1416,79,64
1416,1428,78,64
1428,1440,76,64
1440,1452,75,64
1440,1476,69,64
1452,1464,84,64
1464,1476,83,64
1476,1488,67,64
1476,1488,76,64
1488,1500,75,64
1488,1512,66,64
1500,1512,81,64
1512,1518,72,64
1512,1536,64,64
1518,1524,71,64
1524,1530,72,64
1530,1536,69,64
1536,1548,71,64
1536,1560,63,64
1548,1560,81,64
1560,1584,64,64
1560,1584,71,64
1560,1584,79,64
1584,1596,79,64
1584,1608,57,64
1584,1608,69,64
1584,1608,72,64
1596,1608,78,64
1608,1620,78,64
1608,1632,59,64
1608,1632,67,64
1608,1632,71,64
1620,1632,76,64
1632,1644,76,64
1632,1656,59,64
1632,1656,66,64
1632,1656,69,64
1644,1656,75,64
1656,1692,64,64
1656,1692,76,64
1692,1704,62,64
1704,1716,61,64
1716,1728,59,64
1728,1752,57,64
1728,1752,67,64
1728,1752,73,64
1728,1752,76,64
1752,1764,74,64
1764,1776,73,64
1776,1788,71,64
1776,1800,67,64
1788,1800,69,64
1800,1824,66,64
1800,1836,74,64
1824,1848,64,64
1836,1848,76,64
1848,1872,62,64
1848,1872,69,64
1848,1872,78,64
1872,1896,55,64
1872,1896,62,64
1872,1896,71,64
1872,1896,83,64
1896,1920,64,64
1896,1920,73,64
1896,1920,79,64
1920,1944,62,64
1920,1944,74,64
1920,1944,78,64
1944,1980,73,64
1944,1980,76,64
1944,1992,69,64
1980,1992,74,64
1980,1992,78,64
1992,2004,76,64
1992,2016,79,64
2004,2016,73,64
2016,2028,71,64
2016,2040,61,64
2016,2040,64,64
2028,2034,70,64
2034,2040,79,64
