filename,collection,violinist,violinist_name,work,title,mov,movement,source_filename,start,end,length,repeat1,repeat2,score_filename,baroque_tuning
emil-telmanyi_bwv1001_mov1,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1001,Sonata No. 1 in G minor,1,Adagio,emil-telmanyi_bwv1001.mp3,0:00:03,0:04:13,0:04:10,-,-,bwv1001_mov1,0
emil-telmanyi_bwv1001_mov2,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1001,Sonata No. 1 in G minor,2,Fuga (Allegro),emil-telmanyi_bwv1001.mp3,0:04:13,0:10:07,0:05:54,-,-,bwv1001_mov2,0
emil-telmanyi_bwv1001_mov3,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1001,Sonata No. 1 in G minor,3,Siciliana,emil-telmanyi_bwv1001.mp3,0:10:07,0:13:55,0:03:48,-,-,bwv1001_mov3,0
emil-telmanyi_bwv1001_mov4,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1001,Sonata No. 1 in G minor,4,Presto,emil-telmanyi_bwv1001.mp3,0:13:55,0:18:04,0:04:09,1,1,bwv1001_mov4,0
emil-telmanyi_bwv1002_mov1,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,1,Allemande,emil-telmanyi_bwv1002.mp3,0:00:00,0:03:15,0:03:15,0,0,bwv1002_mov1_00,0
emil-telmanyi_bwv1002_mov2,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,2,Double,emil-telmanyi_bwv1002.mp3,0:03:15,0:04:55,0:01:40,0,0,bwv1002_mov2_00,0
emil-telmanyi_bwv1002_mov3,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,3,Corrente,emil-telmanyi_bwv1002.mp3,0:04:55,0:06:43,0:01:48,0,0,bwv1002_mov3_00,0
emil-telmanyi_bwv1002_mov4,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,4,Double (Presto),emil-telmanyi_bwv1002.mp3,0:06:43,0:08:39,0:01:56,0,0,bwv1002_mov4_00,0
emil-telmanyi_bwv1002_mov5,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,5,Sarabande,emil-telmanyi_bwv1002.mp3,0:08:39,0:11:33,0:02:54,1,1,bwv1002_mov5,0
emil-telmanyi_bwv1002_mov6,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,6,Double,emil-telmanyi_bwv1002.mp3,0:11:33,0:13:43,0:02:10,1,1,bwv1002_mov6,0
emil-telmanyi_bwv1002_mov7,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,7,Tempo di Borea,emil-telmanyi_bwv1002.mp3,0:13:43,0:16:00,0:02:17,0,0,bwv1002_mov7_00,0
emil-telmanyi_bwv1002_mov8,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1002,Partita No. 1 in B minor,8,Double,emil-telmanyi_bwv1002.mp3,0:16:00,0:18:01,0:02:01,0,0,bwv1002_mov8_00,0
emil-telmanyi_bwv1003_mov1,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1003,Sonata No. 2 in A minor,1,Grave,emil-telmanyi_bwv1003.mp3,0:00:00,0:04:17,0:04:17,-,-,bwv1003_mov1,0
emil-telmanyi_bwv1003_mov2,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1003,Sonata No. 2 in A minor,2,Fuga,emil-telmanyi_bwv1003.mp3,0:04:17,0:13:03,0:08:46,-,-,bwv1003_mov2,0
emil-telmanyi_bwv1003_mov3,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1003,Sonata No. 2 in A minor,3,Andante,emil-telmanyi_bwv1003.mp3,0:13:03,0:16:37,0:03:34,0,0,bwv1003_mov3_00,0
emil-telmanyi_bwv1003_mov4,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1003,Sonata No. 2 in A minor,4,Allegro,emil-telmanyi_bwv1003.mp3,0:16:38,0:19:36,0:02:58,0,0,bwv1003_mov4_00,0
emil-telmanyi_bwv1004_mov1,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1004,Partita No. 2 in D minor,1,Allemanda,emil-telmanyi_bwv1004.mp3,0:00:00,0:02:16,0:02:16,0,0,bwv1004_mov1_00,0
emil-telmanyi_bwv1004_mov2,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1004,Partita No. 2 in D minor,2,Corrente,emil-telmanyi_bwv1004.mp3,0:02:16,0:03:57,0:01:41,0,0,bwv1004_mov2_00,0
emil-telmanyi_bwv1004_mov3,emil-telmanyi,emil-telmanyi,Emil Telmányi,BWV1004,Partita No. 2 in D minor,3,Sarabanda,emil-telmanyi_bwv1004.mp3,0:03:57,0:06:17,0:02:20,1,0,bwv1004_mov3_10,0
