onset,offset,pitch,velocity
0,24,78,64
24,48,59,64
24,48,66,64
24,48,74,64
24,48,83,64
48,72,78,64
72,96,59,64
72,96,66,64
72,96,74,64
72,96,83,64
96,120,78,64
120,144,70,64
120,144,73,64
120,144,79,64
144,156,79,64
156,168,78,64
168,192,76,64
192,216,64,64
192,216,70,64
192,216,79,64
216,240,62,64
216,240,71,64
216,240,78,64
240,264,64,64
240,264,73,64
240,264,76,64
264,288,74,64
264,312,66,64
288,312,73,64
312,324,76,64
312,336,59,64
312,336,66,64
324,336,74,64
336,348,73,64
348,360,74,64
360,384,71,64
384,396,74,64
396,408,73,64
408,432,74,64
432,456,59,64
432,456,66,64
456,480,59,64
456,480,67,64
480,504,74,64
504,528,57,64
504,528,67,64
504,528,73,64
528,540,73,64
540,552,71,64
552,576,73,64
576,588,81,64
588,600,76,64
600,624,73,64
624,648,57,64
624,648,64,64
648,672,57,64
648,672,66,64
672,696,73,64
696,720,55,64
696,720,66,64
696,720,71,64
720,732,71,64
732,744,69,64
744,768,71,64
768,780,83,64
780,792,79,64
792,816,76,64
816,828,79,64
828,840,76,64
840,864,73,64
864,876,76,64
876,888,73,64
888,912,67,64
888,912,69,64
912,924,71,64
924,936,73,64
936,948,74,64
948,960,76,64
960,972,78,64
972,984,79,64
984,1008,81,64
1008,1032,66,64
1008,1032,74,64
1032,1056,67,64
1032,1056,76,64
1056,1080,69,64
1056,1080,73,64
1080,1092,74,64
1080,1104,59,64
1080,1104,69,64
1092,1104,73,64
1104,1128,74,64
1128,1152,83,64
1152,1176,68,64
1152,1176,74,64
1176,1188,73,64
1176,1200,57,64
1176,1200,67,64
1188,1200,71,64
1200,1224,73,64
1224,1248,81,64
1248,1272,57,64
1248,1272,66,64
1248,1272,72,64
1272,1296,55,64
1272,1296,67,64
1272,1296,71,64
1296,1320,66,64
1296,1320,74,64
1320,1332,73,64
1320,1344,64,64
1332,1344,74,64
1344,1368,62,64
1344,1368,76,64
1368,1392,61,64
1368,1392,67,64
1392,1404,67,64
1404,1416,66,64
1416,1440,67,64
1440,1452,76,64
1452,1464,66,64
1464,1488,61,64
1464,1488,67,64
1488,1500,76,64
1500,1512,66,64
1512,1536,59,64
1512,1536,67,64
1536,1548,76,64
1548,1560,66,64
1560,1584,57,64
1560,1584,67,64
1584,1608,73,64
1608,1668,81,64
1668,1680,86,64
1680,1692,85,64
1692,1704,83,64
1704,1716,81,64
1716,1728,79,64
1728,1740,83,64
1740,1752,81,64
1752,1764,79,64
1764,1776,78,64
1776,1788,76,64
1788,1800,74,64
1800,1824,69,64
1800,1824,69,64
1824,1848,57,64
1824,1848,67,64
1824,1848,73,64
1848,1920,62,64
1848,1920,66,64
1848,1920,74,64
1920,1944,62,64
1920,1944,74,64
1920,1944,78,64
1944,1968,69,64
1944,1968,73,64
1944,1968,76,64
1968,1992,74,64
1968,1992,78,64
1992,2016,69,64
1992,2016,76,64
1992,2016,79,64
2016,2040,74,64
2016,2040,78,64
2040,2064,69,64
2040,2064,73,64
2040,2064,76,64
2064,2076,76,64
2076,2088,74,64
2088,2112,76,64
2112,2136,57,64
2112,2136,66,64
2112,2136,74,64
2112,2136,81,64
2136,2160,57,64
2136,2160,64,64
2136,2160,73,64
2160,2184,66,64
2160,2184,74,64
2184,2208,57,64
2184,2208,67,64
2184,2208,76,64
2208,2232,66,64
2208,2232,74,64
2232,2256,57,64
2232,2256,64,64
2232,2256,73,64
2256,2268,64,64
2256,2268,73,64
2268,2280,62,64
2268,2280,71,64
2280,2304,64,64
2280,2304,73,64
2304,2328,66,64
2304,2328,75,64
2328,2352,55,64
2328,2352,67,64
2328,2352,71,64
2328,2352,76,64
2352,2376,71,64
2352,2376,79,64
2376,2400,59,64
2400,2424,69,64
2400,2424,78,64
2424,2436,67,64
2424,2436,76,64
2424,2448,60,64
2436,2448,66,64
2436,2448,75,64
2448,2472,67,64
2448,2472,76,64
2472,2496,67,64
2472,2496,76,64
2496,2508,76,64
2496,2508,79,64
2508,2520,75,64
2508,2520,78,64
2520,2544,76,64
2520,2544,79,64
2544,2568,67,64
2544,2568,76,64
2544,2568,83,64
2568,2592,79,64
2568,2616,71,64
2592,2604,78,64
2604,2616,76,64
2616,2640,64,64
2616,2688,76,64
2640,2664,66,64
2664,2688,67,64
2688,2712,64,64
2688,2712,71,64
2688,2712,79,64
2712,2736,69,64
2712,2736,73,64
2736,2760,79,64
2760,2784,69,64
2760,2784,73,64
2784,2808,79,64
2808,2832,79,64
2808,2856,62,64
2808,2856,69,64
2832,2844,78,64
2844,2856,76,64
2856,2880,78,64
2880,2904,83,64
2904,2928,65,64
2904,2928,73,64
2928,2952,83,64
2952,2976,66,64
2952,2976,73,64
2976,3000,81,64
3000,3012,80,64
3000,3024,73,64
3012,3024,78,64
3024,3036,77,64
3036,3048,75,64
3048,3072,73,64
3072,3084,85,64
3084,3096,83,64
3096,3120,85,64
3120,3144,71,64
3120,3144,76,64
3144,3168,70,64
3144,3168,76,64
3168,3192,85,64
3192,3216,71,64
3192,3216,76,64
3216,3228,74,64
3228,3240,73,64
3240,3264,74,64
3264,3276,83,64
3276,3288,82,64
3288,3312,83,64
3312,3336,69,64
3312,3336,74,64
3336,3360,68,64
3336,3360,74,64
3360,3384,66,64
3360,3384,74,64
3360,3384,83,64
3384,3396,73,64
3384,3408,65,64
3396,3408,75,64
3408,3420,77,64
3420,3432,78,64
3432,3444,80,64
3444,3456,81,64
3456,3468,83,64
3468,3480,80,64
3480,3492,83,64
3480,3504,66,64
3480,3504,73,64
3492,3504,81,64
3504,3516,80,64
3516,3528,78,64
3528,3552,73,64
3552,3576,77,64
3576,3600,78,64
3600,3612,66,64
3612,3624,67,64
3624,3636,66,64
3636,3648,64,64
3648,3660,63,64
3660,3672,61,64
3672,3696,59,64
3696,3720,81,64
3720,3744,59,64
3720,3744,66,64
3720,3744,75,64
3744,3768,81,64
3768,3792,64,64
3768,3792,71,64
3768,3792,81,64
3792,3804,79,64
3804,3816,78,64
3816,3828,79,64
3828,3840,64,64
3840,3852,66,64
3852,3864,67,64
3864,3888,57,64
3888,3912,79,64
3912,3936,57,64
3912,3936,64,64
3912,3936,73,64
3936,3960,79,64
3960,3984,62,64
3960,3984,69,64
3960,3984,79,64
3984,3996,78,64
3996,4008,76,64
4008,4020,78,64
4020,4032,74,64
4032,4044,73,64
4044,4056,71,64
4056,4080,61,64
4056,4080,70,64
4080,4104,76,64
4104,4128,59,64
4104,4128,67,64
4128,4152,76,64
4152,4164,66,64
4152,4176,58,64
4164,4176,73,64
4176,4188,76,64
4188,4200,74,64
4200,4212,76,64
4212,4224,79,64
4224,4236,78,64
4236,4248,76,64
4248,4260,74,64
4260,4272,73,64
4272,4284,71,64
4284,4296,69,64
4296,4308,67,64
4308,4320,70,64
4320,4332,71,64
4332,4344,73,64
4344,4356,74,64
4356,4368,71,64
4368,4380,73,64
4380,4392,70,64
4392,4404,66,64
4404,4416,73,64
4416,4428,78,64
4428,4440,80,64
4440,4452,82,64
4452,4464,83,64
4464,4476,82,64
4476,4488,83,64
4488,4500,85,64
4500,4512,86,64
4512,4524,85,64
4524,4536,86,64
4536,4548,88,64
4548,4560,78,64
4560,4572,70,64
4572,4584,78,64
4584,4596,88,64
4596,4608,78,64
4608,4620,70,64
4620,4632,71,64
4632,4644,73,64
4644,4656,74,64
4656,4668,76,64
4668,4680,78,64
4680,4692,80,64
4692,4704,82,64
4704,4716,83,64
4716,4728,85,64
4728,4740,86,64
