onset,offset,pitch,velocity
0,24,68,64
0,216,71,64
24,36,69,64
36,48,68,64
48,60,66,64
60,72,64,64
72,84,66,64
84,96,68,64
96,144,69,64
144,156,68,64
156,168,66,64
168,180,69,64
180,192,68,64
192,204,66,64
204,216,64,64
216,228,63,64
216,288,69,64
228,240,64,64
240,264,66,64
264,288,59,64
288,300,64,64
300,312,68,64
312,324,68,64
324,336,71,64
336,348,71,64
348,360,76,64
360,372,75,64
372,384,71,64
384,396,71,64
396,408,75,64
408,420,75,64
420,432,78,64
432,444,78,64
444,456,80,64
456,468,81,64
468,480,78,64
480,504,83,64
504,516,81,64
516,528,80,64
528,540,81,64
540,552,80,64
552,564,78,64
564,576,76,64
576,600,68,64
576,720,71,64
600,612,69,64
612,624,68,64
624,636,66,64
636,648,64,64
648,660,66,64
660,672,68,64
672,720,69,64
720,732,68,64
720,864,76,64
732,744,64,64
744,756,64,64
756,768,68,64
768,780,68,64
780,792,71,64
792,804,70,64
804,816,71,64
816,840,73,64
840,864,66,64
864,876,71,64
876,888,75,64
888,900,75,64
900,912,78,64
912,924,78,64
924,936,83,64
936,948,73,64
948,960,75,64
960,972,76,64
972,984,80,64
984,996,70,64
996,1008,78,64
1008,1020,76,64
1020,1032,75,64
1032,1044,73,64
1044,1056,71,64
1056,1068,66,64
1068,1080,70,64
1080,1152,59,64
1152,1176,68,64
1152,1368,71,64
1176,1188,69,64
1188,1200,68,64
1200,1212,66,64
1212,1224,64,64
1224,1236,66,64
1236,1248,68,64
1248,1296,69,64
1296,1308,68,64
1308,1320,66,64
1320,1332,69,64
1332,1344,68,64
1344,1356,66,64
1356,1368,64,64
1368,1380,63,64
1368,1440,69,64
1380,1392,64,64
1392,1416,66,64
1416,1440,59,64
1440,1452,64,64
1452,1464,68,64
1464,1476,68,64
1476,1488,71,64
1488,1500,71,64
1500,1512,76,64
1512,1524,75,64
1524,1536,71,64
1536,1548,71,64
1548,1560,75,64
1560,1572,75,64
1572,1584,78,64
1584,1596,78,64
1596,1608,80,64
1608,1620,81,64
1620,1632,78,64
1632,1656,83,64
1656,1668,81,64
1668,1680,80,64
1680,1692,81,64
1692,1704,80,64
1704,1716,78,64
1716,1728,76,64
1728,1752,68,64
1728,1872,71,64
1752,1764,69,64
1764,1776,68,64
1776,1788,66,64
1788,1800,64,64
1800,1812,66,64
1812,1824,68,64
1824,1872,69,64
1872,1884,68,64
1872,2016,76,64
1884,1896,64,64
1896,1908,64,64
1908,1920,68,64
1920,1932,68,64
1932,1944,71,64
1944,1956,70,64
1956,1968,71,64
1968,1992,73,64
1992,2016,66,64
2016,2028,71,64
2028,2040,75,64
2040,2052,75,64
2052,2064,78,64
2064,2076,78,64
2076,2088,83,64
2088,2100,73,64
2100,2112,75,64
2112,2124,76,64
2124,2136,80,64
2136,2148,70,64
2148,2160,78,64
2160,2172,76,64
2172,2184,75,64
2184,2196,73,64
2196,2208,71,64
2208,2220,66,64
2220,2232,70,64
2232,2304,59,64
2304,2328,69,64
2304,2328,75,64
2328,2340,76,64
2340,2352,75,64
2352,2364,73,64
2364,2376,71,64
2376,2388,76,64
2376,2400,68,64
2376,2400,71,64
2388,2400,78,64
2400,2412,80,64
2400,2424,74,64
2412,2424,81,64
2424,2436,83,64
2436,2448,80,64
2448,2460,78,64
2448,2472,71,64
2460,2472,77,64
2472,2484,78,64
2484,2496,77,64
2496,2508,75,64
2508,2520,73,64
2520,2532,78,64
2520,2544,69,64
2532,2544,80,64
2544,2556,81,64
2556,2568,73,64
2568,2592,66,64
2592,2604,65,64
2604,2616,73,64
2616,2628,83,64
2628,2640,80,64
2640,2652,81,64
2652,2664,78,64
2664,2676,80,64
2676,2688,73,64
2688,2700,74,64
2700,2712,71,64
2712,2724,65,64
2724,2736,73,64
2736,2748,83,64
2748,2760,80,64
2760,2772,81,64
2772,2784,78,64
2784,2796,73,64
2796,2808,77,64
2808,2820,78,64
2820,2832,73,64
2832,2844,66,64
2844,2856,73,64
2856,2868,78,64
2868,2880,80,64
2880,2904,75,64
2880,2904,81,64
2904,2916,83,64
2916,2928,81,64
2928,2940,80,64
2940,2952,78,64
2952,2964,80,64
2952,2976,76,64
2964,2976,81,64
2976,2988,83,64
2988,3000,74,64
3000,3012,68,64
3012,3024,74,64
3024,3036,73,64
3036,3048,76,64
3048,3060,81,64
3060,3072,78,64
3072,3084,80,64
3084,3096,76,64
3096,3108,75,64
3108,3120,73,64
3120,3132,76,64
3132,3144,75,64
3144,3156,73,64
3156,3168,71,64
3168,3192,64,64
3168,3192,71,64
3168,3192,80,64
3192,3204,81,64
3204,3216,80,64
3216,3228,78,64
3228,3240,76,64
3240,3252,69,64
3240,3252,78,64
3252,3264,75,64
3264,3312,69,64
3264,3312,83,64
3312,3324,68,64
3324,3336,71,64
3336,3348,73,64
3348,3360,69,64
3360,3372,66,64
3372,3384,75,64
3384,3456,76,64
3456,3480,69,64
3456,3480,75,64
3480,3492,76,64
3492,3504,75,64
3504,3516,73,64
3516,3528,71,64
3528,3540,76,64
3528,3552,68,64
3528,3552,71,64
3540,3552,78,64
3552,3564,80,64
3552,3576,74,64
3564,3576,81,64
3576,3588,83,64
3588,3600,80,64
3600,3612,78,64
3600,3624,71,64
3612,3624,77,64
3624,3636,78,64
3636,3648,77,64
3648,3660,75,64
3660,3672,73,64
3672,3684,78,64
3672,3696,69,64
3684,3696,80,64
3696,3708,81,64
3708,3720,73,64
3720,3744,66,64
3744,3756,65,64
3756,3768,73,64
3768,3780,83,64
3780,3792,80,64
3792,3804,81,64
3804,3816,78,64
3816,3828,80,64
3828,3840,73,64
3840,3852,74,64
3852,3864,71,64
3864,3876,65,64
3876,3888,73,64
3888,3900,83,64
3900,3912,80,64
3912,3924,81,64
3924,3936,78,64
3936,3948,73,64
3948,3960,77,64
3960,3972,78,64
3972,3984,73,64
3984,3996,66,64
3996,4008,73,64
4008,4020,78,64
4020,4032,80,64
4032,4056,75,64
4032,4056,81,64
4056,4068,83,64
4068,4080,81,64
4080,4092,80,64
4092,4104,78,64
4104,4116,80,64
4104,4128,76,64
4116,4128,81,64
4128,4140,83,64
4140,4152,74,64
4152,4164,68,64
4164,4176,74,64
4176,4188,73,64
4188,4200,76,64
4200,4212,81,64
4212,4224,78,64
4224,4236,80,64
4236,4248,76,64
4248,4260,75,64
4260,4272,73,64
4272,4284,76,64
4284,4296,75,64
4296,4308,73,64
4308,4320,71,64
4320,4344,64,64
4320,4344,71,64
4320,4344,80,64
4344,4356,81,64
4356,4368,80,64
4368,4380,78,64
4380,4392,76,64
4392,4404,69,64
4392,4404,78,64
4404,4416,75,64
4416,4464,69,64
4416,4464,83,64
4464,4476,68,64
4476,4488,71,64
4488,4500,73,64
4500,4512,69,64
4512,4524,66,64
4524,4536,75,64
4536,4608,76,64
