onset,offset,pitch,velocity
0,36,69,64
0,48,62,64
0,48,65,64
36,48,69,64
48,72,62,64
48,72,67,64
48,72,70,64
48,72,76,64
72,108,76,64
72,120,61,64
72,120,67,64
72,120,69,64
108,120,76,64
120,144,62,64
120,144,65,64
120,144,69,64
120,144,77,64
144,180,74,64
144,192,58,64
144,192,65,64
180,192,72,64
192,216,55,64
192,216,67,64
192,216,70,64
216,240,57,64
216,240,65,64
216,240,69,64
240,246,67,64
240,264,61,64
246,252,65,64
252,258,64,64
258,264,65,64
264,270,67,64
264,276,62,64
270,276,64,64
276,282,65,64
282,288,62,64
288,324,69,64
288,336,62,64
288,336,65,64
324,336,69,64
336,360,62,64
336,360,67,64
336,360,70,64
336,360,76,64
360,396,76,64
360,408,61,64
360,408,67,64
360,408,69,64
396,408,76,64
408,432,62,64
408,432,65,64
408,432,69,64
408,432,77,64
432,468,74,64
432,480,58,64
432,480,65,64
468,480,74,64
480,504,55,64
480,504,64,64
480,504,74,64
480,504,82,64
504,522,57,64
504,522,64,64
504,522,73,64
504,522,81,64
522,525,79,64
525,528,77,64
528,546,79,64
546,552,76,64
552,564,74,64
552,564,77,64
552,570,62,64
570,576,64,64
576,594,65,64
594,597,67,64
597,600,69,64
600,618,70,64
618,624,69,64
624,636,62,64
624,636,70,64
624,636,76,64
624,642,67,64
642,648,65,64
648,660,61,64
648,660,69,64
648,660,76,64
648,666,67,64
666,672,70,64
672,690,69,64
690,696,67,64
696,708,62,64
696,708,69,64
696,708,76,64
696,714,65,64
714,720,64,64
720,732,58,64
720,738,65,64
720,738,74,64
738,744,69,64
738,744,77,64
744,762,67,64
744,762,76,64
762,768,55,64
762,768,65,64
762,768,74,64
768,780,57,64
768,780,74,64
768,786,64,64
786,792,62,64
792,804,73,64
792,810,64,64
810,816,67,64
816,834,65,64
834,840,57,64
834,840,64,64
834,840,73,64
834,840,81,64
840,852,74,64
840,852,77,64
840,858,62,64
840,858,62,64
858,864,64,64
864,882,65,64
882,885,67,64
885,888,69,64
888,906,70,64
906,912,69,64
912,924,62,64
912,924,70,64
912,924,76,64
912,930,67,64
930,936,65,64
936,948,61,64
936,948,69,64
936,948,76,64
936,954,67,64
954,960,70,64
960,978,69,64
978,984,67,64
984,996,62,64
