onset,offset,pitch,velocity
12,18,88,64
18,24,87,64
24,36,88,64
36,48,83,64
48,60,80,64
60,72,83,64
72,78,76,64
78,84,78,64
84,90,76,64
90,96,75,64
96,108,76,64
108,120,71,64
120,132,68,64
132,144,71,64
144,150,64,64
150,156,71,64
156,162,66,64
162,168,71,64
168,174,68,64
174,180,71,64
180,186,69,64
186,192,71,64
192,198,68,64
198,204,71,64
204,210,66,64
210,216,71,64
216,222,64,64
222,228,76,64
228,234,75,64
234,240,73,64
240,246,71,64
246,252,76,64
252,258,75,64
258,264,73,64
264,270,71,64
270,276,69,64
276,282,68,64
282,288,66,64
288,294,64,64
294,300,71,64
300,306,66,64
306,312,71,64
312,318,68,64
318,324,71,64
324,330,69,64
330,336,71,64
336,342,68,64
342,348,71,64
348,354,66,64
354,360,71,64
360,366,64,64
366,372,76,64
372,378,75,64
378,384,73,64
384,390,71,64
390,396,76,64
396,402,75,64
402,408,73,64
408,414,71,64
414,420,69,64
420,426,68,64
426,432,66,64
432,438,64,64
438,444,66,64
444,450,68,64
450,456,69,64
456,462,71,64
462,468,73,64
468,474,75,64
474,480,76,64
480,486,78,64
486,492,80,64
492,498,81,64
498,504,78,64
504,510,80,64
510,516,83,64
516,522,76,64
522,528,78,64
528,534,80,64
534,540,81,64
540,546,83,64
546,552,85,64
552,558,87,64
558,564,88,64
564,570,85,64
570,576,87,64
576,582,88,64
582,588,83,64
588,594,81,64
594,600,83,64
600,606,80,64
606,612,83,64
612,618,81,64
618,624,83,64
624,630,80,64
630,636,83,64
636,642,78,64
642,648,83,64
648,654,76,64
654,660,88,64
660,666,87,64
666,672,85,64
672,678,83,64
678,684,76,64
684,690,85,64
690,696,76,64
696,702,83,64
702,708,76,64
708,714,81,64
714,720,76,64
720,726,80,64
726,732,83,64
732,738,78,64
738,744,83,64
744,750,80,64
750,756,83,64
756,762,81,64
762,768,83,64
768,774,80,64
774,780,83,64
780,786,78,64
786,792,83,64
792,798,76,64
798,804,88,64
804,810,87,64
810,816,85,64
816,822,83,64
822,828,76,64
828,834,85,64
834,840,76,64
840,846,83,64
846,852,76,64
852,858,81,64
858,864,76,64
864,870,80,64
870,876,76,64
876,882,76,64
882,888,76,64
888,894,75,64
894,900,76,64
900,906,76,64
906,912,76,64
912,918,78,64
918,924,76,64
924,930,75,64
930,936,76,64
936,942,76,64
942,948,76,64
948,954,80,64
954,960,76,64
960,966,78,64
966,972,76,64
972,978,80,64
978,984,76,64
984,990,81,64
990,996,76,64
996,1002,78,64
1002,1008,76,64
1008,1014,80,64
1014,1020,76,64
1020,1026,76,64
1026,1032,76,64
1032,1038,75,64
1038,1044,76,64
1044,1050,76,64
1050,1056,76,64
1056,1062,78,64
1062,1068,76,64
1068,1074,75,64
1074,1080,76,64
1080,1086,76,64
1086,1092,76,64
1092,1098,80,64
1098,1104,76,64
1104,1110,78,64
1110,1116,76,64
1116,1122,80,64
1122,1128,76,64
1128,1134,81,64
1134,1140,76,64
1140,1146,78,64
1146,1152,76,64
1152,1158,80,64
1158,1164,76,64
1164,1170,80,64
1170,1176,76,64
1176,1182,80,64
1182,1188,76,64
1188,1194,80,64
1194,1200,76,64
1200,1206,80,64
1206,1212,76,64
1212,1218,80,64
1218,1224,76,64
1224,1230,80,64
1230,1236,76,64
1236,1242,80,64
1242,1248,75,64
1248,1254,80,64
1254,1260,76,64
1260,1266,80,64
1266,1272,75,64
1272,1278,80,64
1278,1284,76,64
1284,1290,80,64
1290,1296,75,64
1296,1302,80,64
1302,1308,76,64
1308,1314,80,64
1314,1320,74,64
1320,1326,80,64
1326,1332,76,64
1332,1338,80,64
1338,1344,74,64
1344,1350,80,64
1350,1356,76,64
