onset,offset,pitch,velocity
0,6,69,64
0,12,65,64
6,12,70,64
12,18,72,64
18,24,77,64
24,30,79,64
30,36,76,64
36,42,77,64
42,48,69,64
48,54,74,64
48,60,64,64
54,60,70,64
60,72,72,64
78,84,70,64
84,90,69,64
90,96,67,64
96,102,65,64
96,108,62,64
102,108,64,64
108,114,62,64
114,120,65,64
120,126,67,64
126,132,69,64
132,138,70,64
138,144,74,64
144,150,70,64
144,156,60,64
144,156,64,64
150,156,69,64
156,168,69,64
174,180,69,64
180,186,70,64
186,192,72,64
192,198,74,64
192,204,58,64
192,204,65,64
198,204,69,64
204,210,70,64
210,216,74,64
216,222,79,64
222,228,81,64
228,234,82,64
234,240,79,64
240,246,77,64
240,252,70,64
246,252,76,64
252,258,74,64
258,264,72,64
264,270,77,64
270,276,65,64
276,282,64,64
276,288,57,64
282,288,65,64
288,294,67,64
288,300,58,64
294,300,64,64
300,306,65,64
306,312,70,64
312,318,64,64
312,324,60,64
318,324,67,64
324,330,72,64
330,336,70,64
336,348,65,64
336,348,69,64
348,354,67,64
354,360,65,64
360,372,74,64
366,372,64,64
372,378,65,64
372,384,74,64
378,384,62,64
384,390,64,64
384,396,74,64
390,396,57,64
396,408,69,64
396,408,72,64
408,420,77,64
414,420,67,64
420,426,69,64
420,432,77,64
426,432,65,64
432,438,67,64
432,444,77,64
438,444,60,64
444,456,72,64
444,462,76,64
456,468,65,64
462,468,81,64
468,474,77,64
474,480,74,64
480,486,71,64
480,492,65,64
486,492,67,64
492,504,79,64
504,516,64,64
510,516,72,64
516,522,74,64
522,528,76,64
528,534,76,64
528,540,65,64
534,540,72,64
540,546,71,64
546,552,69,64
552,564,65,64
558,564,74,64
564,570,76,64
570,576,77,64
576,582,77,64
576,588,67,64
576,588,71,64
582,588,74,64
588,594,72,64
594,600,71,64
600,606,81,64
606,612,77,64
612,618,79,64
618,624,65,64
618,624,71,64
624,630,64,64
624,636,72,64
630,636,62,64
636,642,60,64
642,648,65,64
642,648,72,64
642,648,81,64
648,666,71,64
648,672,67,64
666,672,72,64
672,678,64,64
672,684,60,64
672,684,72,64
678,684,65,64
684,690,67,64
690,696,72,64
696,702,74,64
702,708,71,64
708,714,72,64
714,720,69,64
720,726,65,64
720,732,60,64
726,732,64,64
732,744,65,64
750,756,62,64
756,762,65,64
762,768,69,64
768,774,74,64
774,780,77,64
780,786,74,64
786,792,71,64
792,804,59,64
792,804,67,64
804,810,65,64
810,813,64,64
813,816,65,64
816,828,60,64
816,828,64,64
828,834,62,64
834,840,60,64
840,852,70,64
846,852,62,64
852,858,64,64
852,864,70,64
858,864,60,64
864,870,70,64
864,876,65,64
870,876,67,64
876,882,69,64
882,885,72,64
885,888,70,64
888,900,72,64
894,900,64,64
900,906,66,64
900,912,72,64
906,912,62,64
912,918,72,64
912,924,67,64
918,924,69,64
924,930,70,64
930,936,74,64
936,942,75,64
942,948,74,64
948,954,75,64
954,960,82,64
960,966,81,64
960,972,65,64
960,972,75,64
966,972,79,64
972,978,81,64
978,984,72,64
984,990,74,64
990,996,72,64
996,1002,74,64
1002,1008,80,64
1008,1014,79,64
1008,1020,63,64
1008,1020,74,64
1014,1020,78,64
1020,1026,79,64
1026,1032,71,64
1032,1038,72,64
1038,1044,71,64
1044,1050,72,64
1050,1056,75,64
1056,1062,66,64
1056,1068,57,64
1062,1068,69,64
1068,1080,72,64
1080,1092,66,64
1086,1092,75,64
1092,1098,74,64
1098,1104,72,64
1104,1110,70,64
1104,1116,67,64
1110,1116,72,64
1116,1122,74,64
1122,1128,82,64
1128,1140,62,64
1128,1140,72,64
1128,1140,81,64
1140,1143,79,64
1143,1146,78,64
1146,1152,79,64
1152,1158,79,64
1152,1164,55,64
1152,1164,62,64
1152,1164,70,64
1158,1161,82,64
1161,1164,81,64
1164,1176,82,64
1176,1185,65,64
1185,1188,81,64
1188,1191,79,64
1191,1194,77,64
1194,1197,76,64
1197,1200,74,64
1200,1206,72,64
1200,1212,64,64
1206,1212,71,64
1212,1218,72,64
1218,1224,74,64
1224,1230,76,64
1230,1233,79,64
1233,1236,77,64
1236,1242,79,64
1242,1248,81,64
1248,1254,82,64
1248,1260,65,64
1248,1260,72,64
1254,1260,79,64
1260,1272,81,64
1272,1281,64,64
1281,1284,79,64
1284,1287,77,64
1287,1290,76,64
1290,1293,74,64
1293,1296,72,64
1296,1302,70,64
1296,1308,62,64
1302,1308,69,64
1308,1314,70,64
1314,1320,74,64
1320,1326,79,64
1326,1332,76,64
1332,1338,77,64
1338,1344,70,64
1344,1350,69,64
1344,1356,60,64
1350,1356,67,64
1356,1362,69,64
1362,1368,72,64
1368,1374,79,64
1374,1380,76,64
1380,1386,77,64
1386,1392,69,64
1392,1398,67,64
1392,1404,59,64
1398,1404,71,64
1404,1410,74,64
1410,1416,77,64
1416,1422,81,64
1422,1425,79,64
1425,1428,77,64
1428,1434,76,64
1434,1440,77,64
1440,1446,76,64
1440,1452,58,64
1440,1452,67,64
1440,1452,72,64
1446,1449,77,64
1449,1452,76,64
1452,1458,74,64
1458,1464,72,64
1464,1476,57,64
1470,1476,65,64
1476,1482,67,64
1482,1488,69,64
1488,1494,69,64
1488,1500,58,64
1494,1500,65,64
1500,1506,64,64
1506,1512,62,64
1512,1524,58,64
1518,1524,67,64
1524,1530,69,64
1530,1536,70,64
1536,1542,70,64
1536,1548,60,64
1542,1548,67,64
