onset,offset,pitch,velocity
0,6,62,64
6,24,62,64
6,24,62,64
24,30,64,64
30,36,65,64
36,42,67,64
42,48,69,64
48,54,70,64
54,60,61,64
60,66,70,64
66,72,69,64
72,78,67,64
78,96,76,64
96,102,67,64
102,108,65,64
108,114,61,64
114,120,62,64
120,126,57,64
126,132,58,64
132,138,62,64
138,144,65,64
144,150,67,64
150,156,61,64
156,162,57,64
162,168,61,64
168,174,64,64
174,178,69,64
178,182,67,64
182,186,65,64
186,190,67,64
190,194,65,64
194,198,64,64
198,204,65,64
204,210,62,64
210,216,65,64
216,222,69,64
222,226,70,64
226,230,69,64
230,234,67,64
234,238,69,64
238,242,67,64
242,246,65,64
246,252,64,64
252,258,67,64
258,264,70,64
264,270,74,64
270,274,72,64
274,278,70,64
278,282,69,64
282,286,70,64
286,290,69,64
290,294,67,64
294,300,69,64
300,306,65,64
306,312,69,64
312,318,72,64
318,324,77,64
324,330,79,64
330,336,81,64
336,342,72,64
342,348,74,64
348,354,69,64
354,360,70,64
360,366,74,64
366,372,79,64
372,378,81,64
378,384,82,64
384,390,74,64
390,396,76,64
396,402,70,64
402,408,72,64
408,414,67,64
414,420,69,64
420,426,70,64
426,432,72,64
432,438,64,64
438,444,65,64
444,450,57,64
450,456,58,64
456,462,67,64
462,468,60,64
468,474,64,64
474,480,67,64
480,486,70,64
486,492,69,64
492,498,67,64
498,504,65,64
504,510,69,64
510,516,74,64
516,522,65,64
522,528,64,64
528,534,62,64
534,540,61,64
540,546,76,64
546,552,77,64
552,558,79,64
558,564,69,64
564,570,79,64
570,576,77,64
576,582,76,64
582,588,77,64
588,594,76,64
594,600,74,64
600,606,64,64
606,612,62,64
612,618,60,64
618,624,59,64
624,630,57,64
630,636,56,64
636,642,71,64
642,648,72,64
648,654,74,64
654,660,64,64
660,666,74,64
666,672,72,64
672,678,71,64
678,684,72,64
684,690,71,64
690,696,69,64
696,702,71,64
702,708,72,64
708,711,77,64
711,714,76,64
714,720,74,64
720,726,72,64
726,732,71,64
732,738,69,64
738,744,67,64
744,750,69,64
750,756,71,64
756,759,76,64
759,762,74,64
762,768,72,64
768,774,71,64
774,780,69,64
780,786,67,64
786,792,65,64
792,795,67,64
795,798,69,64
798,804,62,64
804,810,72,64
810,816,71,64
816,822,69,64
822,828,68,64
828,834,66,64
834,840,64,64
840,846,66,64
846,852,68,64
852,858,69,64
858,864,71,64
864,870,72,64
870,876,74,64
876,882,76,64
882,888,77,64
888,894,76,64
894,900,74,64
900,906,72,64
906,912,71,64
912,918,69,64
918,924,80,64
924,930,81,64
930,936,83,64
936,942,81,64
942,948,80,64
948,954,78,64
954,960,76,64
960,966,74,64
966,972,72,64
972,975,74,64
975,978,76,64
978,984,77,64
984,990,81,64
990,996,71,64
996,999,72,64
999,1002,74,64
1002,1008,76,64
1008,1014,79,64
1014,1020,69,64
1020,1023,71,64
1023,1026,72,64
1026,1032,74,64
1032,1038,77,64
1038,1044,67,64
1044,1047,69,64
1047,1050,71,64
1050,1056,72,64
1056,1062,76,64
1062,1068,65,64
1068,1071,67,64
1071,1074,69,64
1074,1080,71,64
1080,1086,74,64
1086,1092,64,64
1092,1095,66,64
1095,1098,68,64
1098,1104,69,64
1104,1110,72,64
1110,1116,62,64
1116,1122,61,64
